subject,record_count,covered_count,coverage_pct,fallback_count,fallback_pct,textbook_count,textbook_only_count,textbook_plus_legacy_count,legacy_count,match_0,match_1,match_2,match_3_plus,unique_generated_titles
공통수학1,93,33,35.48,60,64.52,0,0,0,33,60,18,12,3,93
공통수학2,19,4,21.05,15,78.95,0,0,0,4,15,4,0,0,19
과학과제 연구,15,0,0.0,15,100.0,0,0,0,0,15,0,0,0,15
과학탐구실험1,84,6,7.14,78,92.86,0,0,0,6,78,6,0,0,81
과학탐구실험2,9,1,11.11,8,88.89,0,0,0,1,8,1,0,0,9
기하,41,12,29.27,29,70.73,0,0,0,12,29,11,1,0,41
대수,97,31,31.96,66,68.04,0,0,0,31,66,16,14,1,97
데이터 과학,34,7,20.59,27,79.41,0,0,0,7,27,7,0,0,34
물리,316,50,15.82,266,84.18,0,0,0,50,266,40,7,3,292
물질과 에너지,3,0,0.0,3,100.0,0,0,0,0,3,0,0,0,3
미적분1,112,112,100.0,0,0.0,0,0,0,112,0,61,13,38,108
생명과학,312,45,14.42,267,85.58,0,0,0,45,267,39,4,2,285
세포와 물질대사,10,1,10.0,9,90.0,0,0,0,1,9,1,0,0,10
역학과 에너지,8,0,0.0,8,100.0,0,0,0,0,8,0,0,0,8
융합과학 탐구,11,0,0.0,11,100.0,0,0,0,0,11,0,0,0,11
인공지능 기초,65,15,23.08,50,76.92,0,0,0,15,50,12,3,0,65
전자기와 양자,2,0,0.0,2,100.0,0,0,0,0,2,0,0,0,2
정보,133,42,31.58,91,68.42,0,0,0,42,91,38,4,0,130
지구과학,205,14,6.83,191,93.17,0,0,0,14,191,14,0,0,198
지구시스템과학,3,3,100.0,0,0.0,0,0,0,3,0,2,1,0,3
통합과학1,90,23,25.56,67,74.44,0,0,0,23,67,22,1,0,90
통합과학2,8,1,12.5,7,87.5,0,0,0,1,7,1,0,0,8
통합사회1,87,5,5.75,82,94.25,0,0,0,5,82,5,0,0,87
화학,323,33,10.22,290,89.78,0,0,0,33,290,31,0,2,306
화학 반응의 세계,4,1,25.0,3,75.0,0,0,0,1,3,0,1,0,4
확률과 통계,60,11,18.33,49,81.67,0,0,0,11,49,5,4,2,60
