subject,term,frequency,sample_task_title,already_in_dict,approve
공통수학1,수학,30,성취기준 기반 수학 문항 분석 후 재구성하기,N,
공통수학1,수학적,28,인공지능을 활용한 수학 개념 탐구 후 문학 작품 창작하기,N,
공통수학1,개념,24,성취기준 기반 수학 문항 분석 후 재구성하기,N,
공통수학1,수행평가,24,수학으로 읽고 지식 확장하기,N,
공통수학1,공통수학,22,세계사를 바꾼 방정식의 해법,N,
공통수학1,해결,17,ALTP (협력적 문제해결 과정 발표와 질의응답),N,
공통수학1,내용을,16,마인드맵으로 수학 개념 구조화하기,N,
공통수학1,주제,15,독서를 통한 주제탐구활동,N,
공통수학1,문제를,13,조별 팀 발표,N,
공통수학1,과제,12,수학탐구기록,N,
공통수학1,평가내용,11,수학주제탐구활동,N,
공통수학1,있는가,11,개념정리와 문제만들기,N,
공통수학1,과정을,10,ALTP (협력적 문제해결 과정 발표와 질의응답),N,
공통수학1,수업,9,성취기준 기반 수학 문항 분석 후 재구성하기,N,
공통수학1,학습,9,성찰활동으로 수학역량 강화하기,N,
공통수학1,문제해결,9,ALTP (협력적 문제해결 과정 발표와 질의응답),N,
공통수학1,개념정확성,9,세계사를 바꾼 방정식의 해법,N,
공통수학1,사고,8,인공지능을 활용한 수학 개념 탐구 후 문학 작품 창작하기,N,
공통수학1,영역,8,세계사를 바꾼 방정식의 해법,N,
공통수학1,서술,8,세계사를 바꾼 방정식의 해법,N,
공통수학1,논리적으로,8,발표 소감문 작성,N,
공통수학1,선정,8,구 발표,N,
공통수학1,풀이,8,구 발표,N,
공통수학1,과정의,8,구 발표,N,
공통수학1,능력,8,생각의 층을 쌓아가는 개념 포트폴리오,N,
공통수학1,제시된,7,성취기준 기반 수학 문항 분석 후 재구성하기,N,
공통수학1,파악하여,7,성취기준 기반 수학 문항 분석 후 재구성하기,N,
공통수학1,바탕으로,7,수학으로 읽고 지식 확장하기,N,
공통수학1,대한,7,성찰활동으로 수학역량 강화하기,N,
공통수학1,논리전개,7,세계사를 바꾼 방정식의 해법,N,
공통수학1,이해하고,7,구 발표,N,
공통수학1,포트폴리오,7,생각의 층을 쌓아가는 개념 포트폴리오,N,
공통수학1,해결하기,7,문제해결력 및 학습활동,N,
공통수학1,자신의,6,마인드맵으로 수학 개념 구조화하기,N,
공통수학1,교과,6,ALTP (협력적 문제해결 과정 발표와 질의응답),N,
공통수학1,활동지,6,세계사를 바꾼 방정식의 해법,N,
공통수학1,평가요소,6,독서를 통한 주제탐구활동,N,
공통수학1,성질을,6,구 발표,N,
공통수학1,개념과,6,구 발표,N,
공통수학1,기호를,6,구 발표,N,
공통수학1,개념의,6,생각의 층을 쌓아가는 개념 포트폴리오,N,
공통수학1,채점,6,문제해결과정평가,N,
공통수학1,활용하여,5,인공지능을 활용한 수학 개념 탐구 후 문학 작품 창작하기,N,
공통수학1,읽고,5,수학으로 읽고 지식 확장하기,N,
공통수학1,독서,5,수학으로 읽고 지식 확장하기,N,
공통수학1,학습한,5,마인드맵으로 수학 개념 구조화하기,N,
공통수학1,의사소통,5,ALTP (협력적 문제해결 과정 발표와 질의응답),N,
공통수학1,정리하여,5,세계사를 바꾼 방정식의 해법,N,
공통수학1,근거제시,5,세계사를 바꾼 방정식의 해법,N,
공통수학1,정확한,5,조별 팀 발표,N,
공통수학2,문제해결,2,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,질의,2,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,대한,2,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,수학적,2,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,ALTP,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,협력적,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,발표와,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,응답하기,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,교과,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,단원,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
공통수학2,내용과,1,ALTP(협력적 문제해결 과정 발표와 질의·응답하기),N,
