subject,record_count,covered_count,coverage_pct,fallback_count,fallback_pct,textbook_count,textbook_only_count,textbook_plus_legacy_count,legacy_count,match_0,match_1,match_2,match_3_plus,unique_generated_titles
공통수학1,93,51,54.84,42,45.16,48,16,32,3,42,12,11,28,93
공통수학2,19,18,94.74,1,5.26,18,13,5,0,1,6,2,10,19
과학과제 연구,15,15,100.0,0,0.0,15,15,0,0,0,7,3,5,15
과학탐구실험1,84,77,91.67,7,8.33,77,71,6,0,7,12,14,51,84
과학탐구실험2,9,8,88.89,1,11.11,7,7,0,1,1,5,3,0,9
기하,41,23,56.1,18,43.9,22,10,12,1,18,6,0,17,41
대수,97,36,37.11,61,62.89,29,4,25,7,61,11,3,22,97
데이터 과학,34,33,97.06,1,2.94,33,22,11,0,1,5,4,24,34
물리,316,111,35.13,205,64.87,103,57,46,8,205,39,19,53,296
물질과 에너지,3,0,0.0,3,100.0,0,0,0,0,3,0,0,0,3
미적분1,112,86,76.79,26,23.21,86,0,86,0,26,34,11,41,108
생명과학,312,167,53.53,145,46.47,160,118,42,7,145,63,37,67,287
세포와 물질대사,10,9,90.0,1,10.0,9,8,1,0,1,6,1,2,10
역학과 에너지,8,5,62.5,3,37.5,5,5,0,0,3,2,1,2,8
융합과학 탐구,11,9,81.82,2,18.18,9,9,0,0,2,2,2,5,11
인공지능 기초,65,63,96.92,2,3.08,63,45,18,0,2,18,14,31,65
전자기와 양자,2,2,100.0,0,0.0,2,2,0,0,0,0,1,1,2
정보,133,127,95.49,6,4.51,127,79,48,0,6,26,18,83,132
지구과학,205,112,54.63,93,45.37,108,95,13,4,93,37,25,50,200
지구시스템과학,3,3,100.0,0,0.0,2,1,1,1,0,2,0,1,3
통합과학1,90,80,88.89,10,11.11,75,54,21,5,10,25,9,46,90
통합과학2,8,7,87.5,1,12.5,7,6,1,0,1,2,1,4,8
통합사회1,87,67,77.01,20,22.99,67,61,6,0,20,28,18,21,87
화학,323,138,42.72,185,57.28,117,97,20,21,185,57,32,49,308
화학 반응의 세계,4,2,50.0,2,50.0,2,1,1,0,2,1,0,1,4
확률과 통계,60,49,81.67,11,18.33,48,36,12,1,11,8,20,21,60
