keyword,major_count,majors,major_groups,primary_cluster,primary_cluster_label,recommended_subject_groups,preferred_methods,preferred_outputs,preferred_report_modes,assessment_focus,topic_noun,recommended_evidence,route_confidence
"'세상의 모든 과학'이라는 슬로건처럼 화학, 물리, 생명과학 전반에 걸친 궁금증을 쉽고 명쾌하게 설명합니다. 기초 개념이 실제 기술로 구현되는 과정을 잘 보여줍니다.",1,수행,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
(젊은)당뇨,1,간호학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
1인가구,1,도시공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
2026. 1. 20. 업데이트,1,수행,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
2D패션,1,의류의상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
2진 통신,1,전자공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
3D 가상현실 재활치료,1,물리치료,생명·의료·생활,data_ai_software,데이터·AI·소프트웨어,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
3D 프린팅 구조물,1,의료공학,생명·의료·생활,core_principles,원리·구조,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
3D프린터,1,기계전자(메카트로닉스),기계·모빌리티·건설,design_manufacturing,설계·제작·공정,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
3D프린팅,2,신소재공학 | 의류의상학,기타 | 신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형 | 비교분석형 | 프로젝트형,탐구보고서 | 자료분석지 | 발표자료 | 설계보고서,자료해석형 | 연구보고서형 | 개념해석형 | 원리적용형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,medium
3D프린팅 생체의료,1,생명공학,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
4차 산업혁명,2,산업공학 | 의료공학,생명·의료·생활 | 신소재·에너지·산업,human_society_policy,사회·정책·사용자,과학 | 사회 | 수학 | 정보,실험실습형 | 자료해석형 | 조사탐구형 | 비교분석형 | 프로젝트형,실험보고서 | 탐구보고서 | 자료분석지 | 설계보고서,실험분석형 | 자료해석형 | 연구보고서형 | 원리적용형 | 공학설계형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,high
4차 산업혁명과 생명,1,생명공학,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
5G 네트워크,1,정보통신공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
6시그마,1,산업공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
ABS,1,자동차공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
AC(교류전압),1,반도체 세라믹공학,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
AF시스템,1,기계전자(메카트로닉스),기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
AI 네트워크,1,컴퓨터 공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AIS시스템의 활용,1,해양공학,기계·모빌리티·건설,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AIS시스템이란,1,해양공학,기계·모빌리티·건설,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AI분석,1,지능형 데이터 최적학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AI알고리즘 구현 및 데이터 처리에 필요,1,지능형 데이터 최적학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AI와 칩설계에 필수적인 기초 코딩능력,1,지능형 반도체,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
AI의료,1,간호학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AI칩,1,지능형 반도체,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
AI칩 모델 구현 프로젝트 수행,2,지능형 반도체 | 화공생명공학,AI·SW·전자 | 생명·의료·생활,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학 | 사회,프로그래밍구현형 | 자료해석형 | 프로젝트형 | 실험실습형 | 조사탐구형,프로그램 | 탐구보고서 | 발표자료 | 실험보고서 | 자료분석지,프로그래밍구현형 | 자료해석형 | 공학설계형 | 실험분석형 | 연구보고서형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,high
ATP,1,생명과학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Advanced Make-up,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Advanced Nail Techniques,1,뷰티아트,생명·의료·생활,data_ai_software,데이터·AI·소프트웨어,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
Air Brush and Body Painting,1,뷰티아트,생명·의료·생활,data_ai_software,데이터·AI·소프트웨어,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
Archimedes의 원리,1,물리학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
BIM,1,건축설비,기계·모빌리티·건설,design_manufacturing,설계·제작·공정,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
Beauty Illustration,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Body Analysis,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
B세포,1,생명과학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
C#프로그래밍,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
C++프로그래밍,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
CAD,2,건축설비 | 기계전자(메카트로닉스),기계·모빌리티·건설,design_manufacturing,설계·제작·공정,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,high
