subject,canonical_subject_group,evidence_record_count,source_school_count,source_count,average_weight,dominant_methods,dominant_outputs,dominant_rubrics,dominant_report_modes,dominant_content_axes,avoid_modes
공통국어1,국어,143,53,55,17.05,논술형 | 보고서작성형 | 구술발표형 | 자료해석형 | 조사탐구형 | 포트폴리오형 | 독서기반형 | 프로젝트형,자료분석지 | 탐구보고서 | 논술문 | 발표자료 | 글쓰기 산출물 | 서평·독서일지 | 실험보고서 | 활동지,근거제시 | 논리전개 | 자료분석 | 결과해석 | 개념정확성 | 표현력 | 완성도 | 의사소통 | 관점설정 | 텍스트이해,자료해석형 | 논증형 | 연구보고서형 | 독서비평형 | 개념해석형 | 실험분석형 | 연구설계형 | 글쓰기논술형,논증·비평 | 자료해석 | 표현창작 | 개념이해 | 독서기반탐구 | 탐구설계 | 의사소통 | 실험탐구,단순조사형 | 결과없는감상형 | 근거없는주장형 | 의견나열형 | 자료나열형 | 단순요약형
공통국어2,국어,120,44,46,16.54,논술형 | 보고서작성형 | 구술발표형 | 자료해석형 | 독서기반형 | 조사탐구형 | 포트폴리오형 | 실험실습형,자료분석지 | 탐구보고서 | 논술문 | 발표자료 | 글쓰기 산출물 | 서평·독서일지 | 실험보고서 | 활동지,근거제시 | 논리전개 | 자료분석 | 결과해석 | 개념정확성 | 완성도 | 의사소통 | 표현력 | 텍스트이해 | 조건충족,자료해석형 | 논증형 | 독서비평형 | 연구보고서형 | 개념해석형 | 실험분석형 | 연구설계형 | 발표논증형,논증·비평 | 자료해석 | 개념이해 | 표현창작 | 독서기반탐구 | 탐구설계 | 의사소통 | 실험·관찰,단순조사형 | 결과없는감상형 | 근거없는주장형 | 의견나열형 | 단순요약형 | 자료나열형
영어,영어,203,51,68,16.01,논술형 | 구술발표형 | 보고서작성형 | 자료해석형 | 프로젝트형 | 실험실습형 | 포트폴리오형 | 토론형,발표자료 | 논술문 | 자료분석지 | 탐구보고서 | 실험보고서 | 글쓰기 산출물 | 활동지 | 포트폴리오,논리전개 | 근거제시 | 개념정확성 | 의사소통 | 표현력 | 자료분석 | 결과해석 | 완성도 | 창의성 | 조건충족,자료해석형 | 논증형 | 연구보고서형 | 개념해석형 | 실험분석형 | 발표논증형 | 연구설계형 | 글쓰기논술형,논증·비평 | 자료해석 | 의사소통 | 개념이해 | 표현창작 | 탐구설계 | 독서기반탐구 | 문제해결,단순조사형 | 결과없는감상형 | 자료나열형 | 근거없는주장형 | 의견나열형 | 단순요약형
공통수학1,수학,160,53,56,16.88,보고서작성형 | 문제해결형 | 논술형 | 자료해석형 | 프로젝트형 | 구술발표형 | 실험실습형 | 조사탐구형,풀이보고서 | 탐구보고서 | 자료분석지 | 발표자료 | 논술문 | 실험보고서 | 보고서 | 수학풀이과정,개념정확성 | 논리전개 | 근거제시 | 자료분석 | 결과해석 | 문제해결과정 | 의사소통 | 창의성 | 표현력 | 완성도,문제설계형 | 자료해석형 | 연구보고서형 | 개념해석형 | 연구설계형 | 풀이비교형 | 논증형 | 실험분석형,수학개념탐구 | 문제해결 | 자료해석 | 원리적용 | 개념이해 | 탐구설계 | 논증·비평 | 표현창작,단순조사형 | 결과없는감상형 | 자료나열형 | 개념나열형 | 풀이없는주제탐구형 | 의견나열형
공통수학2,수학,142,46,49,16.37,보고서작성형 | 문제해결형 | 논술형 | 프로젝트형 | 자료해석형 | 구술발표형 | 실험실습형 | 조사탐구형,풀이보고서 | 자료분석지 | 탐구보고서 | 발표자료 | 논술문 | 실험보고서 | 창작물 | 수학풀이과정,개념정확성 | 논리전개 | 근거제시 | 자료분석 | 결과해석 | 문제해결과정 | 의사소통 | 창의성 | 표현력 | 완성도,문제설계형 | 자료해석형 | 연구보고서형 | 개념해석형 | 연구설계형 | 풀이비교형 | 논증형 | 실험분석형,수학개념탐구 | 문제해결 | 자료해석 | 원리적용 | 개념이해 | 탐구설계 | 논증·비평 | 표현창작,단순조사형 | 결과없는감상형 | 자료나열형 | 개념나열형 | 풀이없는주제탐구형 | 단순요약형
대수,수학,85,36,36,19.13,보고서작성형 | 논술형 | 프로젝트형 | 문제해결형 | 자료해석형 | 구술발표형 | 조사탐구형 | 포트폴리오형,탐구보고서 | 자료분석지 | 논술문 | 풀이보고서 | 발표자료 | 실험보고서 | 포트폴리오 | 활동지,개념정확성 | 논리전개 | 근거제시 | 자료분석 | 결과해석 | 문제해결과정 | 완성도 | 창의성 | 조건충족 | 표현력,자료해석형 | 연구보고서형 | 문제설계형 | 개념해석형 | 연구설계형 | 실험분석형 | 원리적용형 | 풀이비교형,개념이해 | 문제해결 | 원리적용 | 자료해석 | 수학개념탐구 | 탐구설계 | 논증·비평 | 표현창작,단순조사형 | 결과없는감상형 | 자료나열형 | 근거없는주장형 | 의견나열형 | 단순요약형
확률과 통계,수학,62,28,29,15.85,보고서작성형 | 자료해석형 | 문제해결형 | 논술형 | 프로젝트형 | 구술발표형 | 실험실습형 | 조사탐구형,자료분석지 | 탐구보고서 | 풀이보고서 | 논술문 | 실험보고서 | 발표자료 | 분석보고서 | 문항재구성물,개념정확성 | 자료분석 | 결과해석 | 논리전개 | 근거제시 | 문제해결과정 | 완성도 | 창의성 | 변인통제 | 조건충족,자료해석형 | 문제설계형 | 연구보고서형 | 연구설계형 | 개념해석형 | 원리적용형 | 실험분석형 | 창작설계형,자료해석 | 문제해결 | 개념이해 | 원리적용 | 수학개념탐구 | 논증·비평 | 표현창작 | 탐구설계,단순조사형 | 결과없는감상형 | 자료나열형 | 개념나열형 | 풀이없는주제탐구형 | 자료요약형
미적분1,수학,70,30,33,17.42,문제해결형 | 보고서작성형 | 자료해석형 | 프로젝트형 | 논술형 | 구술발표형 | 실험실습형 | 포트폴리오형,자료분석지 | 풀이보고서 | 탐구보고서 | 발표자료 | 실험보고서 | 논술문 | 서평·독서일지 | 실행결과물,개념정확성 | 논리전개 | 결과해석 | 근거제시 | 자료분석 | 완성도 | 문제해결과정 | 의사소통 | 표현력 | 창의성,문제설계형 | 자료해석형 | 연구보고서형 | 연구설계형 | 실험분석형 | 풀이비교형 | 개념해석형 | 독서비평형,문제해결 | 수학개념탐구 | 자료해석 | 개념이해 | 논증·비평 | 원리적용 | 탐구설계 | 표현창작,단순조사형 | 결과없는감상형 | 자료나열형 | 근거없는주장형 | 단순요약형 | 의견나열형
기하,수학,42,19,21,20.14,문제해결형 | 프로젝트형 | 보고서작성형 | 자료해석형 | 논술형 | 구술발표형 | 실험실습형 | 포트폴리오형,자료분석지 | 풀이보고서 | 탐구보고서 | 발표자료 | 논술문 | 실험보고서 | 활동지 | 설계보고서,개념정확성 | 논리전개 | 결과해석 | 문제해결과정 | 자료분석 | 근거제시 | 창의성 | 완성도 | 의사소통 | 조건충족,문제설계형 | 자료해석형 | 연구보고서형 | 연구설계형 | 풀이비교형 | 실험분석형 | 창작설계형 | 독서비평형,문제해결 | 수학개념탐구 | 자료해석 | 개념이해 | 원리적용 | 탐구설계 | 논증·비평 | 실험탐구,단순조사형 | 결과없는감상형 | 단순요약형 | 진로끼워넣기형 | 근거없는주장형 | 의견나열형
통합사회1,사회,118,49,49,19.07,보고서작성형 | 논술형 | 자료해석형 | 구술발표형 | 프로젝트형 | 조사탐구형 | 실험실습형 | 문제해결형,자료분석지 | 탐구보고서 | 논술문 | 발표자료 | 실험보고서 | 정책제안서 | 서평·독서일지 | 활동지,근거제시 | 자료분석 | 결과해석 | 논리전개 | 개념정확성 | 관점설정 | 완성도 | 조건충족 | 표현력 | 의사소통,자료해석형 | 연구보고서형 | 논증형 | 연구설계형 | 실험분석형 | 개념해석형 | 사회문제분석형 | 독서비평형,자료해석 | 논증·비평 | 사회문제분석 | 탐구설계 | 개념이해 | 문제해결 | 사회문제연계 | 독서기반탐구,단순조사형 | 결과없는감상형 | 자료나열형 | 근거없는주장형 | 의견나열형 | 단순요약형
