catalog_no,book_uid,title,title_normalized,author,publisher,source_batch,status,source_path
1,booksrc_0001,1984,1984,조지 오웰,민음사,legacy_70_seed_migration,active,source/books/0001.json
2,booksrc_0002,갈매기,갈매기,안톤 체호프,더클래식,legacy_70_seed_migration,active,source/books/0002.json
3,booksrc_0003,객관성의 칼날,객관성의칼날,찰스 길리스피,새물결,legacy_70_seed_migration,active,source/books/0003.json
4,booksrc_0004,겐지 이야기,겐지이야기,무라사키 시키부,한길사,legacy_70_seed_migration,active,source/books/0004.json
5,booksrc_0005,경영학 콘서트,경영학콘서트,장영재,비즈니스북스,legacy_70_seed_migration,active,source/books/0005.json
6,booksrc_0006,고리오 영감,고리오영감,오노레 드 발자크,민음사,legacy_70_seed_migration,active,source/books/0006.json
7,booksrc_0007,고향,고향,이기영,푸른사상,legacy_70_seed_migration,active,source/books/0007.json
8,booksrc_0008,공정하다는 착각,공정하다는착각,마이클 샌델,와이즈베리,legacy_70_seed_migration,active,source/books/0008.json
9,booksrc_0009,광장,광장,최인훈,문학과지성사,legacy_70_seed_migration,active,source/books/0009.json
10,booksrc_0010,국가,국가,플라톤,현대지성,legacy_70_seed_migration,active,source/books/0010.json
11,booksrc_0011,국화와 칼,국화와칼,루스 베네딕트,현대지성,legacy_70_seed_migration,active,source/books/0011.json
12,booksrc_0012,그리스 비극 걸작선,그리스비극걸작선,소포클레스 외,현대지성,legacy_70_seed_migration,active,source/books/0012.json
13,booksrc_0013,난장이가 쏘아올린 작은 공,난장이가쏘아올린작은공,조세희,이성과힘,legacy_70_seed_migration,active,source/books/0013.json
14,booksrc_0014,누구나 한번쯤 읽어야 할 목민심서,누구나한번쯤읽어야할목민심서,미리내공방,청민미디어,legacy_70_seed_migration,active,source/books/0014.json
15,booksrc_0015,닥터스 씽킹,닥터스씽킹,제롬 그루프먼,해냄출판사,legacy_70_seed_migration,active,source/books/0015.json
16,booksrc_0016,데미안,데미안,헤르만 헤세,민음사,legacy_70_seed_migration,active,source/books/0016.json
17,booksrc_0017,돈으로 살 수 없는 것들,돈으로살수없는것들,마이클 샌델,와이즈베리,legacy_70_seed_migration,active,source/books/0017.json
18,booksrc_0018,동방견문록,동방견문록,마르코 폴로,동서문화사,legacy_70_seed_migration,active,source/books/0018.json
19,booksrc_0019,동물 세포에는 세포벽이 없다,동물세포에는세포벽이없다,무로후시 기미오,전나무숲,legacy_70_seed_migration,active,source/books/0019.json
20,booksrc_0020,마음,마음,나쓰메 소세키,현암사,legacy_70_seed_migration,active,source/books/0020.json
21,booksrc_0021,맹자,맹자,맹자,휴머니스트,legacy_70_seed_migration,active,source/books/0021.json
22,booksrc_0022,무정,무정,이광수,민음사,legacy_70_seed_migration,active,source/books/0022.json
23,booksrc_0023,문학과 예술의 사회사,문학과예술의사회사,아르놀트 하우저,창비,legacy_70_seed_migration,active,source/books/0023.json
