seq_in_batch,catalog_no,book_uid,title,author,publisher,detail_page_start,status
1,71,booksrc_0071,간디 자서전,마하트마 간디,문예출판사,10,pending_detail
2,72,booksrc_0072,"갈기도 하고, 아니 갈기도 하고",로얼드 호프만,까치,13,pending_detail
3,73,booksrc_0073,검찰관,니꼴라이 고골,민음사,16,pending_detail
4,74,booksrc_0074,고도를 기다리며,베케트,문예출판사,19,pending_detail
5,75,booksrc_0075,"고용, 이자 및 화폐의 일반이론",J. M. 케인스,비봉출판사,22,pending_detail
6,76,booksrc_0076,과학 혁명의 구조,토마스 쿤,까치,25,pending_detail
7,77,booksrc_0077,구운몽,김만중,문학동네,28,pending_detail
8,78,booksrc_0078,국부론,애덤 스미스,현대지성,31,pending_detail
9,79,booksrc_0079,그람시의 옥중수고,안토니오 그람시,거름,34,pending_detail
10,80,booksrc_0080,금오신화,김시습,돌베개,37,pending_detail
11,81,booksrc_0081,"나는 간호사, 사람입니다",김현아,아몬드,40,pending_detail
12,82,booksrc_0082,논어,공자,홍익,43,pending_detail
13,83,booksrc_0083,다정한 것이 살아남는다,브라이언 헤어,디플롯,46,pending_detail
14,84,booksrc_0084,대한민국의 시험,이혜정,다산4.0,49,pending_detail
15,85,booksrc_0085,도덕적 인간과 비도덕적 사회,라인홀드 니버,문예출판사,52,pending_detail
16,86,booksrc_0086,동물들의 인간 심판,호세 안토니오 야우레기,책공장더불어,55,pending_detail
17,87,booksrc_0087,팁스,버니니아 M. 액슬린,샘터,58,pending_detail
18,88,booksrc_0088,말테의 수기,라이너 마리아 릴케,문예출판사,61,pending_detail
19,89,booksrc_0089,모비딕,허먼 멜빌,작가정신,64,pending_detail
20,90,booksrc_0090,문명화 과정,노르베르트 엘리아스,한길사,67,pending_detail
21,91,booksrc_0091,미국의 민주주의,일렉시스 드 토크빌,한길사,70,pending_detail
22,92,booksrc_0092,미움받을 용기,기시미 이치로,인플루엔셜,73,pending_detail
23,93,booksrc_0093,백년 동안의 고독,G. 마르케스,문학사상,76,pending_detail
24,94,booksrc_0094,법의 정신,몽테스키외,문예출판사,79,pending_detail
25,95,booksrc_0095,변신이야기,오비디우스,민음사,82,pending_detail
26,96,booksrc_0096,보바리 부인,귀스타브 플로베르,문예출판사,85,pending_detail
27,97,booksrc_0097,비통한 자들을 위한 정치학,파커 J. 파머,글항아리,88,pending_detail
28,98,booksrc_0098,"사람, 장소, 환대",김현경,문학과지성사,91,pending_detail
29,99,booksrc_0099,사회계약론,장 자크 루소,서울대학교출판문화원,94,pending_detail
30,100,booksrc_0100,새로운 약은 어떻게 창조되나,교토대학대학원약학연구과,서울대학교출판문화원,97,pending_detail
31,101,booksrc_0101,설국,가와바타 야스나리,민음사,100,pending_detail
32,102,booksrc_0102,성학집요,율곡 이이,청어람미디어,103,pending_detail
33,103,booksrc_0103,수레바퀴 아래서,헤르만 헤세,민음사,106,pending_detail
34,104,booksrc_0104,숨결이 바람 될 때,폴 칼라니티,흐름출판,109,pending_detail
35,105,booksrc_0105,시경,작자 미상,을유문화사,112,pending_detail
36,106,booksrc_0106,신기관,프랜시스 베이컨,을재,115,pending_detail
37,107,booksrc_0107,아내를 모자로 착각한 남자,올리버 색스,알마,118,pending_detail
38,108,booksrc_0108,아픔이 길이 되려면,김승섭,동아시아,121,pending_detail
39,109,booksrc_0109,안나 카레니나,레프 톨스토이,열린책들,124,pending_detail
40,110,booksrc_0110,양철북,귄터 그라스,민음사,127,pending_detail
41,111,booksrc_0111,엔트로피,제레미 리프킨,세종연구원,130,pending_detail
42,112,booksrc_0112,역사를 위한 변명,마르크 블로크,한길사,133,pending_detail
43,113,booksrc_0113,열하일기,박지원,돌베개,136,pending_detail
44,114,booksrc_0114,오래된 미래,헬레나 노르베리 호지,중앙북스,139,pending_detail
45,115,booksrc_0115,우리 시대의 동물 해방,피터 싱어,연암서가,142,pending_detail
46,116,booksrc_0116,우파니샤드,정창영,무지개다리너머,145,pending_detail
47,117,booksrc_0117,의사소통 행위이론,위르겐 하버마스,나남,148,pending_detail
48,118,booksrc_0118,이것은 미술이 아니다,메리 앤 스타니스제프스키,현실문화연구,151,pending_detail
49,119,booksrc_0119,이방인,알베르 카뮈,책세상,154,pending_detail
50,120,booksrc_0120,이탈리아 르네상스 문화,야코프 부르크하르트,한길사,157,pending_detail
51,121,booksrc_0121,인간의 조건,앙드레 말로,지식을 만드는 지식,160,pending_detail
52,122,booksrc_0122,일차원적 인간,H. 마르쿠제,한마음사,163,pending_detail
53,123,booksrc_0123,자본론,카를 마르크스,모두의책,166,pending_detail
54,124,booksrc_0124,적과 흑,스탕달,민음사,169,pending_detail
55,125,booksrc_0125,정의론,존 롤스,이학사,172,pending_detail
56,126,booksrc_0126,제3의 물결,앨빈 토플러,범우사,175,pending_detail
57,127,booksrc_0127,죽은 경제학자의 살아있는 아이디어,토드 부크홀츠,김영사,178,pending_detail
58,128,booksrc_0128,채식주의자,한강,창비사,181,pending_detail
59,129,booksrc_0129,"총, 균, 쇠",재레드 다이아몬드,김영사,184,pending_detail
60,130,booksrc_0130,침묵의 봄,레이첼 카슨,에코리브르,187,pending_detail
61,131,booksrc_0131,카인의 후예,황순원,문학과지성사,190,pending_detail
62,132,booksrc_0132,태평천하,채만식,민음사,193,pending_detail
63,133,booksrc_0133,통치론,존 로크,까치,196,pending_detail
64,134,booksrc_0134,"파타고니아, 파도가 칠 때는 서핑을",이본 쉬나드,라이팅하우스,199,pending_detail
65,135,booksrc_0135,페르마의 마지막 정리,사이먼 싱,영림카디널,202,pending_detail
66,136,booksrc_0136,평건과 리바이어던,오차이 벤클러,반비,205,pending_detail
67,137,booksrc_0137,프로테스탄트 윤리와 자본주의 정신,막스 베버,현대지성,208,pending_detail
68,138,booksrc_0138,하노버에서 온 음악편지,손열음,중앙북스,211,pending_detail
69,139,booksrc_0139,한중록,혜경궁 홍씨,스타북스,214,pending_detail
70,140,booksrc_0140,혼돈으로부터의 질서,일리야 프리고진 외,자유아카데미,217,pending_detail
