index_no,display_name,track_category,pdf_start_page_in_book,pdf_end_page_in_book,major_id
1,고고학과,인문계열,14,15,major_고고학과
2,국어국문학과,인문계열,16,17,major_국어국문학과
3,노어노문학과,인문계열,18,19,major_노어노문학과
4,독어독문학과,인문계열,20,21,major_독어독문학과
5,문예창작학과,인문계열,22,23,major_문예창작학과
6,문화인류학과,인문계열,24,25,major_문화인류학과
7,문화유산학과,인문계열,26,27,major_문화유산학과
8,미학과,인문계열,28,29,major_미학과
9,불어불문학과,인문계열,30,31,major_불어불문학과
10,사학과,인문계열,32,33,major_사학과
11,신학과,인문계열,34,35,major_신학과
12,아랍어과,인문계열,36,37,major_아랍어과
13,언어학과,인문계열,38,39,major_언어학과
14,영어영문학과,인문계열,40,41,major_영어영문학과
15,일어일문학과,인문계열,42,43,major_일어일문학과
16,중어중문학과,인문계열,44,45,major_중어중문학과
17,철학과,인문계열,46,47,major_철학과
18,한국어학과,인문계열,48,49,major_한국어학과
19,한문학과,인문계열,50,51,major_한문학과
20,경영정보학과,사회계열,52,53,major_경영정보학과
21,경영학과,사회계열,54,55,major_경영학과
22,경제학과,사회계열,56,57,major_경제학과
23,경찰행정학과,사회계열,58,59,major_경찰행정학과
24,공공인재학부,사회계열,60,61,major_공공인재학부
25,관광경영학과,사회계열,62,63,major_관광경영학과
26,광고홍보학과,사회계열,64,65,major_광고홍보학과
27,국제통상학과,사회계열,66,67,major_국제통상학과
28,국제학부,사회계열,68,69,major_국제학부
29,군사학과,사회계열,70,71,major_군사학과
30,글로벌경영학과,사회계열,72,73,major_글로벌경영학과
31,농업경제학과,사회계열,74,75,major_농업경제학과
32,도시행정학과,사회계열,76,77,major_도시행정학과
33,무역학과,사회계열,78,79,major_무역학과
34,문헌정보학과,사회계열,80,81,major_문헌정보학과
35,문화콘텐츠학과,사회계열,82,83,major_문화콘텐츠학과
36,미디어커뮤니케이션학과,사회계열,84,85,major_미디어커뮤니케이션학과
37,법학과,사회계열,86,87,major_법학과
38,부동산학과,사회계열,88,89,major_부동산학과
39,사회복지학과,사회계열,90,91,major_사회복지학과
40,사회학과,사회계열,92,93,major_사회학과
41,상담심리학과,사회계열,94,95,major_상담심리학과
42,세무학과,사회계열,96,97,major_세무학과
43,소비자학과,사회계열,98,99,major_소비자학과
44,식품자원경제학과,사회계열,100,101,major_식품자원경제학과
45,신문방송학과,사회계열,102,103,major_신문방송학과
46,심리학과,사회계열,104,105,major_심리학과
47,아동학과,사회계열,106,107,major_아동학과
48,언론정보학과,사회계열,108,109,major_언론정보학과
49,응용통계학과,사회계열,110,111,major_응용통계학과
50,정치외교학과,사회계열,112,113,major_정치외교학과
51,지리학과,사회계열,114,115,major_지리학과
52,항공서비스학과,사회계열,116,117,major_항공서비스학과
53,행정학과,사회계열,118,119,major_행정학과
54,호텔경영학과,사회계열,120,121,major_호텔경영학과
55,회계학과,사회계열,122,123,major_회계학과
56,대기과학과,자연계열,124,125,major_대기과학과
57,동물자원학과,자연계열,126,127,major_동물자원학과
58,물리학과,자연계열,128,129,major_물리학과
59,미생물학과,자연계열,130,131,major_미생물학과
60,생명공학과,자연계열,132,133,major_생명공학과
61,생명과학과,자연계열,134,135,major_생명과학과
62,생물학과,자연계열,136,137,major_생물학과
63,수산생명의학과,자연계열,138,139,major_수산생명의학과
64,수학과,자연계열,140,141,major_수학과
65,식물자원학과,자연계열,142,143,major_식물자원학과
66,식품공학과,자연계열,144,145,major_식품공학과
67,식품영양학과,자연계열,146,147,major_식품영양학과
68,원예학과,자연계열,148,149,major_원예학과
69,응용수학과,자연계열,150,151,major_응용수학과
70,의류학과,자연계열,152,153,major_의류학과
71,조경학과,자연계열,154,155,major_조경학과
72,주거환경학과,자연계열,156,157,major_주거환경학과
73,지구환경과학과,자연계열,158,159,major_지구환경과학과
74,천문우주학과,자연계열,160,161,major_천문우주학과
75,통계학과,자연계열,162,163,major_통계학과
76,해양학과,자연계열,164,165,major_해양학과
77,화학과,자연계열,166,167,major_화학과
78,건설시스템공학과,공학계열,168,169,major_건설시스템공학과
79,건설환경공학과,공학계열,170,171,major_건설환경공학과
80,건축공학과,공학계열,172,173,major_건축공학과
81,건축학과,공학계열,174,175,major_건축학과
82,고분자공학과,공학계열,176,177,major_고분자공학과
83,교통공학과,공학계열,178,179,major_교통공학과
84,기계공학과,공학계열,180,181,major_기계공학과
85,기계시스템공학과,공학계열,182,183,major_기계시스템공학과
86,도시공학과,공학계열,184,185,major_도시공학과
87,로봇공학과,공학계열,186,187,major_로봇공학과
88,메카트로닉스공학과,공학계열,188,189,major_메카트로닉스공학과
