major_uid,major_no,major_code,major_name,category_id,category_name,status,source_relative_path
autonomous_198,198,198,전공자율선택제,autonomous,자율전공계열,complete_multi_page_visible,autonomous/majors/198_#Uc804#Uacf5#Uc790#Uc728#Uc120#Ud0dd#Uc81c.json
engineering_078,78,078,건설시스템공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/078_#Uac74#Uc124#Uc2dc#Uc2a4#Ud15c#Uacf5#Ud559#Uacfc.json
engineering_079,79,079,건설환경공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/079_#Uac74#Uc124#Ud658#Uacbd#Uacf5#Ud559#Uacfc.json
engineering_080,80,080,건축공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/080_#Uac74#Ucd95#Uacf5#Ud559#Uacfc.json
engineering_081,81,081,건축학과,engineering,공학계열,complete_two_page_visible,engineering/majors/081_#Uac74#Ucd95#Ud559#Uacfc.json
engineering_082,82,082,고분자공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/082_#Uace0#Ubd84#Uc790#Uacf5#Ud559#Uacfc.json
engineering_083,83,083,교통공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/083_#Uad50#Ud1b5#Uacf5#Ud559#Uacfc.json
engineering_084,84,084,기계공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/084_#Uae30#Uacc4#Uacf5#Ud559#Uacfc.json
engineering_085,85,085,기계시스템공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/085_#Uae30#Uacc4#Uc2dc#Uc2a4#Ud15c#Uacf5#Ud559#Uacfc.json
engineering_086,86,086,도시공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/086_#Ub3c4#Uc2dc#Uacf5#Ud559#Uacfc.json
engineering_087,87,087,로봇공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/087_#Ub85c#Ubd07#Uacf5#Ud559#Uacfc.json
engineering_088,88,088,메카트로닉스공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/088_#Uba54#Uce74#Ud2b8#Ub85c#Ub2c9#Uc2a4#Uacf5#Ud559#Uacfc.json
engineering_089,89,089,반도체공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/089_#Ubc18#Ub3c4#Uccb4#Uacf5#Ud559#Uacfc.json
engineering_090,90,090,산업경영공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/090_#Uc0b0#Uc5c5#Uacbd#Uc601#Uacf5#Ud559#Uacfc.json
engineering_091,91,091,산업공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/091_#Uc0b0#Uc5c5#Uacf5#Ud559#Uacfc.json
engineering_092,92,092,소방방재학과,engineering,공학계열,complete_two_page_visible,engineering/majors/092_#Uc18c#Ubc29#Ubc29#Uc7ac#Ud559#Uacfc.json
