major_no,major_name,detail_status,visible_pdf_pages,book_pages,source_json
121,간호학과,complete_two_page_visible,2-3,262-263,majors/121_간호학과.json
122,안경광학과,complete_two_page_visible,4-5,264-265,majors/122_안경광학과.json
123,물리치료학과,complete_two_page_visible,6-7,266-267,majors/123_물리치료학과.json
124,방사선학과,complete_two_page_visible,8-9,268-269,majors/124_방사선학과.json
125,보건관리학과,complete_two_page_visible,10-11,270-271,majors/125_보건관리학과.json
126,수의예과,complete_two_page_visible,12-13,272-273,majors/126_수의예과.json
127,약학과,complete_two_page_visible,14-15,274-275,majors/127_약학과.json
128,언어치료학과,complete_two_page_visible,16-17,276-277,majors/128_언어치료학과.json
129,응급구조학과,complete_two_page_visible,18-19,278-279,majors/129_응급구조학과.json
130,한약학과,partial_one_page_visible,20,280,majors/130_한약학과.json
