display_order,major_id,major_name,series,series_kor,status,source_file,source_page_refs,json_path
56,natural_056,대기과학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,2-3,natural/majors/56_대기과학과.json
57,natural_057,동물자원학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,4-5,natural/majors/57_동물자원학과.json
58,natural_058,물리학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,6-7,natural/majors/58_물리학과.json
59,natural_059,미생물학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,8-9,natural/majors/59_미생물학과.json
60,natural_060,생명공학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,10-11,natural/majors/60_생명공학과.json
61,natural_061,생명과학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,12-13,natural/majors/61_생명과학과.json
62,natural_062,생물학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,14-15,natural/majors/62_생물학과.json
63,natural_063,수산생명의학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,16-17,natural/majors/63_수산생명의학과.json
64,natural_064,수학과,natural,자연계열,complete_two_page_visible,학과별 전공탐구 활동_자연계열.pdf,18-19,natural/majors/64_수학과.json
65,natural_065,식물자원학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,1-2,natural/majors/65_식물자원학과.json
66,natural_066,식품공학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,3-4,natural/majors/66_식품공학과.json
67,natural_067,식품영양학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,5-6,natural/majors/67_식품영양학과.json
68,natural_068,원예학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,7-8,natural/majors/68_원예학과.json
69,natural_069,응용수학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,9-10,natural/majors/69_응용수학과.json
70,natural_070,의류학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,11-12,natural/majors/70_의류학과.json
71,natural_071,조경학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,13-14,natural/majors/71_조경학과.json
72,natural_072,주거환경학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,15-16,natural/majors/72_주거환경학과.json
73,natural_073,지구환경과학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,17-18,natural/majors/73_지구환경과학과.json
74,natural_074,천문우주학과,natural,자연계열,complete_two_page_visible,자연계열 파트 2.pdf,19-20,natural/majors/74_천문우주학과.json
