problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-020,20,이등변삼각형의 성질·조건·접기 활용,M2_GEOM_PT023|M2_GEOM_PT026|M2_GEOM_PT107,existing_canonical_type_matched
021-031,11,직각삼각형의 합동 조건과 각의 이등분선,M2_GEOM_PT029|M2_GEOM_PT047,existing_canonical_type_matched
032-048,17,삼각형의 외심·외접원과 각·길이 계산,M2_GEOM_PT038|M2_GEOM_PT044|M2_GEOM_PT041,existing_canonical_type_matched
049-070,22,삼각형의 내심·내접원과 각·길이 계산,M2_GEOM_PT050|M2_GEOM_PT053|M2_GEOM_PT119,existing_canonical_type_matched
071-080,10,외심과 내심의 비교·종합 및 직각삼각형의 두 원,M2_GEOM_PT055|M2_GEOM_PT119|M2_GEOM_PT056|M2_GEOM_PT041|M2_GEOM_PT053,existing_canonical_type_matched
081-091,11,평행사변형의 변·각·대각선 성질,M2_GEOM_PT074|M2_GEOM_PT071,existing_canonical_type_matched
092-099,8,평행사변형이 되는 조건의 증명·판정·응용,M2_GEOM_PT100|M2_GEOM_PT121|M2_GEOM_PT067|M2_GEOM_PT140,existing_canonical_type_matched
100-107,8,평행사변형의 넓이 관계,M2_GEOM_PT116,existing_canonical_type_matched
108-124,17,직사각형·마름모·정사각형의 성질과 조건,M2_GEOM_PT077|M2_GEOM_PT104|M2_GEOM_PT080|M2_GEOM_PT083|M2_GEOM_PT103,existing_canonical_type_matched
125-125,1,등변사다리꼴의 성질,M2_GEOM_PT086,existing_canonical_type_matched
126-136,11,여러 사각형의 관계·대각선·중점 연결 사각형,M2_GEOM_PT134|M2_GEOM_PT140|M2_GEOM_PT089|M2_GEOM_PT092|M2_GEOM_PT137,existing_canonical_type_matched
137-150,14,평행선과 삼각형·사각형의 넓이 관계,M2_GEOM_PT116|M2_GEOM_PT140,existing_canonical_type_matched
