problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-004,4,미지수가 자연수인 일차방정식의 해 구하기,M2_LE_PT011|M2_LE_PT012,existing_canonical_type_matched
005-009,5,일차방정식의 해 또는 계수가 문자로 주어질 때,M2_LE_PT015|M2_LE_PT014,existing_canonical_type_matched
010-014,5,연립방정식의 풀이,M2_LE_PT034,existing_canonical_type_matched
015-018,4,계수가 분수인 연립방정식의 풀이,M2_LE_PT043,existing_canonical_type_matched
019-022,4,계수가 소수인 연립방정식의 풀이,M2_LE_PT047,existing_canonical_type_matched
023-026,4,비례식을 포함한 연립방정식의 풀이,M2_LE_PT052,existing_canonical_type_matched
027-031,5,A=B=C 꼴의 방정식의 풀이,M2_LE_PT059,existing_canonical_type_matched
032-036,5,"연립방정식의 해를 알 때, 미지수의 값 구하기",M2_LE_PT061,existing_canonical_type_matched
037-041,5,연립방정식의 해와 조건식(1) - 연립방정식의 해를 한 해로 갖는 일차방정식,M2_LE_PT065,existing_canonical_type_matched
042-046,5,"연립방정식의 해와 조건식(2) - x, y에 관한 조건식",M2_LE_PT068|M2_LE_PT067,existing_canonical_type_matched
047-049,3,계수 또는 상수항을 잘못 보고 구한 해,M2_LE_PT071|M2_LE_PT070,existing_canonical_type_matched
050-054,5,해가 서로 같은 두 연립방정식에서 미지수의 값 구하기,M2_LE_PT074,existing_canonical_type_matched
055-058,4,해가 특수한 연립방정식(2) - 해가 없는 경우,M2_LE_PT079,existing_canonical_type_matched
059-063,5,두 자리 또는 세 자리 자연수에 대한 문제,M2_LE_PT086,existing_canonical_type_matched
064-068,5,평균에 대한 문제,M2_LE_PT089|M2_LE_PT088,existing_canonical_type_matched
069-073,5,가격과 개수에 대한 문제(1) - 개수 구하기,M2_LE_PT092|M2_LE_PT091,existing_canonical_type_matched
074-078,5,여러 가지 개수에 대한 문제,M2_LE_PT097|M2_LE_PT098,existing_canonical_type_matched
079-082,4,나이에 대한 문제,M2_LE_PT101,existing_canonical_type_matched
083-087,5,비율에 대한 문제,M2_LE_PT103,existing_canonical_type_matched
088-092,5,도형에 대한 문제,M2_LE_PT109|M2_LE_PT108|M2_LE_PT107,existing_canonical_type_matched
093-096,4,"득점, 감점에 대한 문제",M2_LE_PT111|M2_LE_PT112,existing_canonical_type_matched
097-099,3,계단에 대한 문제,M2_LE_PT118,existing_canonical_type_matched
100-104,5,"증가, 감소에 대한 문제",M2_LE_PT121|M2_LE_PT120,existing_canonical_type_matched
105-109,5,"이익, 할인에 대한 문제",M2_LE_PT124,existing_canonical_type_matched
110-114,5,일에 대한 문제,M2_LE_PT126|M2_LE_PT127,existing_canonical_type_matched
115-119,5,도중에 속력이 바뀌는 문제,M2_LE_PT133,existing_canonical_type_matched
120-124,5,왕복에 대한 문제,M2_LE_PT136,existing_canonical_type_matched
125-129,5,마주 보고 동시에 출발하는 문제,M2_LE_PT141|M2_LE_PT142,existing_canonical_type_matched
130-131,2,같은 방향으로 출발하여 만나는 문제,M2_LE_PT142,existing_canonical_type_matched
132-136,5,트랙을 도는 문제,M2_LE_PT145,existing_canonical_type_matched
137-140,4,강물에 대한 문제,M2_LE_PT146,existing_canonical_type_matched
141-145,5,소금물 또는 소금의 양을 구하는 문제,M2_LE_PT152|M2_LE_PT153,existing_canonical_type_matched
146-150,5,"합금, 식품에 대한 문제",M2_LE_PT156,existing_canonical_type_matched
