problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-004,4,유한소수로 나타낼 수 있는(없는) 분수,M2_NE_PT011,existing_canonical_type_matched
005-008,4,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,M2_NE_PT013|M2_NE_PT014,existing_canonical_type_matched
009-012,4,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,M2_NE_PT018|M2_NE_PT016,existing_canonical_type_matched
013-015,3,유한소수가 되는 x/A를 기약분수로 나타내기,M2_NE_PT019,existing_canonical_type_matched
016-018,3,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,M2_NE_PT022,existing_canonical_type_matched
019-022,4,순환마디,M2_NE_PT025|M2_NE_PT024,existing_canonical_type_matched
023-026,4,소수점 아래 n번째 자리의 숫자 구하기,M2_NE_PT033|M2_NE_PT031,existing_canonical_type_matched
027-029,3,순환소수가 되도록 하는 미지수의 값,M2_NE_PT034,existing_canonical_type_matched
030-033,4,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,M2_NE_PT045|M2_NE_PT043,existing_canonical_type_matched
034-037,4,순환소수의 대소 관계,M2_NE_PT048,existing_canonical_type_matched
038-041,4,순환소수를 포함한 식의 계산,M2_NE_PT050|M2_NE_PT051,existing_canonical_type_matched
042-045,4,순환소수를 포함한 부등식의 계산,M2_NE_PT053,existing_canonical_type_matched
046-049,4,순환소수를 포함한 등식에서 미지수의 값 구하기,M2_NE_PT057|M2_NE_PT055,existing_canonical_type_matched
050-053,4,잘못 계산한 경우 어떤 수/바르게 계산한 값 구하기,M2_NE_PT062,existing_canonical_type_matched
054-056,3,(순환소수)X x가 유한소수 또는 자연수가 되도록 하는 x의 값 구하기,M2_NE_PT063|M2_NE_PT064,existing_canonical_type_matched
057-059,3,유리수와 순환소수의 관계-소수의 이해,M2_NE_PT068,existing_canonical_type_matched
060-062,3,지수법칙(1) - 거듭제곱의 곱셈,M2_NE_PT073|M2_NE_PT072,existing_canonical_type_matched
063-066,4,지수법칙(3) - 거듭제곱의 나눗셈,M2_NE_PT080,existing_canonical_type_matched
067-069,3,지수법칙(4) - 곱의 거듭제곱,M2_NE_PT085|M2_NE_PT084,existing_canonical_type_matched
070-073,4,지수법칙(6) - 종합,M2_NE_PT090|M2_NE_PT091,existing_canonical_type_matched
074-077,4,지수법칙을 이용한 실생활 문제,M2_NE_PT096|M2_NE_PT097,existing_canonical_type_matched
078-081,4,지수법칙의 응용(1) - 같은 수의 덧셈식,M2_NE_PT103|M2_NE_PT101,existing_canonical_type_matched
082-085,4,지수법칙의 응용(2) - 다른 문자를 이용하여 나타내기(1),M2_NE_PT105|M2_NE_PT106,existing_canonical_type_matched
086-089,4,지수법칙의 응용(3) - 다른 문자를 이용하여 나타내기(2),M2_NE_PT108|M2_NE_PT107,existing_canonical_type_matched
090-093,4,지수법칙의 응용(4) - 지수법칙과 일의 자릿수,M2_NE_PT109|M2_NE_PT110,existing_canonical_type_matched
094-097,4,지수법칙의 응용(5) - 지수법칙과 자연수의 자릿수,M2_NE_PT112|M2_NE_PT113,existing_canonical_type_matched
098-101,4,지수에 미지수가 포함된 방정식의 풀이,M2_NE_PT115|M2_NE_PT119|M2_NE_PT120,existing_canonical_type_matched
102-104,3,단항식의 곱셈,M2_NE_PT123,existing_canonical_type_matched
105-108,4,단항식의 나눗셈,M2_NE_PT128,existing_canonical_type_matched
109-110,2,단항식의 곱셈과 나눗셈의 혼합 계산,M2_NE_PT132|M2_NE_PT130,existing_canonical_type_matched
111-113,3,단항식의 계산에서 빈 칸에 알맞은 식 구하기,M2_NE_PT135|M2_NE_PT136,existing_canonical_type_matched
114-117,4,도형에서의 단항식의 계산(2) - 입체도형,M2_NE_PT143,existing_canonical_type_matched
118-121,4,다항식의 덧셈과 뺄셈,M2_NE_PT148|M2_NE_PT149,existing_canonical_type_matched
122-123,2,이차식의 덧셈과 뺄셈,M2_NE_PT152,existing_canonical_type_matched
124-126,3,여러 가지 괄호가 있는 식의 계산,M2_NE_PT157|M2_NE_PT159,existing_canonical_type_matched
127-130,4,다항식의 덧셈/뺄셈에서 빈 칸에 알맞은 식 구하기,M2_NE_PT163|M2_NE_PT164,existing_canonical_type_matched
131-134,4,사칙연산이 혼합된 계산,M2_NE_PT178|M2_NE_PT177|M2_NE_PT179,existing_canonical_type_matched
135-138,4,도형에서의 다항식의 계산(1) - 평면도형,M2_NE_PT181|M2_NE_PT182,existing_canonical_type_matched
139-142,4,도형에서의 다항식의 계산(2) - 입체도형,M2_NE_PT184|M2_NE_PT185,existing_canonical_type_matched
143-146,4,식의 값,M2_NE_PT190|M2_NE_PT191,existing_canonical_type_matched
147-150,4,식의 대입,M2_NE_PT193|M2_NE_PT194,existing_canonical_type_matched
