problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-018,18,닮음의 뜻과 삼각형 닮음 조건,M2_SIMPY_PT004|M2_SIMPY_PT005|M2_SIMPY_PT022|M2_SIMPY_PT023|M2_SIMPY_PT026|M2_SIMPY_PT029|M2_SIMPY_PT031|M2_SIMPY_PT033|M2_SIMPY_PT035|M2_SIMPY_PT036,all_existing_canonical_types_matched
019-039,21,종이접기·평행선과 각의 이등분선,M2_SIMPY_PT038|M2_SIMPY_PT042|M2_SIMPY_PT044|M2_SIMPY_PT047|M2_SIMPY_PT053|M2_SIMPY_PT054|M2_SIMPY_PT056|M2_SIMPY_PT057|M2_SIMPY_PT058|M2_SIMPY_PT059,all_existing_canonical_types_matched
040-055,16,평행선과 사다리꼴 선분비,M2_SIMPY_PT065|M2_SIMPY_PT067|M2_SIMPY_PT070|M2_SIMPY_PT074|M2_SIMPY_PT077|M2_SIMPY_PT080,all_existing_canonical_types_matched
056-077,22,중점연결정리·중선,M2_SIMPY_PT083|M2_SIMPY_PT086|M2_SIMPY_PT089|M2_SIMPY_PT090|M2_SIMPY_PT096|M2_SIMPY_PT098|M2_SIMPY_PT100|M2_SIMPY_PT101,all_existing_canonical_types_matched
078-094,17,삼각형의 무게중심과 넓이,M2_SIMPY_PT104|M2_SIMPY_PT105|M2_SIMPY_PT112|M2_SIMPY_PT113|M2_SIMPY_PT116|M2_SIMPY_PT120|M2_SIMPY_PT125|M2_SIMPY_PT126|M2_SIMPY_PT127|M2_SIMPY_PT128,all_existing_canonical_types_matched
095-113,19,닮음비의 넓이·부피와 실생활 활용,M2_SIMPY_PT131|M2_SIMPY_PT133|M2_SIMPY_PT135|M2_SIMPY_PT143|M2_SIMPY_PT144|M2_SIMPY_PT146|M2_SIMPY_PT148|M2_SIMPY_PT149,all_existing_canonical_types_matched
114-131,18,피타고라스 정리의 기본 길이·넓이 계산,M2_SIMPY_PT152|M2_SIMPY_PT153|M2_SIMPY_PT155|M2_SIMPY_PT156|M2_SIMPY_PT158|M2_SIMPY_PT159|M2_SIMPY_PT161|M2_SIMPY_PT162,all_existing_canonical_types_matched
132-141,10,피타고라스 정리의 증명·역·삼각형 분류,M2_SIMPY_PT165|M2_SIMPY_PT166|M2_SIMPY_PT167,all_existing_canonical_types_matched
142-147,6,피타고라스 정리의 평면도형 응용,M2_SIMPY_PT171|M2_SIMPY_PT174,all_existing_canonical_types_matched
148-150,3,입체도형에서의 피타고라스 정리,M2_SIMPY_PT177,all_existing_canonical_types_matched
