problem_range,item_count,source_label,canonical_problem_type_ids,mapping_status
001-012,12,반원에서의 접선,M3_CIRC_PT032,all_existing_canonical_types_matched
013-016,4,원에 외접하는 사각형의 성질의 활용(1); 직사각형,M3_CIRC_PT048,all_existing_canonical_types_matched
017-030,14,원주각과 중심각의 크기(1),M3_CIRC_PT053|M3_CIRC_PT052,all_existing_canonical_types_matched
031-042,12,원주각의 성질(1); 한 호,M3_CIRC_PT063,all_existing_canonical_types_matched
043-056,14,원주각의 성질(2); 반원,M3_CIRC_PT065,all_existing_canonical_types_matched
057-068,12,원주각의 크기와 호의 길이(2),M3_CIRC_PT077,all_existing_canonical_types_matched
069-080,12,원주각의 크기와 호의 길이(3),M3_CIRC_PT080,all_existing_canonical_types_matched
081-088,8,네 점이 한 원에 있기 위한 조건,M3_CIRC_PT082|M3_CIRC_PT083,all_existing_canonical_types_matched
089-107,19,원에 내접하는 사각형의 성질(1),M3_CIRC_PT085,all_existing_canonical_types_matched
108-119,12,원에 내접하는 사각형의 성질(2),M3_CIRC_PT089|M3_CIRC_PT090,all_existing_canonical_types_matched
120-133,14,접선과 현이 이루는 각; 원주각,M3_CIRC_PT107,all_existing_canonical_types_matched
134-138,5,접선과 현이 이루는 각의 활용(1); 현이 중심을 지나지 않는 경우,M3_CIRC_PT113,all_existing_canonical_types_matched
139-150,12,접선과 현이 이루는 각의 활용(2); 현이 중심을 지나는 경우,M3_CIRC_PT115,all_existing_canonical_types_matched
