source_id,problem_type_id,variant_id,group_count,duplicate_status,exact_duplicate_count,policy
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT001,H2_ALG_EXLOG_FUNC_PT001___BASIC_CONCEPT_FORM,3,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT001,H2_ALG_EXLOG_FUNC_PT001___CONDITION_APPLICATION_FORM,3,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT001,H2_ALG_EXLOG_FUNC_PT001___MIXED_REVIEW_FORM,4,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT010,H2_ALG_EXLOG_FUNC_PT010___CONDITION_APPLICATION_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT012,H2_ALG_EXLOG_FUNC_PT012___MIXED_REVIEW_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT025,H2_ALG_EXLOG_FUNC_PT025___CONDITION_APPLICATION_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT027,H2_ALG_EXLOG_FUNC_PT027___MIXED_REVIEW_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT037,H2_ALG_EXLOG_FUNC_PT037___BASIC_CONCEPT_FORM,11,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT037,H2_ALG_EXLOG_FUNC_PT037___CONDITION_APPLICATION_FORM,15,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT039,H2_ALG_EXLOG_FUNC_PT039___MIXED_REVIEW_FORM,16,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT049,H2_ALG_EXLOG_FUNC_PT049___BASIC_CONCEPT_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT049,H2_ALG_EXLOG_FUNC_PT049___CONDITION_APPLICATION_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT051,H2_ALG_EXLOG_FUNC_PT051___MIXED_REVIEW_FORM,2,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT085,H2_ALG_EXLOG_FUNC_PT085___BASIC_CONCEPT_FORM,3,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT085,H2_ALG_EXLOG_FUNC_PT085___CONDITION_APPLICATION_FORM,3,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT087,H2_ALG_EXLOG_FUNC_PT087___MIXED_REVIEW_FORM,4,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT169,H2_ALG_EXLOG_FUNC_PT169___BASIC_CONCEPT_FORM,10,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT169,H2_ALG_EXLOG_FUNC_PT169___CONDITION_APPLICATION_FORM,11,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT171,H2_ALG_EXLOG_FUNC_PT171___MIXED_REVIEW_FORM,14,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT301,H2_ALG_EXLOG_FUNC_PT301___BASIC_CONCEPT_FORM,4,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
SIDAE_SU1_MORE,H2_ALG_EXLOG_FUNC_PT301,H2_ALG_EXLOG_FUNC_PT301___CONDITION_APPLICATION_FORM,5,near_duplicate_group_only,0,not removed; diversity_weight controls repeated exposure
