item_id,source_id,source_question_no,source_page,answer_key,engine_unit_id,engine_subunit_id,matched_problem_type_id,type_name,difficulty,mapping_status,mapping_confidence
js_exp_log_150_064,js_exp_log_150,064,18,25,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT032,지수함수의 성질 - 조건·그래프 적용 - 조건 적용,high,registered_type_match,0.82
js_exp_log_150_065,js_exp_log_150,065,18,3,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT032,지수함수의 성질 - 조건·그래프 적용 - 조건 적용,core,registered_type_match,0.82
js_exp_log_150_066,js_exp_log_150,066,18,3,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT032,지수함수의 성질 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
js_exp_log_150_067,js_exp_log_150,067,19,3,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT032,지수함수의 성질 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
js_exp_log_150_068,js_exp_log_150,068,19,2,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,high,registered_type_match,0.82
js_exp_log_150_069,js_exp_log_150,069,20,3,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,core,registered_type_match,0.82
js_exp_log_150_070,js_exp_log_150,070,20,24,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT115,지수함수의 최대·최소(3) a^x 꼴이 반복되는 경우 - 조건·그래프 적용 - 기본 판별,advanced,registered_type_match,0.82
js_exp_log_150_071,js_exp_log_150,071,20,71,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
js_exp_log_150_072,js_exp_log_150,072,20,4,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,high,registered_type_match,0.82
js_exp_log_150_073,js_exp_log_150,073,21,5,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,core,registered_type_match,0.82
js_exp_log_150_074,js_exp_log_150,074,21,5,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT044,지수함수의 그래프 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
js_exp_log_150_075,js_exp_log_150,075,21,1,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT104,지수함수의 최대·최소(2) y=a^(px^2+qx+r) 꼴 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
js_exp_log_150_076,js_exp_log_150,076,21,1/2,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT104,지수함수의 최대·최소(2) y=a^(px^2+qx+r) 꼴 - 조건·그래프 적용 - 조건 적용,high,registered_type_match,0.82
js_exp_log_150_077,js_exp_log_150,077,22,-4,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT104,지수함수의 최대·최소(2) y=a^(px^2+qx+r) 꼴 - 조건·그래프 적용 - 조건 적용,core,registered_type_match,0.82
js_exp_log_150_078,js_exp_log_150,078,22,5,ALG_EXPLOG_FUNCTION,ALG_EXPLOG_FUNCTION_EXP,H2_ALG_EXLOG_FUNC_PT104,지수함수의 최대·최소(2) y=a^(px^2+qx+r) 꼴 - 조건·그래프 적용 - 조건 적용,advanced,registered_type_match,0.82
