item_id,source_id,book_id,source_subject,source_unit_id,source_unit_name,source_subunit_order,source_subunit_name,source_question_no,problem_pdf_file,problem_pdf_page,solution_pdf_file,solution_ref_status,target_curriculum_subject,target_domain_id,target_domain_name,engine_unit_id,engine_unit_name,matched_problem_type_id,matched_problem_type_name,concept_ids,engine_type_default_difficulty,item_difficulty,mapping_status,review_status,variant_id,variant_tags,near_duplicate_group,duplicate_of,diversity_weight,diagnosis_weight,skill_tags,error_tags,prerequisite_tags,storage_policy,created_at
SIDAE_SU1_MORE_ALG_Q128,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,128,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___BASIC_CONCEPT_FORM,exponent|graph|basic_concept_form,H2_ALG_EXLOG_FUNC_PT037_01_basic_concept_form,,1.0,0.8,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q129,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,129,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___BASIC_CONCEPT_FORM,exponent|graph|basic_concept_form,H2_ALG_EXLOG_FUNC_PT037_01_basic_concept_form,,1.0,0.8,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q130,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,130,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___BASIC_CONCEPT_FORM,exponent|graph|basic_concept_form,H2_ALG_EXLOG_FUNC_PT037_01_basic_concept_form,,1.0,0.8,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q131,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,131,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___CONDITION_APPLICATION_FORM,exponent|graph|condition_application_form,H2_ALG_EXLOG_FUNC_PT037_01_condition_application_form,,1.0,0.9,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q132,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,132,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___CONDITION_APPLICATION_FORM,exponent|graph|condition_application_form,H2_ALG_EXLOG_FUNC_PT037_01_condition_application_form,,1.0,0.9,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q133,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,133,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___CONDITION_APPLICATION_FORM,exponent|graph|condition_application_form,H2_ALG_EXLOG_FUNC_PT037_01_condition_application_form,,1.0,0.9,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q134,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,134,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT037,지수함수의 그래프 - 기본 개념 판별 - 기본 판별,H2_ALG_EXLOG_FUNC_C013,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT037___CONDITION_APPLICATION_FORM,exponent|graph|condition_application_form,H2_ALG_EXLOG_FUNC_PT037_01_condition_application_form,,0.7,0.9,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q135,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,135,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT039,지수함수의 그래프 - 기본 개념 판별 - 혼합 검산,H2_ALG_EXLOG_FUNC_C013,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT039___MIXED_REVIEW_FORM,exponent|graph|mixed_review_form,H2_ALG_EXLOG_FUNC_PT039_01_mixed_review_form,,1.0,1.0,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q136,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,136,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,5,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT039,지수함수의 그래프 - 기본 개념 판별 - 혼합 검산,H2_ALG_EXLOG_FUNC_C013,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT039___MIXED_REVIEW_FORM,exponent|graph|mixed_review_form,H2_ALG_EXLOG_FUNC_PT039_01_mixed_review_form,,1.0,1.0,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q137,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG_FUNCTION_GRAPH,지수함수와 로그함수,1,지수함수의 그래프: 기본 성질,137,2027 시대인재 기출MORE 지수함수와 로그함수.pdf,5,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALGEBRA_EXP_LOG_FUNCTION,지수함수와 로그함수,H2_ALG_EXLOG_FUNC_PT039,지수함수의 그래프 - 기본 개념 판별 - 혼합 검산,H2_ALG_EXLOG_FUNC_C013,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_EXLOG_FUNC_PT039___MIXED_REVIEW_FORM,exponent|graph|mixed_review_form,H2_ALG_EXLOG_FUNC_PT039_01_mixed_review_form,,1.0,1.0,exponent|graph|condition_check|answer_validation,exponential_graph|graph_shape|asymptote,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
