item_id,source_id,source_title,source_subject,source_file,solution_file,source_section_code,source_unit,source_question_no,source_page,source_solution_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
drill_su1_sequence_001,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,001,2,3,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_002,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,002,4,5,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_003,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,003,6,7,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_004,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,004,8,9,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_005,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,005,10,11,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_006,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,006,12,13,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_007,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,007,14,15,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_008,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,008,16,17,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_009,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,009,18,19,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_ARITH_GEOM,등차수열과 등비수열,ALG_SEQ_PT_ARITH_GEOM_ADV,"[""ALG_SEQUENCE_ARITH_GEOM""]",등차·등비수열 조건 해석,ALG_SEQ_PT_ARITH_GEOM_ADV_ARITH_GEOM_CONDITION,"[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""arithmetic_sequence"", ""geometric_sequence"", ""condition_analysis""]","[""공차·공비 조건 혼동"", ""일반항 설정 오류"", ""조건식을 수열식으로 바꾸는 과정 오류""]","[""일차식"", ""지수법칙"", ""수열의 뜻""]",high,matched,,ALG_SEQ_PT_ARITH_GEOM_ADV::arith_geom_condition,0.9,problem_text_not_stored; metadata_only,
drill_su1_sequence_010,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 수열.pdf,드릴 수학1 지수함수와 수열(해설).pdf,Chapter 3,수열,010,20,21,대수,ALG_SEQUENCE,수열,ALG_SEQUENCE_SUM,수열의 합,ALG_SEQ_PT_SUM_SIGMA_ADV,"[""ALG_SEQUENCE_SUM""]",수열의 합과 시그마 고난도,ALG_SEQ_PT_SUM_SIGMA_ADV_SIGMA_SUM_TRANSFORMATION,"[""sigma"", ""sum_formula"", ""telescoping""]","[""sigma"", ""sum_formula"", ""telescoping""]","[""시그마 범위 해석 오류"", ""부분분수/망원합 구조 미인식"", ""합 공식 선택 오류""]","[""등차수열 합"", ""등비수열 합"", ""식 변형""]",high,matched,,ALG_SEQ_PT_SUM_SIGMA_ADV::sigma_sum_transformation,0.9,problem_text_not_stored; metadata_only,
