item_id,source_id,source_title,source_file,source_chapter,source_unit,source_step,source_theme_range,source_question_no,engine_subject,engine_unit_id,engine_unit_name,matched_problem_type_id,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,diagnosis_weight,mapping_status,review_note
sibal_alg_t23_27_step1_q001,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q001,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q002,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q002,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q003,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q003,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q004,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q004,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q005,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q005,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q006,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q006,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q007,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q007,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q008,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q008,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q009,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q009,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q010,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q010,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
sibal_alg_t23_27_step1_q011,sibal_algebra_workbook,현우진의 시발점 WORK BOOK 대수,시발점 대수 수열.pdf,Chapter 3 수열,STEP1 Theme 23~27,STEP1,T23_27,STEP1-T23_27-Q011,대수,ALG_SEQUENCE,대수 > 수열,ALG_SEQ_PT_ARITH_GEO,등차수열과 등비수열,SIBAL_ALG_T23_27_ARITH_GEO,arithmetic_sequence; geometric_sequence; general_term,일반항 구하기; 공차/공비 조건 해석; 수열 조건식 정리,공차/공비 혼동; 일반항 공식 적용 오류; 초항 조건 누락,일차식 계산; 지수법칙; 규칙성 인식,core,0.78,range_matched_review_required,스캔 이미지 PDF 기반: 문항 원문 저장 없이 테마/문항번호 범위와 대수 엔진 단원 기준으로 매핑. 세부 문항별 problem_type 정밀화는 검수 XLSX에서 후속 보정 가능.
