item_id,source_id,book_id,source_subject,source_unit_id,source_unit_name,source_subunit_order,source_subunit_name,source_question_no,problem_pdf_file,problem_pdf_page,solution_pdf_file,solution_ref_status,target_curriculum_subject,target_domain_id,target_domain_name,engine_unit_id,engine_unit_name,matched_problem_type_id,matched_problem_type_name,concept_ids,engine_type_default_difficulty,item_difficulty,mapping_status,review_status,variant_id,variant_tags,near_duplicate_group,duplicate_of,diversity_weight,diagnosis_weight,skill_tags,error_tags,prerequisite_tags,storage_policy,created_at
SIDAE_SU1_MORE_ALG_Q027,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,027,2027 시대인재 기출MORE 지수와 로그.pdf,8,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT001,수열의 일반항 - 기본 개념 판별 - 기본 판별,"[""H2_ALG_SEQ_C001""]",basic,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT001___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_ALG_SEQ_PT001_03_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q028,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,028,2027 시대인재 기출MORE 지수와 로그.pdf,9,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT001,수열의 일반항 - 기본 개념 판별 - 기본 판별,"[""H2_ALG_SEQ_C001""]",basic,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT001___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_ALG_SEQ_PT001_03_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q029,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,029,2027 시대인재 기출MORE 지수와 로그.pdf,9,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT001,수열의 일반항 - 기본 개념 판별 - 기본 판별,"[""H2_ALG_SEQ_C001""]",basic,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT001___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_ALG_SEQ_PT001_03_basic_concept_form,,1.0,0.8,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q030,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,030,2027 시대인재 기출MORE 지수와 로그.pdf,9,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT001,수열의 일반항 - 기본 개념 판별 - 기본 판별,"[""H2_ALG_SEQ_C001""]",basic,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT001___BASIC_CONCEPT_FORM,exponent|basic_concept_form,H2_ALG_SEQ_PT001_03_basic_concept_form,,0.7,0.8,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q031,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,031,2027 시대인재 기출MORE 지수와 로그.pdf,10,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT002,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,"[""H2_ALG_SEQ_C001""]",core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT002___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_ALG_SEQ_PT002_03_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q032,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,032,2027 시대인재 기출MORE 지수와 로그.pdf,10,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT002,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,"[""H2_ALG_SEQ_C001""]",core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT002___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_ALG_SEQ_PT002_03_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q033,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,033,2027 시대인재 기출MORE 지수와 로그.pdf,10,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT002,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,"[""H2_ALG_SEQ_C001""]",core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT002___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_ALG_SEQ_PT002_03_condition_application_form,,1.0,0.9,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q034,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,034,2027 시대인재 기출MORE 지수와 로그.pdf,10,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT002,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,"[""H2_ALG_SEQ_C001""]",core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT002___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_ALG_SEQ_PT002_03_condition_application_form,,0.7,0.9,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q035,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,035,2027 시대인재 기출MORE 지수와 로그.pdf,11,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT002,수열의 일반항 - 기본 개념 판별 - 식 계산·조건 적용,"[""H2_ALG_SEQ_C001""]",core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT002___CONDITION_APPLICATION_FORM,exponent|condition_application_form,H2_ALG_SEQ_PT002_03_condition_application_form,,0.7,0.9,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q036,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_EXP_LOG,지수와 로그,3,자연수가 되는 경우: 지수,036,2027 시대인재 기출MORE 지수와 로그.pdf,11,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_EXP_LOG_FOUNDATION,지수·로그 기초,H2_ALGEBRA_SEQUENCE,수열,H2_ALG_SEQ_PT003,수열의 일반항 - 기본 개념 판별 - 응용·보기형 검산,"[""H2_ALG_SEQ_C001""]",advanced,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_SEQ_PT003___MIXED_REVIEW_FORM,exponent|mixed_review_form,H2_ALG_SEQ_PT003_03_mixed_review_form,,1.0,1.0,exponent|condition_check|answer_validation,"[""sequence_meaning"", ""general_term"", ""term_value""]",basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
