item_id,source_id,source_title,source_subject,source_file,solution_file,source_section_code,source_unit,source_question_no,source_page,source_solution_page,engine_subject,engine_unit_id,engine_unit_name,engine_subunit_id,engine_subunit_name,matched_problem_type_id,concept_ids,type_name,variant_id,variant_tags,skill_tags,error_tags,prerequisite_concepts,difficulty,mapping_status,duplicate_of,near_duplicate_group,diagnosis_weight,copyright_note,review_note
drill_su1_trigonometric_function_001,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,001,2,3,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_002,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,002,4,5,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_003,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,003,6,7,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_004,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,004,8,9,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_005,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,005,10,11,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_006,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,006,12,13,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_007,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,007,14,15,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_008,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,008,16,17,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_DEFINITION_GRAPH,삼각함수의 뜻과 그래프,ALG_TRIG_PT_DEFINITION_GRAPH_ADV,"[""ALG_TRIG_DEFINITION_GRAPH""]",삼각함수 정의·그래프 해석,ALG_TRIG_PT_DEFINITION_GRAPH_ADV_RADIAN_GRAPH_PERIOD,"[""radian_measure"", ""period"", ""graph_reading""]","[""radian_measure"", ""period"", ""graph_reading""]","[""라디안과 각도 변환 혼동"", ""주기와 대칭성 해석 오류"", ""그래프에서 조건을 읽는 과정 오류""]","[""좌표평면"", ""함수 그래프"", ""원과 각""]",high,matched,,ALG_TRIG_PT_DEFINITION_GRAPH_ADV::radian_graph_period,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_009,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,009,18,19,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_EQUATION_ADV,"[""ALG_TRIG_GRAPH_EQUATION""]",삼각함수 그래프·방정식·부등식 복합,ALG_TRIG_PT_GRAPH_EQUATION_ADV_GRAPH_EQUATION_INEQUALITY,"[""trig_graph"", ""trig_equation"", ""trig_inequality""]","[""trig_graph"", ""trig_equation"", ""trig_inequality""]","[""주기 구간 설정 오류"", ""그래프와 방정식 연결 오류"", ""해의 개수 판정 오류""]","[""삼각함수 그래프"", ""방정식"", ""부등식""]",high,matched,,ALG_TRIG_PT_GRAPH_EQUATION_ADV::graph_equation_inequality,0.9,problem_text_not_stored; metadata_only,
drill_su1_trigonometric_function_010,drill_su1,DRILL 수학Ⅰ,수학Ⅰ,드릴 수학1 지수함수와 삼각함수.pdf,드릴 수학1 지수함수와 삼각함수(해설).pdf,Chapter 2,삼각함수,010,20,21,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,ALG_TRIG_GRAPH_EQUATION,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_EQUATION_ADV,"[""ALG_TRIG_GRAPH_EQUATION""]",삼각함수 그래프·방정식·부등식 복합,ALG_TRIG_PT_GRAPH_EQUATION_ADV_GRAPH_EQUATION_INEQUALITY,"[""trig_graph"", ""trig_equation"", ""trig_inequality""]","[""trig_graph"", ""trig_equation"", ""trig_inequality""]","[""주기 구간 설정 오류"", ""그래프와 방정식 연결 오류"", ""해의 개수 판정 오류""]","[""삼각함수 그래프"", ""방정식"", ""부등식""]",high,matched,,ALG_TRIG_PT_GRAPH_EQUATION_ADV::graph_equation_inequality,0.9,problem_text_not_stored; metadata_only,
