item_id,source_id,book_id,source_subject,source_unit_id,source_unit_name,source_subunit_order,source_subunit_name,source_question_no,problem_pdf_file,problem_pdf_page,solution_pdf_file,solution_ref_status,target_curriculum_subject,target_domain_id,target_domain_name,engine_unit_id,engine_unit_name,matched_problem_type_id,matched_problem_type_name,concept_ids,engine_type_default_difficulty,item_difficulty,mapping_status,review_status,variant_id,variant_tags,near_duplicate_group,duplicate_of,diversity_weight,diagnosis_weight,skill_tags,error_tags,prerequisite_tags,storage_policy,created_at
SIDAE_SU1_MORE_ALG_Q281,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,281,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___BASIC_CONCEPT_FORM,algebra_item|basic_concept_form,H2_ALG_TRIG_FUNC_PT049_01_basic_concept_form,,1.0,0.8,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q282,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,282,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___BASIC_CONCEPT_FORM,algebra_item|basic_concept_form,H2_ALG_TRIG_FUNC_PT049_01_basic_concept_form,,1.0,0.8,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q283,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,283,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___BASIC_CONCEPT_FORM,algebra_item|basic_concept_form,H2_ALG_TRIG_FUNC_PT049_01_basic_concept_form,,1.0,0.8,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q284,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,284,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,2,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___CONDITION_APPLICATION_FORM,algebra_item|condition_application_form,H2_ALG_TRIG_FUNC_PT049_01_condition_application_form,,1.0,0.9,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q285,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,285,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___CONDITION_APPLICATION_FORM,algebra_item|condition_application_form,H2_ALG_TRIG_FUNC_PT049_01_condition_application_form,,1.0,0.9,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q286,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,286,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT049,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C017,core,application,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT049___CONDITION_APPLICATION_FORM,algebra_item|condition_application_form,H2_ALG_TRIG_FUNC_PT049_01_condition_application_form,,1.0,0.9,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q287,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,287,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,3,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT051,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 혼합 검산,H2_ALG_TRIG_FUNC_C017,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT051___MIXED_REVIEW_FORM,algebra_item|mixed_review_form,H2_ALG_TRIG_FUNC_PT051_01_mixed_review_form,,1.0,1.0,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q288,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,288,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT051,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 혼합 검산,H2_ALG_TRIG_FUNC_C017,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT051___MIXED_REVIEW_FORM,algebra_item|mixed_review_form,H2_ALG_TRIG_FUNC_PT051_01_mixed_review_form,,1.0,1.0,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q289,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,1,호도법과 부채꼴,289,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT051,호의 길이와 부채꼴의 넓이 - 기본 개념 판별 - 혼합 검산,H2_ALG_TRIG_FUNC_C017,challenge,challenge,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT051___MIXED_REVIEW_FORM,algebra_item|mixed_review_form,H2_ALG_TRIG_FUNC_PT051_01_mixed_review_form,,1.0,1.0,algebra_item|condition_check|answer_validation,arc_length|sector_area|radian_application,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
SIDAE_SU1_MORE_ALG_Q290,SIDAE_SU1_MORE,SIDAE_SU1_MORE_2027,수학Ⅰ,SU1_TRIG_FUNCTION_GRAPH,삼각함수 뜻과 그래프,2,삼각함수의 기본 연산,290,2027 시대인재 기출MORE 삼각함수 뜻과 그래프.pdf,4,2027_시대인재 수능기출 MORE 수학1 해설.pdf,pending_solution_page_mapping,대수,ALG_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,H2_ALG_TRIG_FUNC_PT001,일반각을 동경으로 나타내기 - 기본 개념 판별 - 기본 판별,H2_ALG_TRIG_FUNC_C001,core,core,matched_by_source_subunit,teacher_review_recommended,H2_ALG_TRIG_FUNC_PT001___BASIC_CONCEPT_FORM,trig|basic_concept_form,H2_ALG_TRIG_FUNC_PT001_02_basic_concept_form,,1.0,0.8,trig|condition_check|answer_validation,general_angle|terminal_side|angle_representation,basic_algebra|function_reading|calculation_accuracy,metadata_only_no_problem_text,2026-07-09
