problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H1_CM1_EQINEQ_PT001,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 뜻과 분류 - 기본 판별,"복소수와 이차방정식 범주의 '복소수의 뜻과 분류' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C001|H1_CM1_EQINEQ_C002|H1_CM1_EQINEQ_C003,core,complex_number|real_imaginary_part|quadratic_equation,1,H1_CM1_EQINEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT002,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 뜻과 분류 - 조건 적용,"복소수와 이차방정식 범주의 '복소수의 뜻과 분류' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C001|H1_CM1_EQINEQ_C002|H1_CM1_EQINEQ_C003,standard,complex_number|real_imaginary_part|quadratic_equation,1,H1_CM1_EQINEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT003,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 뜻과 분류 - 활용 추론,"복소수와 이차방정식 범주의 '복소수의 뜻과 분류' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C001|H1_CM1_EQINEQ_C002|H1_CM1_EQINEQ_C003,advanced,complex_number|real_imaginary_part|quadratic_equation,1,H1_CM1_EQINEQ_RAW_001,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT004,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 사칙연산 - 기본 판별,"복소수와 이차방정식 범주의 '복소수의 사칙연산' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C004|H1_CM1_EQINEQ_C005,core,complex_number|real_imaginary_part|quadratic_equation,2,H1_CM1_EQINEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT005,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 사칙연산 - 조건 적용,"복소수와 이차방정식 범주의 '복소수의 사칙연산' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C004|H1_CM1_EQINEQ_C005,standard,complex_number|real_imaginary_part|quadratic_equation,2,H1_CM1_EQINEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT006,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 사칙연산 - 활용 추론,"복소수와 이차방정식 범주의 '복소수의 사칙연산' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C004|H1_CM1_EQINEQ_C005,advanced,complex_number|real_imaginary_part|quadratic_equation,2,H1_CM1_EQINEQ_RAW_002,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT007,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수가 실수 또는 순허수가 되는 조건 - 기본 판별,"복소수와 이차방정식 범주의 '복소수가 실수 또는 순허수가 되는 조건' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C003|H1_CM1_EQINEQ_C006,core,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3,H1_CM1_EQINEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT008,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수가 실수 또는 순허수가 되는 조건 - 조건 적용,"복소수와 이차방정식 범주의 '복소수가 실수 또는 순허수가 되는 조건' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C003|H1_CM1_EQINEQ_C006,standard,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3,H1_CM1_EQINEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT009,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수가 실수 또는 순허수가 되는 조건 - 활용 추론,"복소수와 이차방정식 범주의 '복소수가 실수 또는 순허수가 되는 조건' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C003|H1_CM1_EQINEQ_C006,advanced,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3,H1_CM1_EQINEQ_RAW_003,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT010,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 상등 - 기본 판별,"복소수와 이차방정식 범주의 '복소수의 상등' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C007|H1_CM1_EQINEQ_C006,core,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3|4,H1_CM1_EQINEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT011,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 상등 - 조건 적용,"복소수와 이차방정식 범주의 '복소수의 상등' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C007|H1_CM1_EQINEQ_C006,standard,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3|4,H1_CM1_EQINEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT012,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,복소수의 상등 - 활용 추론,"복소수와 이차방정식 범주의 '복소수의 상등' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C007|H1_CM1_EQINEQ_C006,advanced,complex_number|real_imaginary_part|quadratic_equation|unknown_parameter|condition_interpretation,3|4,H1_CM1_EQINEQ_RAW_004,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT013,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수의 뜻과 성질 - 기본 판별,"복소수와 이차방정식 범주의 '켤레복소수의 뜻과 성질' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C008|H1_CM1_EQINEQ_C009,core,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,4,H1_CM1_EQINEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT014,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수의 뜻과 성질 - 조건 적용,"복소수와 이차방정식 범주의 '켤레복소수의 뜻과 성질' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C008|H1_CM1_EQINEQ_C009,standard,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,4,H1_CM1_EQINEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT015,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수의 뜻과 성질 - 활용 추론,"복소수와 이차방정식 범주의 '켤레복소수의 뜻과 성질' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C008|H1_CM1_EQINEQ_C009,advanced,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,4,H1_CM1_EQINEQ_RAW_005,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT016,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수를 이용한 식의 값 - 기본 판별,"복소수와 이차방정식 범주의 '켤레복소수를 이용한 식의 값' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C009|H1_CM1_EQINEQ_C010,core,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,5,H1_CM1_EQINEQ_RAW_006,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT017,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수를 이용한 식의 값 - 조건 적용,"복소수와 이차방정식 범주의 '켤레복소수를 이용한 식의 값' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C009|H1_CM1_EQINEQ_C010,standard,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,5,H1_CM1_EQINEQ_RAW_006,curated_problem_type_from_raw_taxonomy
H1_CM1_EQINEQ_PT018,고1,H1_COMMON_MATH1_EQUATION_INEQUALITY,방정식과 부등식,켤레복소수를 이용한 식의 값 - 활용 추론,"복소수와 이차방정식 범주의 '켤레복소수를 이용한 식의 값' 유형을 진단한다. 학생이 조건을 식·그래프·부호 구간으로 바꾸고, 근의 개수와 해의 범위를 검산할 수 있는지 확인한다.",H1_CM1_EQINEQ_C009|H1_CM1_EQINEQ_C010,advanced,complex_number|real_imaginary_part|conjugate_complex|quadratic_equation,5,H1_CM1_EQINEQ_RAW_006,curated_problem_type_from_raw_taxonomy
