problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_ALG_TRIG_FUNC_PT001,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 기본 개념 판별 - 기본 판별,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 기본 개념 판별' 유형을 진단한다. 각의 단위, 부호, 정의, 주기, 삼각형 조건을 구분하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C001,core,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT002,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 기본 개념 판별 - 조건 적용,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 기본 개념 판별' 유형을 진단한다. 삼각함수 값, 그래프, 방정식·부등식, 법칙 적용 조건을 식으로 적용하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C001,application,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT003,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 기본 개념 판별 - 혼합 검산,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 기본 개념 판별' 유형을 진단한다. 구간, 해의 개수, 그래프 교점, 도형 조건, 보기형 문항을 끝까지 검산하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C001,challenge,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_001,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT004,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 식 계산 및 변형 - 기본 판별,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 식 계산 및 변형' 유형을 진단한다. 각의 단위, 부호, 정의, 주기, 삼각형 조건을 구분하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C002,core,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT005,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 식 계산 및 변형 - 조건 적용,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 식 계산 및 변형' 유형을 진단한다. 삼각함수 값, 그래프, 방정식·부등식, 법칙 적용 조건을 식으로 적용하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C002,application,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT006,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 식 계산 및 변형 - 혼합 검산,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 식 계산 및 변형' 유형을 진단한다. 구간, 해의 개수, 그래프 교점, 도형 조건, 보기형 문항을 끝까지 검산하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C002,challenge,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_002,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT007,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 조건·그래프 적용 - 기본 판별,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 조건·그래프 적용' 유형을 진단한다. 각의 단위, 부호, 정의, 주기, 삼각형 조건을 구분하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C003,core,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT008,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 조건·그래프 적용 - 조건 적용,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 조건·그래프 적용' 유형을 진단한다. 삼각함수 값, 그래프, 방정식·부등식, 법칙 적용 조건을 식으로 적용하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C003,application,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT009,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 조건·그래프 적용 - 혼합 검산,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 조건·그래프 적용' 유형을 진단한다. 구간, 해의 개수, 그래프 교점, 도형 조건, 보기형 문항을 끝까지 검산하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C003,challenge,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_003,curated_problem_type_from_raw_taxonomy
H2_ALG_TRIG_FUNC_PT010,고2,대수,H2_ALGEBRA_TRIGONOMETRIC_FUNCTION,삼각함수,일반각을 동경으로 나타내기 - 보기형·최종 검산 - 기본 판별,"일반각과 호도법 범주의 '일반각을 동경으로 나타내기 - 보기형·최종 검산' 유형을 진단한다. 각의 단위, 부호, 정의, 주기, 삼각형 조건을 구분하는 진단을 통해 학생이 일반각, 호도법, 삼각함수 그래프, 삼각방정식·부등식, 사인법칙·코사인법칙을 정확히 처리하는지 확인한다.",H2_ALG_TRIG_FUNC_C004,core,general_angle|terminal_side|angle_representation,1,H2_ALG_TRIG_FUNC_RAW_004,curated_problem_type_from_raw_taxonomy
