problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
H2_CALC1_INT_PT001,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 이해하기 - 기본 판별,"부정적분 범주의 '부정적분의 정의 이해하기' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C001""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT002,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 이해하기 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 이해하기' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C001""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT003,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 이해하기 - 응용·검산,"부정적분 범주의 '부정적분의 정의 이해하기' 유형을 응용·검산 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C001""]",advanced,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_001,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT004,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분에 대한 개념 문제 - 기본 판별,"부정적분 범주의 '부정적분의 정의 - 부정적분에 대한 개념 문제' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C002""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT005,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분에 대한 개념 문제 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 - 부정적분에 대한 개념 문제' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C002""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT006,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분에 대한 개념 문제 - 응용·검산,"부정적분 범주의 '부정적분의 정의 - 부정적분에 대한 개념 문제' 유형을 응용·검산 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C002""]",advanced,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_002,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT007,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기 - 기본 판별,"부정적분 범주의 '부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C003""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT008,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C003""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT009,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기 - 응용·검산,"부정적분 범주의 '부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기' 유형을 응용·검산 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C003""]",advanced,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_003,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT010,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기 - 기본 판별,"부정적분 범주의 '부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C004""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_004,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT011,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C004""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_004,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT012,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기 - 응용·검산,"부정적분 범주의 '부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기' 유형을 응용·검산 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C004""]",advanced,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_004,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT013,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분을 이용한 미정계수 결정 - 기본 판별,"부정적분 범주의 '부정적분의 정의 - 부정적분을 이용한 미정계수 결정' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C005""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_005,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT014,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분을 이용한 미정계수 결정 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 - 부정적분을 이용한 미정계수 결정' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C005""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_005,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT015,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 부정적분을 이용한 미정계수 결정 - 응용·검산,"부정적분 범주의 '부정적분의 정의 - 부정적분을 이용한 미정계수 결정' 유형을 응용·검산 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C005""]",advanced,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_005,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT016,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 두 부정적분의 관계 활용하기 - 기본 판별,"부정적분 범주의 '부정적분의 정의 - 두 부정적분의 관계 활용하기' 유형을 기본 판별 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C006""]",basic,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_006,curated_problem_type_from_raw_taxonomy
H2_CALC1_INT_PT017,고2,미적분1,H2_CALCULUS1_INTEGRATION,적분,부정적분의 정의 - 두 부정적분의 관계 활용하기 - 계산·조건 적용,"부정적분 범주의 '부정적분의 정의 - 두 부정적분의 관계 활용하기' 유형을 계산·조건 적용 수준으로 진단한다. 적분 계산, 대칭성 판단, 적분구간 분할, 넓이·속도 해석을 단계별로 확인한다.","[""H2_CALC1_INT_C006""]",core,"[""indefinite_integral"", ""antiderivative"", ""definition""]",[1],H2_CALC1_INT_RAW_006,curated_problem_type_from_raw_taxonomy
