problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_BG_PT001,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,도형의 기본 요소 판별하기,도형의 기본 요소 판별하기,"[""M1_BG_C001""]",basic,"[""geometry_vocabulary"", ""basic_elements""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT002,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,교점과 교선 찾기,교점과 교선 찾기,"[""M1_BG_C002""]",basic,"[""intersection_point_line"", ""geometry_vocabulary""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT003,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,직선·반직선·선분 구분하기,직선·반직선·선분 구분하기,"[""M1_BG_C003""]",basic,"[""line_ray_segment"", ""endpoint_direction""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT004,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,직선·반직선·선분의 개수 구하기,직선·반직선·선분의 개수 구하기,"[""M1_BG_C004""]",core,"[""counting_lines"", ""line_ray_segment""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT005,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,두 점 사이의 거리 구하기,두 점 사이의 거리 구하기,"[""M1_BG_C005""]",basic,"[""point_distance"", ""segment_length""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT006,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,선분의 중점 찾기,선분의 중점 찾기,"[""M1_BG_C006""]",core,"[""midpoint"", ""equal_length""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT007,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,두 점 사이의 거리 조건 활용하기,두 점 사이의 거리 조건 활용하기,"[""M1_BG_C005"", ""M1_BG_C006""]",core,"[""point_distance"", ""condition_reasoning""]",[1],curated_problem_type_from_raw_taxonomy
M1_BG_PT008,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,각의 이름과 크기 읽기,각의 이름과 크기 읽기,"[""M1_BG_C007""]",basic,"[""angle_vocabulary"", ""angle_reading""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT009,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,직각자를 이용하여 각의 크기 구하기,직각자를 이용하여 각의 크기 구하기,"[""M1_BG_C008""]",basic,"[""right_angle"", ""angle_calculation""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT010,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,평각을 이용하여 각의 크기 구하기,평각을 이용하여 각의 크기 구하기,"[""M1_BG_C008""]",core,"[""straight_angle"", ""angle_180""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT011,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,각의 크기 비가 주어진 경우 각도 구하기,각의 크기 비가 주어진 경우 각도 구하기,"[""M1_BG_C009""]",advanced,"[""angle_ratio"", ""angle_equation""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT012,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,각의 크기 조건이 주어진 경우 각도 구하기,각의 크기 조건이 주어진 경우 각도 구하기,"[""M1_BG_C009""]",advanced,"[""angle_condition"", ""equation""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT013,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,시침과 분침이 이루는 각의 크기 구하기,시침과 분침이 이루는 각의 크기 구하기,"[""M1_BG_C010""]",advanced,"[""clock_angle"", ""angle_calculation""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT014,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,맞꼭지각의 성질로 각도 구하기,맞꼭지각의 성질로 각도 구하기,"[""M1_BG_C011""]",core,"[""vertical_angles"", ""angle_property""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT015,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,맞꼭지각의 쌍의 개수 구하기,맞꼭지각의 쌍의 개수 구하기,"[""M1_BG_C011""]",advanced,"[""vertical_angles"", ""counting""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT016,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,수직과 수선 판별하기,수직과 수선 판별하기,"[""M1_BG_C012""]",basic,"[""perpendicular"", ""right_angle""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT017,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,점과 직선 사이의 거리 구하기,점과 직선 사이의 거리 구하기,"[""M1_BG_C013""]",core,"[""distance_point_to_line"", ""perpendicular""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT018,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,맞꼭지각 성질 활용하기,맞꼭지각 성질 활용하기,"[""M1_BG_C011"", ""M1_BG_C009""]",advanced,"[""vertical_angles"", ""angle_equation""]",[2],curated_problem_type_from_raw_taxonomy
M1_BG_PT019,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,점·직선·평면의 위치 관계 판단하기,점·직선·평면의 위치 관계 판단하기,"[""M1_BG_C014""]",basic,"[""position_relation"", ""point_line_plane""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT020,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,평면에서 두 직선의 위치 관계 판단하기,평면에서 두 직선의 위치 관계 판단하기,"[""M1_BG_C014""]",basic,"[""position_relation"", ""two_lines_plane""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT021,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,평면이 정해질 조건 판단하기,평면이 정해질 조건 판단하기,"[""M1_BG_C015""]",advanced,"[""plane_determination"", ""condition_judgement""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT022,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,꼬인 위치 판별하기,꼬인 위치 판별하기,"[""M1_BG_C016""]",core,"[""skew_lines"", ""spatial_relation""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT023,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,공간에서 두 직선의 위치 관계 판단하기,공간에서 두 직선의 위치 관계 판단하기,"[""M1_BG_C016""]",core,"[""spatial_relation"", ""two_lines_space""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT024,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,공간에서 직선과 평면의 위치 관계 판단하기,공간에서 직선과 평면의 위치 관계 판단하기,"[""M1_BG_C017""]",core,"[""line_plane_relation"", ""spatial_relation""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT025,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,점과 평면 사이의 거리 구하기,점과 평면 사이의 거리 구하기,"[""M1_BG_C013"", ""M1_BG_C017""]",advanced,"[""distance_point_to_plane"", ""perpendicular""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT026,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,공간에서 두 평면의 위치 관계 판단하기,공간에서 두 평면의 위치 관계 판단하기,"[""M1_BG_C018""]",core,"[""plane_plane_relation"", ""spatial_relation""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT027,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,잘린 입체도형에서 위치 관계 판단하기,잘린 입체도형에서 위치 관계 판단하기,"[""M1_BG_C019""]",advanced,"[""solid_geometry"", ""spatial_visualization""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT028,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,전개도에서 입체도형 위치 관계 판단하기,전개도에서 입체도형 위치 관계 판단하기,"[""M1_BG_C019""]",advanced,"[""net_to_solid"", ""spatial_visualization""]",[3],curated_problem_type_from_raw_taxonomy
M1_BG_PT029,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,동위각과 엇각 판별하기,동위각과 엇각 판별하기,"[""M1_BG_C020""]",core,"[""corresponding_alternate_angles"", ""angle_position""]",[4],curated_problem_type_from_raw_taxonomy
M1_BG_PT030,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,평행선의 성질로 각도 구하기,평행선의 성질로 각도 구하기,"[""M1_BG_C021""]",core,"[""parallel_lines"", ""angle_property""]",[4],curated_problem_type_from_raw_taxonomy
M1_BG_PT031,중1,M1_BASIC_GEOMETRY,기본 도형과 작도,두 직선이 평행할 조건 판단하기,두 직선이 평행할 조건 판단하기,"[""M1_BG_C022""]",core,"[""parallel_condition"", ""angle_property_reverse""]",[4],curated_problem_type_from_raw_taxonomy
