problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_DA_PT001,중1,M1_DATA_ANALYSIS,자료 정리와 해석,자료의 평균 구하기,자료의 평균 구하기,"[""M1_DA_C001"", ""M1_DA_C002""]",basic,"[""mean"", ""data_sum"", ""representative_value""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT002,중1,M1_DATA_ANALYSIS,자료 정리와 해석,자료의 평균 비교하기,자료의 평균 비교하기,"[""M1_DA_C002"", ""M1_DA_C003""]",basic,"[""mean_compare"", ""data_sum""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT003,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량의 수가 주어진 경우 평균 구하기,변량의 수가 주어진 경우 평균 구하기,"[""M1_DA_C002"", ""M1_DA_C004""]",core,"[""mean"", ""count_given"", ""reverse_reasoning""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT004,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량이 문자로 주어진 경우 평균 구하기,변량이 문자로 주어진 경우 평균 구하기,"[""M1_DA_C004""]",core,"[""mean"", ""unknown_variable""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT005,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량이 추가되는 경우 평균 구하기,변량이 추가되는 경우 평균 구하기,"[""M1_DA_C004""]",core,"[""mean"", ""added_data"", ""data_change""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT006,중1,M1_DATA_ANALYSIS,자료 정리와 해석,실생활 상황에서 평균 활용하기,실생활 상황에서 평균 활용하기,"[""M1_DA_C002"", ""M1_DA_C004""]",core,"[""mean"", ""real_context""]",[1],curated_problem_type_from_raw_taxonomy
M1_DA_PT007,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량이 모두 주어진 자료의 중앙값 구하기,변량이 모두 주어진 자료의 중앙값 구하기,"[""M1_DA_C005""]",basic,"[""median"", ""sorting""]",[2],curated_problem_type_from_raw_taxonomy
M1_DA_PT008,중1,M1_DATA_ANALYSIS,자료 정리와 해석,문자가 포함된 자료의 중앙값 구하기,문자가 포함된 자료의 중앙값 구하기,"[""M1_DA_C005"", ""M1_DA_C006""]",core,"[""median"", ""unknown_variable"", ""sorting""]",[2],curated_problem_type_from_raw_taxonomy
M1_DA_PT009,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량이 모두 주어진 자료의 최빈값 구하기,변량이 모두 주어진 자료의 최빈값 구하기,"[""M1_DA_C007""]",basic,"[""mode"", ""frequency""]",[2],curated_problem_type_from_raw_taxonomy
M1_DA_PT010,중1,M1_DATA_ANALYSIS,자료 정리와 해석,문자가 포함된 자료의 최빈값 구하기,문자가 포함된 자료의 최빈값 구하기,"[""M1_DA_C007"", ""M1_DA_C008""]",core,"[""mode"", ""unknown_variable"", ""frequency""]",[2],curated_problem_type_from_raw_taxonomy
M1_DA_PT011,중1,M1_DATA_ANALYSIS,자료 정리와 해석,실생활 소재 자료에서 최빈값 찾기,실생활 소재 자료에서 최빈값 찾기,"[""M1_DA_C007""]",basic,"[""mode"", ""real_context""]",[2],curated_problem_type_from_raw_taxonomy
M1_DA_PT012,중1,M1_DATA_ANALYSIS,자료 정리와 해석,변량을 추가·삭제·변경한 경우 최빈값 판단하기,변량을 추가·삭제·변경한 경우 최빈값 판단하기,"[""M1_DA_C008""]",core,"[""mode"", ""data_change"", ""frequency""]",[2],curated_problem_type_from_raw_taxonomy
