problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_PG_PT001,중1,M1_PLANE_GEOMETRY,평면도형의 성질,다각형 찾기,다각형 찾기,"[""M1_PG_C001""]",basic,"[""polygon_identification"", ""geometry_vocabulary""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT002,중1,M1_PLANE_GEOMETRY,평면도형의 성질,다각형의 변·꼭짓점·각의 개수 구하기,다각형의 변·꼭짓점·각의 개수 구하기,"[""M1_PG_C001""]",basic,"[""polygon_elements"", ""counting""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT003,중1,M1_PLANE_GEOMETRY,평면도형의 성질,다각형의 내각과 외각 설명 판단,다각형의 내각과 외각 설명 판단,"[""M1_PG_C002""]",basic,"[""interior_exterior_angle"", ""concept_judgement""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT004,중1,M1_PLANE_GEOMETRY,평면도형의 성질,한 내각과 외각의 크기 구하기,한 내각과 외각의 크기 구하기,"[""M1_PG_C002""]",core,"[""interior_exterior_angle"", ""angle_180""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT005,중1,M1_PLANE_GEOMETRY,평면도형의 성질,내각·외각 조건에서 미지수 구하기,내각·외각 조건에서 미지수 구하기,"[""M1_PG_C002"", ""M1_PG_C030""]",core,"[""angle_equation"", ""unknown_angle""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT006,중1,M1_PLANE_GEOMETRY,평면도형의 성질,정다각형 판별하기,정다각형 판별하기,"[""M1_PG_C003""]",basic,"[""regular_polygon"", ""definition""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT007,중1,M1_PLANE_GEOMETRY,평면도형의 성질,정다각형의 성질 판단,정다각형의 성질 판단,"[""M1_PG_C003""]",core,"[""regular_polygon"", ""property_judgement""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT008,중1,M1_PLANE_GEOMETRY,평면도형의 성질,정다각형 성질 활용하기,정다각형 성질 활용하기,"[""M1_PG_C003""]",core,"[""regular_polygon"", ""application""]",[1],curated_problem_type_from_raw_taxonomy
M1_PG_PT009,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형의 한 내각 구하기,삼각형의 한 내각 구하기,"[""M1_PG_C004""]",basic,"[""triangle_angle_sum"", ""angle_calculation""]",[2],curated_problem_type_from_raw_taxonomy
M1_PG_PT010,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형의 두 내각 조건으로 각 구하기,삼각형의 두 내각 조건으로 각 구하기,"[""M1_PG_C004"", ""M1_PG_C030""]",core,"[""triangle_angle_sum"", ""angle_equation""]",[2],curated_problem_type_from_raw_taxonomy
M1_PG_PT011,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형의 세 내각 조건 해석하기,삼각형의 세 내각 조건 해석하기,"[""M1_PG_C004"", ""M1_PG_C006""]",core,"[""triangle_angles"", ""condition_reasoning""]","[2, 3]",curated_problem_type_from_raw_taxonomy
M1_PG_PT012,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형의 외각의 성질로 각 구하기,삼각형의 외각의 성질로 각 구하기,"[""M1_PG_C005""]",core,"[""triangle_exterior_angle"", ""angle_relation""]","[2, 3]",curated_problem_type_from_raw_taxonomy
M1_PG_PT013,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형 내각·외각 관계에서 미지수 구하기,삼각형 내각·외각 관계에서 미지수 구하기,"[""M1_PG_C005"", ""M1_PG_C006"", ""M1_PG_C030""]",core,"[""triangle_exterior_angle"", ""angle_equation"", ""unknown_angle""]","[2, 3]",curated_problem_type_from_raw_taxonomy
M1_PG_PT014,중1,M1_PLANE_GEOMETRY,평면도형의 성질,삼각형 각 조건의 옳고 그름 판단,삼각형 각 조건의 옳고 그름 판단,"[""M1_PG_C004"", ""M1_PG_C005""]",core,"[""angle_property_judgement"", ""triangle_angles""]",[3],curated_problem_type_from_raw_taxonomy
M1_PG_PT015,중1,M1_PLANE_GEOMETRY,평면도형의 성질,한 꼭짓점에서 그을 수 있는 대각선 개수 구하기,한 꼭짓점에서 그을 수 있는 대각선 개수 구하기,"[""M1_PG_C007""]",core,"[""diagonal"", ""n_minus_3""]",[3],curated_problem_type_from_raw_taxonomy
M1_PG_PT016,중1,M1_PLANE_GEOMETRY,평면도형의 성질,다각형의 대각선 총수 구하기,다각형의 대각선 총수 구하기,"[""M1_PG_C008""]",core,"[""diagonal_total"", ""formula""]","[3, 4]",curated_problem_type_from_raw_taxonomy
M1_PG_PT017,중1,M1_PLANE_GEOMETRY,평면도형의 성질,대각선 개수 조건으로 다각형 찾기,대각선 개수 조건으로 다각형 찾기,"[""M1_PG_C008"", ""M1_PG_C030""]",advanced,"[""diagonal_total"", ""reverse_reasoning"", ""quadratic_like""]",[4],curated_problem_type_from_raw_taxonomy
M1_PG_PT018,중1,M1_PLANE_GEOMETRY,평면도형의 성질,다각형의 내각의 합 구하기,다각형의 내각의 합 구하기,"[""M1_PG_C009""]",core,"[""polygon_interior_sum"", ""formula""]",[4],curated_problem_type_from_raw_taxonomy
M1_PG_PT019,중1,M1_PLANE_GEOMETRY,평면도형의 성질,내각의 합 조건으로 n각형 구하기,내각의 합 조건으로 n각형 구하기,"[""M1_PG_C009"", ""M1_PG_C010""]",advanced,"[""polygon_interior_sum"", ""reverse_reasoning""]",[4],curated_problem_type_from_raw_taxonomy
