problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M1_PF_PT001,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수 모두 구하기 - 기본 판별,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수 모두 구하기' 유형을 기본 판별 수준으로 진단한다. 정의와 기준을 직접 확인하여 답을 고르는 유형이다.,"[""M1_PF_C001""]",basic,"[""divisor_multiple_basic"", ""divisor_listing"", ""기본_판별""]",[1],M1_PF_RAW_001,curated_problem_type_from_raw_taxonomy
M1_PF_PT002,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수 모두 구하기 - 조건 계산,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수 모두 구하기' 유형을 조건 계산 수준으로 진단한다. 주어진 조건을 식으로 정리하고 필요한 값을 계산하는 유형이다.,"[""M1_PF_C001""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""조건_계산""]",[1],M1_PF_RAW_001,curated_problem_type_from_raw_taxonomy
M1_PF_PT003,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수 모두 구하기 - 빈칸·과정 완성,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수 모두 구하기' 유형을 빈칸·과정 완성 수준으로 진단한다. 풀이 과정의 빈칸이나 표를 완성하며 절차를 점검하는 유형이다.,"[""M1_PF_C001""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""빈칸_과정_완성""]",[1],M1_PF_RAW_001,curated_problem_type_from_raw_taxonomy
M1_PF_PT004,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수 모두 구하기 - 활용·설명 판단,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수 모두 구하기' 유형을 활용·설명 판단 수준으로 진단한다. 문장제·도형·실생활 조건을 소인수분해 관점으로 해석하는 유형이다.,"[""M1_PF_C001""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""활용_설명_판단""]",[1],M1_PF_RAW_001,curated_problem_type_from_raw_taxonomy
M1_PF_PT005,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 배수 작은 수부터 구하기 - 기본 판별,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 배수 작은 수부터 구하기' 유형을 기본 판별 수준으로 진단한다. 정의와 기준을 직접 확인하여 답을 고르는 유형이다.,"[""M1_PF_C002""]",basic,"[""divisor_multiple_basic"", ""divisor_listing"", ""기본_판별""]",[2],M1_PF_RAW_002,curated_problem_type_from_raw_taxonomy
M1_PF_PT006,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 배수 작은 수부터 구하기 - 조건 계산,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 배수 작은 수부터 구하기' 유형을 조건 계산 수준으로 진단한다. 주어진 조건을 식으로 정리하고 필요한 값을 계산하는 유형이다.,"[""M1_PF_C002""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""조건_계산""]",[2],M1_PF_RAW_002,curated_problem_type_from_raw_taxonomy
M1_PF_PT007,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 배수 작은 수부터 구하기 - 빈칸·과정 완성,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 배수 작은 수부터 구하기' 유형을 빈칸·과정 완성 수준으로 진단한다. 풀이 과정의 빈칸이나 표를 완성하며 절차를 점검하는 유형이다.,"[""M1_PF_C002""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""빈칸_과정_완성""]",[2],M1_PF_RAW_002,curated_problem_type_from_raw_taxonomy
M1_PF_PT008,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 배수 작은 수부터 구하기 - 활용·설명 판단,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 배수 작은 수부터 구하기' 유형을 활용·설명 판단 수준으로 진단한다. 문장제·도형·실생활 조건을 소인수분해 관점으로 해석하는 유형이다.,"[""M1_PF_C002""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""활용_설명_판단""]",[2],M1_PF_RAW_002,curated_problem_type_from_raw_taxonomy
M1_PF_PT009,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수/배수 여부 판별 - 기본 판별,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수/배수 여부 판별' 유형을 기본 판별 수준으로 진단한다. 정의와 기준을 직접 확인하여 답을 고르는 유형이다.,"[""M1_PF_C003""]",basic,"[""divisor_multiple_basic"", ""divisor_listing"", ""기본_판별""]",[3],M1_PF_RAW_003,curated_problem_type_from_raw_taxonomy
M1_PF_PT010,중1,중학수학 1-1,M1_PRIME_FACTORIZATION,소인수분해,자연수의 약수와 배수: 약수/배수 여부 판별 - 조건 계산,자연수의 약수와 배수 범주의 '자연수의 약수와 배수: 약수/배수 여부 판별' 유형을 조건 계산 수준으로 진단한다. 주어진 조건을 식으로 정리하고 필요한 값을 계산하는 유형이다.,"[""M1_PF_C003""]",medium,"[""divisor_multiple_basic"", ""divisor_listing"", ""조건_계산""]",[3],M1_PF_RAW_003,curated_problem_type_from_raw_taxonomy
