problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_SG_PT001,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 뜻과 예/아닌 예 판별하기,다면체의 뜻과 예/아닌 예 판별하기,"[""M1_SG_C001""]",basic,"[""polyhedron"", ""solid_vocabulary""]",[1],curated_problem_type_from_raw_taxonomy
M1_SG_PT002,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체를 면의 모양과 개수로 구분하기,다면체를 면의 모양과 개수로 구분하기,"[""M1_SG_C001"", ""M1_SG_C005""]",basic,"[""polyhedron_classification""]",[1],curated_problem_type_from_raw_taxonomy
M1_SG_PT003,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 면의 개수 구하기,다면체의 면의 개수 구하기,"[""M1_SG_C002""]",basic,"[""face_count"", ""polyhedron_elements""]",[1],curated_problem_type_from_raw_taxonomy
M1_SG_PT004,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 면의 개수를 조건에 적용하기,다면체의 면의 개수를 조건에 적용하기,"[""M1_SG_C002"", ""M1_SG_C005""]",core,"[""face_count"", ""condition_interpretation""]","[1, 2]",curated_problem_type_from_raw_taxonomy
M1_SG_PT005,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 모서리의 개수 구하기,다면체의 모서리의 개수 구하기,"[""M1_SG_C003""]",basic,"[""edge_count"", ""spatial_counting""]",[1],curated_problem_type_from_raw_taxonomy
M1_SG_PT006,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 꼭짓점의 개수 구하기,다면체의 꼭짓점의 개수 구하기,"[""M1_SG_C004""]",basic,"[""vertex_count"", ""spatial_counting""]",[1],curated_problem_type_from_raw_taxonomy
M1_SG_PT007,중1,M1_SOLID_GEOMETRY,입체도형의 성질,면·모서리·꼭짓점의 개수를 함께 구하기,면·모서리·꼭짓점의 개수를 함께 구하기,"[""M1_SG_C002"", ""M1_SG_C003"", ""M1_SG_C004""]",core,"[""element_count"", ""spatial_counting""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT008,중1,M1_SOLID_GEOMETRY,입체도형의 성질,요소 개수가 주어진 다면체 찾기,요소 개수가 주어진 다면체 찾기,"[""M1_SG_C005""]",core,"[""element_relation"", ""condition_interpretation""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT009,중1,M1_SOLID_GEOMETRY,입체도형의 성질,면·모서리·꼭짓점 개수의 합이 주어진 다면체 구하기,면·모서리·꼭짓점 개수의 합이 주어진 다면체 구하기,"[""M1_SG_C005""]",advanced,"[""element_relation"", ""reverse_reasoning""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT010,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체를 자를 때 생기는 면과 요소 변화 판단하기,다면체를 자를 때 생기는 면과 요소 변화 판단하기,"[""M1_SG_C006"", ""M1_SG_C005""]",advanced,"[""cutting_solid"", ""spatial_visualization""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT011,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체의 옆면 모양 구하기,다면체의 옆면 모양 구하기,"[""M1_SG_C006"", ""M1_SG_C002""]",core,"[""lateral_face"", ""solid_net""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT012,중1,M1_SOLID_GEOMETRY,입체도형의 성질,조건을 만족시키는 다면체 찾기,조건을 만족시키는 다면체 찾기,"[""M1_SG_C005""]",core,"[""condition_interpretation"", ""polyhedron_classification""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT013,중1,M1_SOLID_GEOMETRY,입체도형의 성질,다면체 요소 개수 사이의 관계 활용하기,다면체 요소 개수 사이의 관계 활용하기,"[""M1_SG_C005""]",advanced,"[""euler_relation"", ""element_relation""]",[2],curated_problem_type_from_raw_taxonomy
M1_SG_PT014,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체의 뜻과 조건 판별하기,정다면체의 뜻과 조건 판별하기,"[""M1_SG_C007""]",basic,"[""regular_polyhedron"", ""solid_vocabulary""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT015,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 5종 구분하기,정다면체 5종 구분하기,"[""M1_SG_C007"", ""M1_SG_C008""]",basic,"[""regular_polyhedron"", ""classification""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT016,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체의 면·모서리·꼭짓점 개수 구하기,정다면체의 면·모서리·꼭짓점 개수 구하기,"[""M1_SG_C008""]",core,"[""regular_polyhedron"", ""element_count""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT017,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 요소 개수 조건 활용하기,정다면체 요소 개수 조건 활용하기,"[""M1_SG_C008"", ""M1_SG_C005""]",advanced,"[""regular_polyhedron"", ""element_relation""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT018,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 전개도에서 접하는 면 판단하기,정다면체 전개도에서 접하는 면 판단하기,"[""M1_SG_C009""]",core,"[""net"", ""regular_polyhedron"", ""spatial_folding""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT019,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정사면체·정육면체 전개도 해석하기,정사면체·정육면체 전개도 해석하기,"[""M1_SG_C009""]",core,"[""net"", ""spatial_folding""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT020,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정팔면체·정십이면체·정이십면체 전개도 해석하기,정팔면체·정십이면체·정이십면체 전개도 해석하기,"[""M1_SG_C009"", ""M1_SG_C008""]",advanced,"[""net"", ""regular_polyhedron"", ""spatial_folding""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT021,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 요소 개수와 전개도를 함께 해석하기,정다면체 요소 개수와 전개도를 함께 해석하기,"[""M1_SG_C008"", ""M1_SG_C009""]",advanced,"[""net"", ""element_count"", ""integrated_geometry""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT022,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 각 면의 중심을 연결해 생기는 입체 추론하기,정다면체 각 면의 중심을 연결해 생기는 입체 추론하기,"[""M1_SG_C010""]",advanced,"[""midpoint_center_connection"", ""spatial_visualization""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT023,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체 각 모서리의 중점을 연결해 생기는 입체 추론하기,정다면체 각 모서리의 중점을 연결해 생기는 입체 추론하기,"[""M1_SG_C010""]",advanced,"[""midpoint_connection"", ""spatial_visualization""]",[3],curated_problem_type_from_raw_taxonomy
M1_SG_PT024,중1,M1_SOLID_GEOMETRY,입체도형의 성질,정다면체의 단면 모양 판단하기,정다면체의 단면 모양 판단하기,"[""M1_SG_C010""]",advanced,"[""cross_section"", ""regular_polyhedron""]",[4],curated_problem_type_from_raw_taxonomy
M1_SG_PT025,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체인지 아닌지 판별하기,회전체인지 아닌지 판별하기,"[""M1_SG_C011""]",basic,"[""solid_of_revolution"", ""rotation_axis""]",[4],curated_problem_type_from_raw_taxonomy
M1_SG_PT026,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체를 설명하고 회전축 확인하기,회전체를 설명하고 회전축 확인하기,"[""M1_SG_C011"", ""M1_SG_C012""]",basic,"[""solid_of_revolution"", ""rotation_axis""]",[4],curated_problem_type_from_raw_taxonomy
M1_SG_PT027,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전축과 평면도형 사이 간격이 없는 경우의 회전체 구하기,회전축과 평면도형 사이 간격이 없는 경우의 회전체 구하기,"[""M1_SG_C012""]",core,"[""rotation_axis"", ""solid_generation""]",[4],curated_problem_type_from_raw_taxonomy
M1_SG_PT028,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전축과 평면도형 사이 간격이 있는 경우의 회전체 구하기,회전축과 평면도형 사이 간격이 있는 경우의 회전체 구하기,"[""M1_SG_C012""]",advanced,"[""rotation_axis"", ""hole_solid"", ""solid_generation""]","[4, 5]",curated_problem_type_from_raw_taxonomy
M1_SG_PT029,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체에서 회전축 알아보기,회전체에서 회전축 알아보기,"[""M1_SG_C012""]",core,"[""rotation_axis"", ""reverse_reasoning""]",[4],curated_problem_type_from_raw_taxonomy
M1_SG_PT030,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체에서 회전 전 평면도형 찾기,회전체에서 회전 전 평면도형 찾기,"[""M1_SG_C012"", ""M1_SG_C013""]",core,"[""solid_generation"", ""reverse_reasoning""]","[4, 5]",curated_problem_type_from_raw_taxonomy
M1_SG_PT031,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체의 단면 모양 구하기,회전체의 단면 모양 구하기,"[""M1_SG_C013""]",core,"[""cross_section"", ""solid_of_revolution""]","[4, 5]",curated_problem_type_from_raw_taxonomy
M1_SG_PT032,중1,M1_SOLID_GEOMETRY,입체도형의 성질,단면 모양이 주어진 회전체 조건 판단하기,단면 모양이 주어진 회전체 조건 판단하기,"[""M1_SG_C013"", ""M1_SG_C014""]",advanced,"[""cross_section"", ""condition_interpretation""]","[4, 5]",curated_problem_type_from_raw_taxonomy
M1_SG_PT033,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체 단면의 길이와 둘레 구하기,회전체 단면의 길이와 둘레 구하기,"[""M1_SG_C014""]",advanced,"[""cross_section"", ""length_perimeter""]",[5],curated_problem_type_from_raw_taxonomy
M1_SG_PT034,중1,M1_SOLID_GEOMETRY,입체도형의 성질,회전체의 전개도 판단하기,회전체의 전개도 판단하기,"[""M1_SG_C015""]",core,"[""net"", ""solid_of_revolution""]",[5],curated_problem_type_from_raw_taxonomy
M1_SG_PT035,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥 전개도에서 둘레와 높이 연결하기,원기둥 전개도에서 둘레와 높이 연결하기,"[""M1_SG_C015"", ""M1_SG_C018""]",core,"[""cylinder_net"", ""circle_circumference""]","[5, 7]",curated_problem_type_from_raw_taxonomy
M1_SG_PT036,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔 전개도에서 호의 길이와 중심각 구하기,원뿔 전개도에서 호의 길이와 중심각 구하기,"[""M1_SG_C015"", ""M1_SG_C024""]",advanced,"[""cone_net"", ""sector"", ""central_angle""]","[6, 9]",curated_problem_type_from_raw_taxonomy
M1_SG_PT037,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔 전개도에서 표면 위 최단거리 구하기,원뿔 전개도에서 표면 위 최단거리 구하기,"[""M1_SG_C016"", ""M1_SG_C015""]",advanced,"[""shortest_path"", ""cone_net""]",[6],curated_problem_type_from_raw_taxonomy
M1_SG_PT038,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원뿔대 전개도 해석하기,원뿔대 전개도 해석하기,"[""M1_SG_C015"", ""M1_SG_C025""]",advanced,"[""frustum_net"", ""solid_of_revolution""]","[6, 9]",curated_problem_type_from_raw_taxonomy
M1_SG_PT039,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥의 겉넓이를 밑넓이와 옆넓이로 구하기,각기둥의 겉넓이를 밑넓이와 옆넓이로 구하기,"[""M1_SG_C017""]",core,"[""prism_surface_area"", ""base_lateral_area""]",[6],curated_problem_type_from_raw_taxonomy
M1_SG_PT040,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥의 겉넓이가 주어진 조건에서 길이 구하기,각기둥의 겉넓이가 주어진 조건에서 길이 구하기,"[""M1_SG_C017"", ""M1_SG_C036""]",advanced,"[""prism_surface_area"", ""reverse_reasoning""]",[6],curated_problem_type_from_raw_taxonomy
M1_SG_PT041,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥의 겉넓이 구하기,원기둥의 겉넓이 구하기,"[""M1_SG_C018""]",core,"[""cylinder_surface_area"", ""circle_circumference""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT042,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥의 겉넓이가 주어진 조건에서 반지름·높이 구하기,원기둥의 겉넓이가 주어진 조건에서 반지름·높이 구하기,"[""M1_SG_C018"", ""M1_SG_C036""]",advanced,"[""cylinder_surface_area"", ""reverse_reasoning""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT043,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥의 부피 구하기,각기둥의 부피 구하기,"[""M1_SG_C019""]",core,"[""prism_volume"", ""base_area_height""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT044,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥의 전개도가 주어진 부피 구하기,각기둥의 전개도가 주어진 부피 구하기,"[""M1_SG_C019"", ""M1_SG_C017""]",core,"[""prism_volume"", ""net""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT045,중1,M1_SOLID_GEOMETRY,입체도형의 성질,각기둥의 부피가 주어진 조건 활용하기,각기둥의 부피가 주어진 조건 활용하기,"[""M1_SG_C019"", ""M1_SG_C036""]",advanced,"[""prism_volume"", ""reverse_reasoning""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT046,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥의 부피 구하기,원기둥의 부피 구하기,"[""M1_SG_C020""]",core,"[""cylinder_volume"", ""circle_area""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT047,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥의 전개도가 주어진 부피 구하기,원기둥의 전개도가 주어진 부피 구하기,"[""M1_SG_C020"", ""M1_SG_C015""]",core,"[""cylinder_volume"", ""net""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT048,중1,M1_SOLID_GEOMETRY,입체도형의 성질,원기둥의 부피가 주어진 조건 활용하기,원기둥의 부피가 주어진 조건 활용하기,"[""M1_SG_C020"", ""M1_SG_C036""]",advanced,"[""cylinder_volume"", ""reverse_reasoning""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT049,중1,M1_SOLID_GEOMETRY,입체도형의 성질,밑면이 부채꼴인 기둥의 겉넓이와 부피 구하기,밑면이 부채꼴인 기둥의 겉넓이와 부피 구하기,"[""M1_SG_C017"", ""M1_SG_C019"", ""M1_SG_C015""]",advanced,"[""sector_base"", ""prism_volume"", ""surface_area""]",[7],curated_problem_type_from_raw_taxonomy
M1_SG_PT050,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구멍이 뚫린 각기둥의 겉넓이와 부피 구하기,구멍이 뚫린 각기둥의 겉넓이와 부피 구하기,"[""M1_SG_C021"", ""M1_SG_C017"", ""M1_SG_C019""]",advanced,"[""hole_solid"", ""prism_surface_area"", ""prism_volume""]",[8],curated_problem_type_from_raw_taxonomy
M1_SG_PT051,중1,M1_SOLID_GEOMETRY,입체도형의 성질,구멍이 뚫린 원기둥의 겉넓이와 부피 구하기,구멍이 뚫린 원기둥의 겉넓이와 부피 구하기,"[""M1_SG_C021"", ""M1_SG_C018"", ""M1_SG_C020""]",advanced,"[""hole_solid"", ""cylinder_surface_area"", ""cylinder_volume""]",[8],curated_problem_type_from_raw_taxonomy
M1_SG_PT052,중1,M1_SOLID_GEOMETRY,입체도형의 성질,일부분을 잘라낸 기둥의 겉넓이 구하기,일부분을 잘라낸 기둥의 겉넓이 구하기,"[""M1_SG_C022"", ""M1_SG_C017""]",advanced,"[""cut_solid"", ""surface_area_change""]",[8],curated_problem_type_from_raw_taxonomy
M1_SG_PT053,중1,M1_SOLID_GEOMETRY,입체도형의 성질,일부분을 잘라낸 기둥의 부피 구하기,일부분을 잘라낸 기둥의 부피 구하기,"[""M1_SG_C022"", ""M1_SG_C019""]",advanced,"[""cut_solid"", ""volume_difference""]",[8],curated_problem_type_from_raw_taxonomy
