problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M2_GEOM_PT001,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,동위각과 엇각 혼동,"기본 각 관계 범주의 '평행선에서 동위각·엇각·맞꼭지각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C001,core,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_001,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT002,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,평행선에서 동위각·엇각·맞꼭지각 - 조건 적용,"기본 각 관계 범주의 '평행선에서 동위각·엇각·맞꼭지각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C001,standard,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_001,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT003,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,평행선에서 동위각·엇각·맞꼭지각 - 계산·추론,"기본 각 관계 범주의 '평행선에서 동위각·엇각·맞꼭지각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C001,advanced,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_001,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT004,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,평행선에서 동위각·엇각·맞꼭지각 - 증명 서술,"기본 각 관계 범주의 '평행선에서 동위각·엇각·맞꼭지각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C001,basic,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_001,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT005,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,외각=두 내각의 합 누락,"기본 각 관계 범주의 '삼각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C002,standard,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_002,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT006,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,삼각형의 내각과 외각 - 조건 적용,"기본 각 관계 범주의 '삼각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C002,advanced,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_002,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT007,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,삼각형의 내각과 외각 - 계산·추론,"기본 각 관계 범주의 '삼각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C002,basic,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_002,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT008,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,삼각형의 내각과 외각 - 증명 서술,"기본 각 관계 범주의 '삼각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C002,core,angle_relation|parallel_lines|angle_chasing,1,M2_GEOM_RAW_002,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT009,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,n각형 내각 합 공식 오류,"기본 각 관계 범주의 '다각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C003,advanced,angle_relation|parallel_lines|angle_chasing,1|2,M2_GEOM_RAW_003,curated_problem_type_from_raw_taxonomy
M2_GEOM_PT010,중2,M2_GEOMETRY_PROPERTIES,도형의 성질,다각형의 내각과 외각 - 조건 적용,"기본 각 관계 범주의 '다각형의 내각과 외각' 유형을 진단한다. 학생이 조건 표시, 도형 성질 선택, 근거 서술을 연결할 수 있는지 확인한다.",M2_GEOM_C003,basic,angle_relation|parallel_lines|angle_chasing,1|2,M2_GEOM_RAW_003,curated_problem_type_from_raw_taxonomy
