problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M2_LE_PT001,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,미지수가 2개인 일차방정식의 판단,미지수가 2개인 일차방정식의 판단 범주의 '미지수가 2개인 일차방정식의 판단' 유형을 진단한다.,M2_LE_C001|M2_LE_C002,basic,linear_equation_two_variables|number_word_problem|work_rate,1,M2_LE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_LE_PT002,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,미지수가 2개인 일차방정식이 되기 위한 조건,미지수가 2개인 일차방정식의 판단 범주의 '미지수가 2개인 일차방정식이 되기 위한 조건' 유형을 진단한다.,M2_LE_C001|M2_LE_C002,core,linear_equation_two_variables|condition_handling|number_word_problem|work_rate,1,M2_LE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_LE_PT003,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,미지수가 2개인 일차방정식의 정리,미지수가 2개인 일차방정식의 판단 범주의 '미지수가 2개인 일차방정식의 정리' 유형을 진단한다.,M2_LE_C001|M2_LE_C002,advanced,linear_equation_two_variables|number_word_problem|work_rate,1,M2_LE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_LE_PT004,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,미지수가 2개인 일차방정식으로의 표현,미지수가 2개인 일차방정식으로 나타내기 범주의 '미지수가 2개인 일차방정식으로의 표현' 유형을 진단한다.,M2_LE_C001|M2_LE_C006,basic,linear_equation_two_variables|number_word_problem|work_rate,1,M2_LE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_LE_PT005,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,문장 조건을 일차방정식으로 나타내기,미지수가 2개인 일차방정식으로 나타내기 범주의 '문장 조건을 일차방정식으로 나타내기' 유형을 진단한다.,M2_LE_C001|M2_LE_C006,core,linear_equation_two_variables|condition_handling|number_word_problem|work_rate,1,M2_LE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_LE_PT006,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,응용 조건의 식 세우기,미지수가 2개인 일차방정식으로 나타내기 범주의 '응용 조건의 식 세우기' 유형을 진단한다.,M2_LE_C001|M2_LE_C006,advanced,linear_equation_two_variables|condition_handling|number_word_problem|work_rate,1,M2_LE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_LE_PT007,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,일차방정식의 해의 판단,미지수가 2개인 일차방정식의 해 범주의 '일차방정식의 해의 판단' 유형을 진단한다.,M2_LE_C003,basic,linear_equation_two_variables|solution_check|number_word_problem|work_rate,2,M2_LE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_LE_PT008,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,조건이 주어진 해 찾기,미지수가 2개인 일차방정식의 해 범주의 '조건이 주어진 해 찾기' 유형을 진단한다.,M2_LE_C003,core,linear_equation_two_variables|solution_check|condition_handling|number_word_problem,2,M2_LE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_LE_PT009,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,순서쌍을 대입한 검산,미지수가 2개인 일차방정식의 해 범주의 '순서쌍을 대입한 검산' 유형을 진단한다.,M2_LE_C003,advanced,linear_equation_two_variables|substitution_method|number_word_problem|work_rate,2,M2_LE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_LE_PT010,중2,M2_LINEAR_EQUATION,일차방정식·연립일차방정식,미지수가 자연수인 일차방정식의 해 구하기,미지수가 자연수인 일차방정식의 해 구하기 범주의 '미지수가 자연수인 일차방정식의 해 구하기' 유형을 진단한다.,M2_LE_C004,basic,linear_equation_two_variables|solution_check|number_word_problem|work_rate,2,M2_LE_RAW_004,curated_problem_type_from_raw_taxonomy
