problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M2_NE_PT001,중2,M2_NUMBER_EXPRESSION,수와 식,유리수의 분류,유리수의 분류 범주의 '유리수의 분류' 유형을 진단한다.,"[""M2_NE_C001""]",basic,"[""rational_classification"", ""number_set""]",[1],M2_NE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_NE_PT002,중2,M2_NUMBER_EXPRESSION,수와 식,정수와 정수가 아닌 유리수 구분,유리수의 분류 범주의 '정수와 정수가 아닌 유리수 구분' 유형을 진단한다.,"[""M2_NE_C001""]",basic,"[""rational_classification"", ""number_set""]",[1],M2_NE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_NE_PT003,중2,M2_NUMBER_EXPRESSION,수와 식,유리수 분류 설명의 옳고 그름 판단,유리수의 분류 범주의 '유리수 분류 설명의 옳고 그름 판단' 유형을 진단한다.,"[""M2_NE_C001""]",basic,"[""rational_classification"", ""number_set""]",[1],M2_NE_RAW_001,curated_problem_type_from_raw_taxonomy
M2_NE_PT004,중2,M2_NUMBER_EXPRESSION,수와 식,유한소수와 무한소수의 판단,소수의 분류(유한소수/무한소수) 범주의 '유한소수와 무한소수의 판단' 유형을 진단한다.,"[""M2_NE_C001"", ""M2_NE_C002"", ""M2_NE_C003""]",basic,"[""decimal_classification"", ""finite_decimal"", ""infinite_decimal""]",[1],M2_NE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_NE_PT005,중2,M2_NUMBER_EXPRESSION,수와 식,유한소수와 무한소수의 구분,소수의 분류(유한소수/무한소수) 범주의 '유한소수와 무한소수의 구분' 유형을 진단한다.,"[""M2_NE_C001"", ""M2_NE_C002"", ""M2_NE_C003""]",basic,"[""decimal_classification"", ""finite_decimal"", ""infinite_decimal""]",[1],M2_NE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_NE_PT006,중2,M2_NUMBER_EXPRESSION,수와 식,소수 표현을 보고 분류하기,소수의 분류(유한소수/무한소수) 범주의 '소수 표현을 보고 분류하기' 유형을 진단한다.,"[""M2_NE_C001"", ""M2_NE_C002"", ""M2_NE_C003""]",basic,"[""decimal_classification"", ""finite_decimal"", ""infinite_decimal""]",[1],M2_NE_RAW_002,curated_problem_type_from_raw_taxonomy
M2_NE_PT007,중2,M2_NUMBER_EXPRESSION,수와 식,분수의 소수표현 및 판단,분수를 유한소수로 나타내기 범주의 '분수의 소수표현 및 판단' 유형을 진단한다.,"[""M2_NE_C004"", ""M2_NE_C005"", ""M2_NE_C006""]",core,"[""fraction_to_decimal"", ""denominator_factor"", ""power_of_10""]",[1],M2_NE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_NE_PT008,중2,M2_NUMBER_EXPRESSION,수와 식,10의 거듭제곱을 이용한 분수의 유한소수 표현,분수를 유한소수로 나타내기 범주의 '10의 거듭제곱을 이용한 분수의 유한소수 표현' 유형을 진단한다.,"[""M2_NE_C004"", ""M2_NE_C005"", ""M2_NE_C006""]",core,"[""fraction_to_decimal"", ""denominator_factor"", ""power_of_10""]",[1],M2_NE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_NE_PT009,중2,M2_NUMBER_EXPRESSION,수와 식,분수를 소수로 고칠 때 유한소수 여부 판단,분수를 유한소수로 나타내기 범주의 '분수를 소수로 고칠 때 유한소수 여부 판단' 유형을 진단한다.,"[""M2_NE_C004"", ""M2_NE_C005"", ""M2_NE_C006""]",core,"[""fraction_to_decimal"", ""denominator_factor"", ""power_of_10""]",[1],M2_NE_RAW_003,curated_problem_type_from_raw_taxonomy
M2_NE_PT010,중2,M2_NUMBER_EXPRESSION,수와 식,분수의 유한소수 표현 가능 여부,유한소수로 나타낼 수 있는(없는) 분수 범주의 '분수의 유한소수 표현 가능 여부' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007""]",core,"[""finite_decimal_condition"", ""prime_factor_2_5"", ""condition_search""]",[1],M2_NE_RAW_004,curated_problem_type_from_raw_taxonomy
M2_NE_PT011,중2,M2_NUMBER_EXPRESSION,수와 식,조건을 만족하는 유한소수 표현 가능한 분수 구하기,유한소수로 나타낼 수 있는(없는) 분수 범주의 '조건을 만족하는 유한소수 표현 가능한 분수 구하기' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007""]",core,"[""finite_decimal_condition"", ""prime_factor_2_5"", ""condition_search""]",[1],M2_NE_RAW_004,curated_problem_type_from_raw_taxonomy
M2_NE_PT012,중2,M2_NUMBER_EXPRESSION,수와 식,1/A×x가 유한소수가 되도록 하는 x,B/A×x가 유한소수가 되도록 하는 x의 값 구하기 범주의 '1/A×x가 유한소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C006"", ""M2_NE_C007""]",advanced,"[""finite_decimal_condition"", ""unknown_multiplier"", ""denominator_factor""]",[2],M2_NE_RAW_005,curated_problem_type_from_raw_taxonomy
M2_NE_PT013,중2,M2_NUMBER_EXPRESSION,수와 식,B/A×x가 유한소수가 되도록 하는 x,B/A×x가 유한소수가 되도록 하는 x의 값 구하기 범주의 'B/A×x가 유한소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C006"", ""M2_NE_C007""]",advanced,"[""finite_decimal_condition"", ""unknown_multiplier"", ""denominator_factor""]",[2],M2_NE_RAW_005,curated_problem_type_from_raw_taxonomy
M2_NE_PT014,중2,M2_NUMBER_EXPRESSION,수와 식,일차방정식의 해가 유한소수가 되도록 하는 미지수 값,B/A×x가 유한소수가 되도록 하는 x의 값 구하기 범주의 '일차방정식의 해가 유한소수가 되도록 하는 미지수 값' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C006"", ""M2_NE_C007""]",advanced,"[""finite_decimal_condition"", ""unknown_multiplier"", ""denominator_factor""]",[2],M2_NE_RAW_005,curated_problem_type_from_raw_taxonomy
M2_NE_PT015,중2,M2_NUMBER_EXPRESSION,수와 식,B/x가 유한소수가 되도록 하는 x,B/(A×x)가 유한소수가 되도록 하는 x의 값 구하기 범주의 'B/x가 유한소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C008""]",advanced,"[""finite_decimal_condition"", ""unknown_denominator"", ""reverse_condition""]",[2],M2_NE_RAW_006,curated_problem_type_from_raw_taxonomy
M2_NE_PT016,중2,M2_NUMBER_EXPRESSION,수와 식,B/(A×x)가 유한소수가 되도록 하는 x,B/(A×x)가 유한소수가 되도록 하는 x의 값 구하기 범주의 'B/(A×x)가 유한소수가 되도록 하는 x' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C008""]",advanced,"[""finite_decimal_condition"", ""unknown_denominator"", ""reverse_condition""]",[2],M2_NE_RAW_006,curated_problem_type_from_raw_taxonomy
M2_NE_PT017,중2,M2_NUMBER_EXPRESSION,수와 식,"y/(A×x)가 유한소수가 되지 않도록 하는 미지수 x,y","B/(A×x)가 유한소수가 되도록 하는 x의 값 구하기 범주의 'y/(A×x)가 유한소수가 되지 않도록 하는 미지수 x,y' 유형을 진단한다.","[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C008""]",advanced,"[""finite_decimal_condition"", ""unknown_denominator"", ""reverse_condition""]",[2],M2_NE_RAW_006,curated_problem_type_from_raw_taxonomy
M2_NE_PT018,중2,M2_NUMBER_EXPRESSION,수와 식,여러가지 경우에서 유한소수가 되도록 하는 미지수 값,B/(A×x)가 유한소수가 되도록 하는 x의 값 구하기 범주의 '여러가지 경우에서 유한소수가 되도록 하는 미지수 값' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C007"", ""M2_NE_C008""]",advanced,"[""finite_decimal_condition"", ""unknown_denominator"", ""reverse_condition""]",[2],M2_NE_RAW_006,curated_problem_type_from_raw_taxonomy
M2_NE_PT019,중2,M2_NUMBER_EXPRESSION,수와 식,x/A가 유한소수가 될 때 x/A를 기약분수 1/y로 나타내기,유한소수가 되는 x/A를 기약분수로 나타내기 범주의 'x/A가 유한소수가 될 때 x/A를 기약분수 1/y로 나타내기' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C006"", ""M2_NE_C007""]",advanced,"[""reduced_fraction"", ""finite_decimal_condition"", ""denominator_factor""]",[3],M2_NE_RAW_007,curated_problem_type_from_raw_taxonomy
M2_NE_PT020,중2,M2_NUMBER_EXPRESSION,수와 식,x/A가 유한소수가 될 때 x/A를 기약분수 B/y로 나타내기,유한소수가 되는 x/A를 기약분수로 나타내기 범주의 'x/A가 유한소수가 될 때 x/A를 기약분수 B/y로 나타내기' 유형을 진단한다.,"[""M2_NE_C005"", ""M2_NE_C006"", ""M2_NE_C007""]",advanced,"[""reduced_fraction"", ""finite_decimal_condition"", ""denominator_factor""]",[3],M2_NE_RAW_007,curated_problem_type_from_raw_taxonomy
M2_NE_PT021,중2,M2_NUMBER_EXPRESSION,수와 식,"x/A, x/B 모두 유한소수로 나타내어지도록 하는 x","2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값 범주의 'x/A, x/B 모두 유한소수로 나타내어지도록 하는 x' 유형을 진단한다.","[""M2_NE_C005"", ""M2_NE_C008""]",advanced,"[""common_condition"", ""multiple_fractions"", ""denominator_factor""]",[3],M2_NE_RAW_008,curated_problem_type_from_raw_taxonomy
M2_NE_PT022,중2,M2_NUMBER_EXPRESSION,수와 식,"Bx/A, Dx/C 모두 유한소수로 나타내어지도록 하는 x","2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값 범주의 'Bx/A, Dx/C 모두 유한소수로 나타내어지도록 하는 x' 유형을 진단한다.","[""M2_NE_C005"", ""M2_NE_C008""]",advanced,"[""common_condition"", ""multiple_fractions"", ""denominator_factor""]",[3],M2_NE_RAW_008,curated_problem_type_from_raw_taxonomy
M2_NE_PT023,중2,M2_NUMBER_EXPRESSION,수와 식,소수의 순환마디 구하기,순환마디 범주의 '소수의 순환마디 구하기' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C009"", ""M2_NE_C010""]",basic,"[""repetend"", ""repeating_decimal""]",[3],M2_NE_RAW_009,curated_problem_type_from_raw_taxonomy
M2_NE_PT024,중2,M2_NUMBER_EXPRESSION,수와 식,분수의 순환마디 구하기,순환마디 범주의 '분수의 순환마디 구하기' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C009"", ""M2_NE_C010""]",basic,"[""repetend"", ""repeating_decimal""]",[3],M2_NE_RAW_009,curated_problem_type_from_raw_taxonomy
M2_NE_PT025,중2,M2_NUMBER_EXPRESSION,수와 식,나눗셈을 이용한 순환마디 구하기,순환마디 범주의 '나눗셈을 이용한 순환마디 구하기' 유형을 진단한다.,"[""M2_NE_C003"", ""M2_NE_C009"", ""M2_NE_C010""]",basic,"[""repetend"", ""repeating_decimal""]",[3],M2_NE_RAW_009,curated_problem_type_from_raw_taxonomy
