problem_type_id,unit_id,unit_name,type_name,default_difficulty,concept_ids,error_tags,source_orders,raw_section_id
M3_POLY_PT001,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,다항식과 다항식의 곱셈,core,M3_POLY_C001,"expansion,distribution,like_terms",1,M3_POLY_RAW_001
M3_POLY_PT002,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,다항식과 다항식의 곱셈 - 계산 수행,standard,M3_POLY_C001,"expansion,distribution,like_terms",1,M3_POLY_RAW_001
M3_POLY_PT003,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,다항식과 다항식의 곱셈 - 조건 적용,advanced,M3_POLY_C001,"expansion,distribution,like_terms",1,M3_POLY_RAW_001
M3_POLY_PT004,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,다항식과 다항식의 곱셈 - 종합 활용,basic,M3_POLY_C001,"expansion,distribution,like_terms",1,M3_POLY_RAW_001
M3_POLY_PT005,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,전개식의 계수 구하기,standard,M3_POLY_C002,"expansion,distribution,like_terms",2,M3_POLY_RAW_002
M3_POLY_PT006,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,전개식의 계수 구하기 - 계산 수행,advanced,M3_POLY_C002,"expansion,distribution,like_terms",2,M3_POLY_RAW_002
M3_POLY_PT007,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,전개식의 계수 구하기 - 조건 적용,basic,M3_POLY_C002,"expansion,distribution,like_terms",2,M3_POLY_RAW_002
M3_POLY_PT008,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,전개식의 계수 구하기 - 종합 활용,core,M3_POLY_C002,"expansion,distribution,like_terms",2,M3_POLY_RAW_002
M3_POLY_PT009,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합의 제곱 공식,advanced,M3_POLY_C003,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_003
M3_POLY_PT010,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합의 제곱 공식 - 계산 수행,basic,M3_POLY_C003,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_003
M3_POLY_PT011,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합의 제곱 공식 - 조건 적용,core,M3_POLY_C003,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_003
M3_POLY_PT012,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합의 제곱 공식 - 종합 활용,standard,M3_POLY_C003,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_003
M3_POLY_PT013,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,차의 제곱 공식,basic,M3_POLY_C004,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_004
M3_POLY_PT014,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,차의 제곱 공식 - 계산 수행,core,M3_POLY_C004,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_004
M3_POLY_PT015,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,차의 제곱 공식 - 조건 적용,standard,M3_POLY_C004,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_004
M3_POLY_PT016,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,차의 제곱 공식 - 종합 활용,advanced,M3_POLY_C004,"multiplication_formula,middle_term,sign_error",2,M3_POLY_RAW_004
M3_POLY_PT017,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합과 차의 곱 공식,core,M3_POLY_C005,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_005
M3_POLY_PT018,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합과 차의 곱 공식 - 계산 수행,standard,M3_POLY_C005,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_005
M3_POLY_PT019,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합과 차의 곱 공식 - 조건 적용,advanced,M3_POLY_C005,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_005
M3_POLY_PT020,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,합과 차의 곱 공식 - 종합 활용,basic,M3_POLY_C005,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_005
M3_POLY_PT021,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,연속한 합과 차의 곱,standard,M3_POLY_C006,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_006
M3_POLY_PT022,M3_POLYNOMIAL_FACTORING,다항식의 곱셈과 인수분해,연속한 합과 차의 곱 - 계산 수행,advanced,M3_POLY_C006,"multiplication_formula,middle_term,sign_error",3,M3_POLY_RAW_006
