problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,status
M3_TRIG_PT001,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비의 값 - 기본 판별,삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C001,core,trigonometric_ratio,1,M3_TRIG_RAW_001,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT002,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비의 값 - 계산·해석,삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C001,standard,trigonometric_ratio,1,M3_TRIG_RAW_001,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT003,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비의 값 - 복합 적용,삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C001,advanced,trigonometric_ratio,1,M3_TRIG_RAW_001,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT004,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비가 주어진 경우의 삼각형의 변의 길이 - 기본 판별,삼각비가 주어진 경우의 삼각형의 변의 길이 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C002,core,trigonometric_ratio|length_calculation,2,M3_TRIG_RAW_002,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT005,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비가 주어진 경우의 삼각형의 변의 길이 - 계산·해석,삼각비가 주어진 경우의 삼각형의 변의 길이 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C002,standard,trigonometric_ratio|length_calculation,2,M3_TRIG_RAW_002,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT006,중3,M3_TRIGONOMETRIC_RATIO,삼각비,삼각비가 주어진 경우의 삼각형의 변의 길이 - 복합 적용,삼각비가 주어진 경우의 삼각형의 변의 길이 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C002,advanced,trigonometric_ratio|length_calculation,2,M3_TRIG_RAW_002,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT007,중3,M3_TRIGONOMETRIC_RATIO,삼각비,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 기본 판별,한 삼각비가 주어진 경우의 다른 삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C003,core,trigonometric_ratio|ratio_conversion,3,M3_TRIG_RAW_003,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT008,중3,M3_TRIGONOMETRIC_RATIO,삼각비,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 계산·해석,한 삼각비가 주어진 경우의 다른 삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C003,standard,trigonometric_ratio|ratio_conversion,3,M3_TRIG_RAW_003,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT009,중3,M3_TRIGONOMETRIC_RATIO,삼각비,한 삼각비가 주어진 경우의 다른 삼각비의 값 - 복합 적용,한 삼각비가 주어진 경우의 다른 삼각비의 값 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C003,advanced,trigonometric_ratio|ratio_conversion,3,M3_TRIG_RAW_003,restored_canonical_problem_type_from_patch150_contract
M3_TRIG_PT010,중3,M3_TRIGONOMETRIC_RATIO,삼각비,직각삼각형의 닮음과 삼각비 - 기본 판별,직각삼각형의 닮음과 삼각비 범주에서 조건을 삼각비로 변환하고 필요한 길이·각·넓이를 구하는 능력을 진단한다.,M3_TRIG_C004,core,trigonometric_ratio|right_triangle|similarity,4,M3_TRIG_RAW_004,restored_canonical_problem_type_from_patch150_contract
