raw_section_id,order,grade,course,unit_id,unit_name,major_category,middle_category,section_name,source_image,concept_ids,status
H1_CM1_COUNT_RAW_001,1,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,합의 법칙,방법의 수(물건의 수)가 직접 주어졌을 때 합의 법칙,1.png,H1_CM1_COUNT_C001,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_002,2,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,합의 법칙,주사위를 던질 때 합의 법칙,1.png,H1_CM1_COUNT_C002,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_003,3,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,합의 법칙,숫자가 적힌 카드나 공을 꺼낼 때 합의 법칙,1.png,H1_CM1_COUNT_C003,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_004,4,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,합의 법칙,조건을 만족하는 자연수의 개수,1.png,H1_CM1_COUNT_C004,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_005,5,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,합의 법칙,다양한 상황에서의 합의 법칙,1.png,H1_CM1_COUNT_C005,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_006,6,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,방정식과 부등식의 해의 개수,방정식의 해의 개수,1.png,H1_CM1_COUNT_C006,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_007,7,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,방정식과 부등식의 해의 개수,부등식의 해의 개수,1.png,H1_CM1_COUNT_C007,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_008,8,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,방법의 수(물건의 수)가 직접 주어졌을 때 곱의 법칙,1.png,H1_CM1_COUNT_C008,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_009,9,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,주사위를 던질 때 곱의 법칙,1.png,H1_CM1_COUNT_C009,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_010,10,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,숫자가 적힌 카드나 공을 꺼낼 때 곱의 법칙,1.png,H1_CM1_COUNT_C010,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_011,11,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,조건을 만족하는 자연수의 개수,1.png,H1_CM1_COUNT_C011,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_012,12,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,전개식의 항의 개수,1.png,H1_CM1_COUNT_C012,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_013,13,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,곱의 법칙,다양한 상황에서의 곱의 법칙,2.png,H1_CM1_COUNT_C013,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_014,14,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,약수의 개수,약수의 개수 구하기,2.png,H1_CM1_COUNT_C014,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_015,15,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,약수의 개수,약수의 개수를 만족하는 자연수 찾기,2.png,H1_CM1_COUNT_C015,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_016,16,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,약수의 개수,약수의 총합 구하기,2.png,H1_CM1_COUNT_C016,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_017,17,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,약수의 개수,자연수의 약수의 활용,2.png,H1_CM1_COUNT_C017,normalized_from_uploaded_image_taxonomy
H1_CM1_COUNT_RAW_018,18,고1,공통수학1,H1_COMMON_MATH1_COUNTING,경우의 수,합의 법칙과 곱의 법칙,지불 방법의 수와 지불 금액의 수,지불 방법의 수 구하기,2.png,H1_CM1_COUNT_C018,normalized_from_uploaded_image_taxonomy
