raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids
H1_CM1_EQINEQ_RAW_001,1,공통수학1 방정식과 부등식,복소수와 이차방정식,복소수의 뜻과 성질,복소수의 뜻과 분류,음수의 제곱근|허수 표현하기|실수부분과 허수부분|실수·허수·순허수 구분하기|실수·허수·순허수 개수 구하기|설명으로 옳은 것 찾기,6,27,1.png,H1_CM1_EQINEQ_C001|H1_CM1_EQINEQ_C002|H1_CM1_EQINEQ_C003
H1_CM1_EQINEQ_RAW_002,2,공통수학1 방정식과 부등식,복소수와 이차방정식,복소수의 연산,복소수의 사칙연산,덧셈과 뺄셈|곱셈|나눗셈|복소수 식의 값,4,40,2.png,H1_CM1_EQINEQ_C004|H1_CM1_EQINEQ_C005
H1_CM1_EQINEQ_RAW_003,3,공통수학1 방정식과 부등식,복소수와 이차방정식,복소수 조건,복소수가 실수 또는 순허수가 되는 조건,실수가 되는 조건|허수가 되는 조건|순허수가 되는 조건|개수 구하기,4,28,3.png,H1_CM1_EQINEQ_C003|H1_CM1_EQINEQ_C006
H1_CM1_EQINEQ_RAW_004,3|4,공통수학1 방정식과 부등식,복소수와 이차방정식,복소수 조건,복소수의 상등,복소수의 상등|두 복소수 조건이 주어진 경우|연산 결과가 실수인 경우,3,16,3.png~4.png,H1_CM1_EQINEQ_C007|H1_CM1_EQINEQ_C006
H1_CM1_EQINEQ_RAW_005,4,공통수학1 방정식과 부등식,복소수와 이차방정식,켤레복소수,켤레복소수의 뜻과 성질,켤레복소수 구하기|켤레복소수의 사칙연산|켤레복소수에 대한 설명|연산이 실수가 되는 경우,4,37,4.png,H1_CM1_EQINEQ_C008|H1_CM1_EQINEQ_C009
H1_CM1_EQINEQ_RAW_006,5,공통수학1 방정식과 부등식,복소수와 이차방정식,켤레복소수,켤레복소수를 이용한 식의 값,복소수와 켤레복소수의 연산|새롭게 정의한 복소수|두 복소수의 합/곱 조건|조건을 만족시키는 복소수 구하기,7,55,5.png,H1_CM1_EQINEQ_C009|H1_CM1_EQINEQ_C010
H1_CM1_EQINEQ_RAW_007,6|7,공통수학1 방정식과 부등식,복소수와 이차방정식,i의 거듭제곱,i의 거듭제곱,i의 거듭제곱|실수·허수·순허수 구분|자연수 개수 구하기|복소수 연산으로 정의된 수열,4,46,6.png~7.png,H1_CM1_EQINEQ_C011
H1_CM1_EQINEQ_RAW_008,8,공통수학1 방정식과 부등식,복소수와 이차방정식,고차식 값,주어진 복소수를 변형하여 고차식의 값 구하기,복소수의 값이 주어질 때|복소수 조건을 변형할 때|두 복소수의 값이 주어질 때|새롭게 정의된 복소수,4,14,8.png,H1_CM1_EQINEQ_C005|H1_CM1_EQINEQ_C011
H1_CM1_EQINEQ_RAW_009,8|9,공통수학1 방정식과 부등식,복소수와 이차방정식,음수의 제곱근,음수의 제곱근의 계산과 성질,음수의 제곱근 계산|두 수 조건|한 수 조건|세 수·네 수 조건,5,49,8.png~9.png,H1_CM1_EQINEQ_C012
H1_CM1_EQINEQ_RAW_010,10,공통수학1 방정식과 부등식,복소수와 이차방정식,이차방정식 풀이,이차방정식의 풀이,인수분해를 이용한 풀이|근의 공식 이용|새 연산 이차방정식|무리수 계수 이차방정식,8,52,10.png,H1_CM1_EQINEQ_C013|H1_CM1_EQINEQ_C014|H1_CM1_EQINEQ_C025
