raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids
H1_CM1_POLY_RAW_001,1,공통수학1 다항식,다항식의 연산,정리방법,다항식의 정리방법,다항식의 여러 가지 용어|오름차순 또는 내림차순으로 정리|다항식의 정리(종합),3,13,1.png,H1_CM1_POLY_C001
H1_CM1_POLY_RAW_002,1,공통수학1 다항식,다항식의 연산,덧셈과 뺄셈,다항식의 덧셈과 뺄셈,두 다항식의 덧셈과 뺄셈|세 다항식의 덧셈과 뺄셈|등식을 만족시키는 다항식 X|새롭게 정의된 연산|덧셈과 뺄셈의 활용,5,30,1.png,H1_CM1_POLY_C002|H1_CM1_POLY_C048
H1_CM1_POLY_RAW_003,2,공통수학1 다항식,다항식의 연산,전개식 계수,다항식의 전개식에서 계수 구하기,문자 1개로 이루어진 식|문자 2개 이상 가진 식|혼합계산이 포함된 전개식|특정항의 계수가 주어질 때 미정계수 구하기|고차식의 거듭제곱꼴,6,42,2.png,H1_CM1_POLY_C003|H1_CM1_POLY_C004|H1_CM1_POLY_C047
H1_CM1_POLY_RAW_004,3,공통수학1 다항식,다항식의 연산,곱셈공식 전개,곱셈 공식을 이용한 다항식의 전개,단항식의 계산|다항식의 계산|다항식의 곱셈법칙|주어진 다항식의 계산|새롭게 정의된 연산|조건이 주어진 경우|곱셈공식 빈칸채우기|곱셈공식을 이용하여 전개하기|전개가 바르게 된 것 찾기|곱셈공식을 여러 번 이용하기|곱셈공식을 이용한 식의 값 구하기|복잡한 전개식에서 계수 구하기,11,75,3.png,H1_CM1_POLY_C004|H1_CM1_POLY_C005|H1_CM1_POLY_C047|H1_CM1_POLY_C048
H1_CM1_POLY_RAW_005,4,공통수학1 다항식,다항식의 연산,공통부분 전개,공통부분이 있는 다항식의 전개,치환을 이용하여 식 전개하기|공통부분을 찾기 위한 과정을 거치는 경우|식의 값 구하기,3,12,4.png,H1_CM1_POLY_C005|H1_CM1_POLY_C006
H1_CM1_POLY_RAW_006,4,공통수학1 다항식,다항식의 연산,공식 변형 두 문자,곱셈 공식의 변형(1) 문자가 2개,"수가 직접 주어졌을 때 계산하기|두 수의 합과 차, 곱이 주어졌을 때 계산하기|이차식의 값이 주어졌을 때|삼차식의 값이 주어졌을 때|역수의 합이 주어졌을 때",5,49,4.png,H1_CM1_POLY_C005|H1_CM1_POLY_C007|H1_CM1_POLY_C008
H1_CM1_POLY_RAW_007,4,공통수학1 다항식,다항식의 연산,역수형 공식 변형,곱셈 공식의 변형(2) x±1/x의 꼴,x+1/x의 값이 주어질 때|x^2+1/x^2의 값이 주어질 때|x^2+ax+b=0이 주어질 때,3,27,4.png,H1_CM1_POLY_C007|H1_CM1_POLY_C008
H1_CM1_POLY_RAW_008,5,공통수학1 다항식,다항식의 연산,공식 변형 세 문자,곱셈 공식의 변형(3) 문자가 3개,세 수의 합과 두 수의 곱의 합이 주어질 때|세 수의 합과 제곱의 합이 주어질 때|두 수의 차 또는 합이 주어질 때|두 수의 곱의 합과 제곱의 합이 주어질 때|분수식이 주어질 때|삼차식이 주어질 때,6,50,5.png,H1_CM1_POLY_C007|H1_CM1_POLY_C008|H1_CM1_POLY_C009
H1_CM1_POLY_RAW_009,5,공통수학1 다항식,다항식의 연산,수 계산,곱셈 공식을 이용한 수의 계산,합차공식을 이용한 수의 계산|삼차식의 곱셈공식을 이용한 수의 계산|두 개 이상의 곱셈공식을 이용한 수의 계산|수의 사잇값을 치환하여 곱셈공식을 이용한 수의 계산,4,19,5.png,H1_CM1_POLY_C005|H1_CM1_POLY_C010
H1_CM1_POLY_RAW_010,6,공통수학1 다항식,다항식의 나눗셈,몫과 나머지,다항식의 나눗셈(1) 몫과 나머지,단항식으로 나누는 경우|다항식의 나눗셈 빈칸채우기|다항식의 나눗셈|나누어떨어지는 조건이 주어진 경우|다항식의 나눗셈에서 몫과 나머지의 연산|다항식의 나눗셈의 활용,6,30,6.png,H1_CM1_POLY_C011|H1_CM1_POLY_C012
H1_CM1_POLY_RAW_011,6,공통수학1 다항식,다항식의 나눗셈,A=BQ+R,다항식의 나눗셈(2) A=BQ+R,A=BQ+R의 꼴로 나타내기|나누어지는 식 구하기|나누는 식 구하기|두 다항식에서의 다항식의 나눗셈|복잡한 다항식의 나눗셈|나눗셈을 이용한 식의 값,6,28,6.png,H1_CM1_POLY_C011|H1_CM1_POLY_C012|H1_CM1_POLY_C013
H1_CM1_POLY_RAW_012,7,공통수학1 다항식,다항식의 나눗셈,몫과 나머지 변형,몫과 나머지의 변형,주어진 식에 관한 경우|주어진 식을 변형한 경우,2,12,7.png,H1_CM1_POLY_C013
