raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H1_CM2_FUNC_RAW_001,1,1.png,함수의 개념과 그래프,함수의 뜻 판별 - 기본 개념 판별,H1_CM2_FUNC_C001,5,function_definition|relation_translation|graph_reading,normalized_from_image_tree
H1_CM2_FUNC_RAW_002,1,1.png,함수의 개념과 그래프,함수의 뜻 판별 - 식 계산 및 값 구하기,H1_CM2_FUNC_C002,5,function_definition|relation_translation|graph_reading,normalized_from_image_tree
H1_CM2_FUNC_RAW_003,1,1.png,함수의 개념과 그래프,함수의 뜻 판별 - 조건 변형 적용,H1_CM2_FUNC_C003,5,function_definition|relation_translation|graph_reading,normalized_from_image_tree
H1_CM2_FUNC_RAW_004,1,1.png,함수의 개념과 그래프,함수의 뜻 판별 - 그래프·보기형 검산,H1_CM2_FUNC_C004,4,function_definition|relation_translation|graph_reading,normalized_from_image_tree
H1_CM2_FUNC_RAW_005,1,1.png,함수의 개념과 그래프,함수값 구하기 - 기본 개념 판별,H1_CM2_FUNC_C005,5,function_value|substitution|condition_translation,normalized_from_image_tree
H1_CM2_FUNC_RAW_006,1,1.png,함수의 개념과 그래프,함수값 구하기 - 식 계산 및 값 구하기,H1_CM2_FUNC_C006,5,function_value|substitution|condition_translation,normalized_from_image_tree
H1_CM2_FUNC_RAW_007,1,1.png,함수의 개념과 그래프,함수값 구하기 - 조건 변형 적용,H1_CM2_FUNC_C007,4,function_value|substitution|condition_translation,normalized_from_image_tree
H1_CM2_FUNC_RAW_008,1,1.png,함수의 개념과 그래프,함수값 구하기 - 그래프·보기형 검산,H1_CM2_FUNC_C008,4,function_value|substitution|condition_translation,normalized_from_image_tree
H1_CM2_FUNC_RAW_009,2,2.png,함수의 개념과 그래프,함수의 정의역·공역·치역 - 기본 개념 판별,H1_CM2_FUNC_C009,12,domain_range|domain_restriction|expression_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_010,2,2.png,함수의 개념과 그래프,함수의 정의역·공역·치역 - 식 계산 및 값 구하기,H1_CM2_FUNC_C010,12,domain_range|domain_restriction|expression_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_011,2,2.png,함수의 개념과 그래프,함수의 정의역·공역·치역 - 조건 변형 적용,H1_CM2_FUNC_C011,11,domain_range|domain_restriction|expression_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_012,2,2.png,함수의 개념과 그래프,함수의 정의역·공역·치역 - 그래프·보기형 검산,H1_CM2_FUNC_C012,11,domain_range|domain_restriction|expression_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_013,2,2.png,함수의 개념과 그래프,조건을 이용한 함수값 구하기 - 기본 개념 판별,H1_CM2_FUNC_C013,6,function_value|condition_equation|substitution,normalized_from_image_tree
H1_CM2_FUNC_RAW_014,2,2.png,함수의 개념과 그래프,조건을 이용한 함수값 구하기 - 식 계산 및 값 구하기,H1_CM2_FUNC_C014,6,function_value|condition_equation|substitution,normalized_from_image_tree
H1_CM2_FUNC_RAW_015,2,2.png,함수의 개념과 그래프,조건을 이용한 함수값 구하기 - 조건 변형 적용,H1_CM2_FUNC_C015,6,function_value|condition_equation|substitution,normalized_from_image_tree
H1_CM2_FUNC_RAW_016,2,2.png,함수의 개념과 그래프,조건을 이용한 함수값 구하기 - 그래프·보기형 검산,H1_CM2_FUNC_C016,5,function_value|condition_equation|substitution,normalized_from_image_tree
H1_CM2_FUNC_RAW_017,3,3.png,함수의 개념과 그래프,서로 같은 함수 판별 - 기본 개념 판별,H1_CM2_FUNC_C017,5,same_function|domain_range|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_018,3,3.png,함수의 개념과 그래프,서로 같은 함수 판별 - 식 계산 및 값 구하기,H1_CM2_FUNC_C018,5,same_function|domain_range|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_019,3,3.png,함수의 개념과 그래프,서로 같은 함수 판별 - 조건 변형 적용,H1_CM2_FUNC_C019,5,same_function|domain_range|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_020,3,3.png,함수의 개념과 그래프,서로 같은 함수 판별 - 그래프·보기형 검산,H1_CM2_FUNC_C020,4,same_function|domain_range|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_021,3,3.png,함수의 개념과 그래프,함수의 그래프 그리기 - 기본 개념 판별,H1_CM2_FUNC_C021,2,graph_drawing|domain_restriction|piecewise_graph,normalized_from_image_tree
H1_CM2_FUNC_RAW_022,3,3.png,함수의 개념과 그래프,함수의 그래프 그리기 - 식 계산 및 값 구하기,H1_CM2_FUNC_C022,2,graph_drawing|domain_restriction|piecewise_graph,normalized_from_image_tree
H1_CM2_FUNC_RAW_023,3,3.png,함수의 개념과 그래프,함수의 그래프 그리기 - 조건 변형 적용,H1_CM2_FUNC_C023,2,graph_drawing|domain_restriction|piecewise_graph,normalized_from_image_tree
H1_CM2_FUNC_RAW_024,3,3.png,함수의 개념과 그래프,함수의 그래프 그리기 - 그래프·보기형 검산,H1_CM2_FUNC_C024,1,graph_drawing|domain_restriction|piecewise_graph,normalized_from_image_tree
H1_CM2_FUNC_RAW_025,3,3.png,함수의 개념과 그래프,일대일함수와 일대일대응 판별 - 기본 개념 판별,H1_CM2_FUNC_C025,5,one_to_one|onto|domain_range,normalized_from_image_tree
H1_CM2_FUNC_RAW_026,3,3.png,함수의 개념과 그래프,일대일함수와 일대일대응 판별 - 식 계산 및 값 구하기,H1_CM2_FUNC_C026,5,one_to_one|onto|domain_range,normalized_from_image_tree
H1_CM2_FUNC_RAW_027,3,3.png,함수의 개념과 그래프,일대일함수와 일대일대응 판별 - 조건 변형 적용,H1_CM2_FUNC_C027,4,one_to_one|onto|domain_range,normalized_from_image_tree
H1_CM2_FUNC_RAW_028,3,3.png,함수의 개념과 그래프,일대일함수와 일대일대응 판별 - 그래프·보기형 검산,H1_CM2_FUNC_C028,4,one_to_one|onto|domain_range,normalized_from_image_tree
H1_CM2_FUNC_RAW_029,4,4.png,함수의 개념과 그래프,일대일대응이 되기 위한 조건 - 기본 개념 판별,H1_CM2_FUNC_C029,8,one_to_one|onto|parameter_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_030,4,4.png,함수의 개념과 그래프,일대일대응이 되기 위한 조건 - 식 계산 및 값 구하기,H1_CM2_FUNC_C030,8,one_to_one|onto|parameter_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_031,4,4.png,함수의 개념과 그래프,일대일대응이 되기 위한 조건 - 조건 변형 적용,H1_CM2_FUNC_C031,8,one_to_one|onto|parameter_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_032,4,4.png,함수의 개념과 그래프,일대일대응이 되기 위한 조건 - 그래프·보기형 검산,H1_CM2_FUNC_C032,7,one_to_one|onto|parameter_condition,normalized_from_image_tree
H1_CM2_FUNC_RAW_033,4,4.png,함수의 개념과 그래프,항등함수와 상수함수 - 기본 개념 판별,H1_CM2_FUNC_C033,9,identity_constant|function_definition|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_034,4,4.png,함수의 개념과 그래프,항등함수와 상수함수 - 식 계산 및 값 구하기,H1_CM2_FUNC_C034,9,identity_constant|function_definition|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_035,4,4.png,함수의 개념과 그래프,항등함수와 상수함수 - 조건 변형 적용,H1_CM2_FUNC_C035,8,identity_constant|function_definition|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_036,4,4.png,함수의 개념과 그래프,항등함수와 상수함수 - 그래프·보기형 검산,H1_CM2_FUNC_C036,8,identity_constant|function_definition|coefficient_compare,normalized_from_image_tree
H1_CM2_FUNC_RAW_037,4,4.png,함수의 개념과 그래프,여러 가지 함수의 개수 - 기본 개념 판별,H1_CM2_FUNC_C037,3,function_count|case_counting|one_to_one,normalized_from_image_tree
H1_CM2_FUNC_RAW_038,4,4.png,함수의 개념과 그래프,여러 가지 함수의 개수 - 식 계산 및 값 구하기,H1_CM2_FUNC_C038,3,function_count|case_counting|one_to_one,normalized_from_image_tree
H1_CM2_FUNC_RAW_039,4,4.png,함수의 개념과 그래프,여러 가지 함수의 개수 - 조건 변형 적용,H1_CM2_FUNC_C039,3,function_count|case_counting|one_to_one,normalized_from_image_tree
H1_CM2_FUNC_RAW_040,4,4.png,함수의 개념과 그래프,여러 가지 함수의 개수 - 그래프·보기형 검산,H1_CM2_FUNC_C040,3,function_count|case_counting|one_to_one,normalized_from_image_tree
H1_CM2_FUNC_RAW_041,5,5.png,함수의 개념과 그래프,조건을 만족시키는 함수의 개수 - 기본 개념 판별,H1_CM2_FUNC_C041,13,function_count|condition_casework|one_to_one,normalized_from_image_tree
H1_CM2_FUNC_RAW_042,5,5.png,함수의 개념과 그래프,조건을 만족시키는 함수의 개수 - 식 계산 및 값 구하기,H1_CM2_FUNC_C042,12,function_count|condition_casework|one_to_one,normalized_from_image_tree
