raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_ALG_SEQ_RAW_001,1,1.png,수열의 뜻,수열의 일반항 - 기본 개념 판별,H2_ALG_SEQ_C001,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_002,1,1.png,수열의 뜻,수열의 일반항 - 규칙 추론,H2_ALG_SEQ_C002,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_003,1,1.png,수열의 뜻,수열의 일반항 - 일반항 작성,H2_ALG_SEQ_C003,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_004,1,1.png,수열의 뜻,수열의 일반항 - k번째 항 계산,H2_ALG_SEQ_C004,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_005,1,1.png,수열의 뜻,수열의 일반항 - 첫째항·n번째 항 연결,H2_ALG_SEQ_C005,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_006,1,1.png,수열의 뜻,수열의 일반항 - 보기형·최종 검산,H2_ALG_SEQ_C006,7,"[""sequence_meaning"", ""general_term"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_007,2,2.png,등차수열,등차수열의 일반항 - 공차 판별,H2_ALG_SEQ_C007,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_008,2,2.png,등차수열,등차수열의 일반항 - 일반항 계산,H2_ALG_SEQ_C008,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_009,2,2.png,등차수열,등차수열의 일반항 - 조건식 세우기,H2_ALG_SEQ_C009,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_010,2,2.png,등차수열,등차수열의 일반항 - 항 사이 관계 해석,H2_ALG_SEQ_C010,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_011,2,2.png,등차수열,등차수열의 일반항 - 삽입항·중항 적용,H2_ALG_SEQ_C011,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_012,2,2.png,등차수열,등차수열의 일반항 - 보기형·최종 검산,H2_ALG_SEQ_C012,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_013,2,2.png,등차수열,등차수열의 일반항 - 응용 조건 처리,H2_ALG_SEQ_C013,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_014,2,2.png,등차수열,등차수열의 일반항 - 정수 조건 검산,H2_ALG_SEQ_C014,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_015,2,2.png,등차수열,등차수열의 일반항 - 공차 판별 2,H2_ALG_SEQ_C015,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_016,2,2.png,등차수열,등차수열의 일반항 - 일반항 계산 2,H2_ALG_SEQ_C016,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_017,2,2.png,등차수열,등차수열의 일반항 - 조건식 세우기 2,H2_ALG_SEQ_C017,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_018,2,2.png,등차수열,등차수열의 일반항 - 항 사이 관계 해석 2,H2_ALG_SEQ_C018,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_019,2,2.png,등차수열,등차수열의 일반항 - 삽입항·중항 적용 2,H2_ALG_SEQ_C019,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_020,2,2.png,등차수열,등차수열의 일반항 - 보기형·최종 검산 2,H2_ALG_SEQ_C020,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_021,2,2.png,등차수열,등차수열의 일반항 - 응용 조건 처리 2,H2_ALG_SEQ_C021,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_022,2,2.png,등차수열,등차수열의 일반항 - 정수 조건 검산 2,H2_ALG_SEQ_C022,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_023,2,2.png,등차수열,등차수열의 일반항 - 공차 판별 3,H2_ALG_SEQ_C023,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_024,2,2.png,등차수열,등차수열의 일반항 - 일반항 계산 3,H2_ALG_SEQ_C024,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_025,2,2.png,등차수열,등차수열의 일반항 - 조건식 세우기 3,H2_ALG_SEQ_C025,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_026,2,2.png,등차수열,등차수열의 일반항 - 항 사이 관계 해석 3,H2_ALG_SEQ_C026,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_027,2,2.png,등차수열,등차수열의 일반항 - 삽입항·중항 적용 3,H2_ALG_SEQ_C027,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_028,2,2.png,등차수열,등차수열의 일반항 - 보기형·최종 검산 3,H2_ALG_SEQ_C028,2,"[""arithmetic_sequence"", ""common_difference"", ""general_term""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_029,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 공차 판별,H2_ALG_SEQ_C029,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_030,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 일반항 계산,H2_ALG_SEQ_C030,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_031,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 조건식 세우기,H2_ALG_SEQ_C031,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_032,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 항 사이 관계 해석,H2_ALG_SEQ_C032,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_033,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 삽입항·중항 적용,H2_ALG_SEQ_C033,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_034,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 보기형·최종 검산,H2_ALG_SEQ_C034,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_035,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 응용 조건 처리,H2_ALG_SEQ_C035,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_036,5,5.png,등차수열,항 사이 관계가 주어진 등차수열 - 정수 조건 검산,H2_ALG_SEQ_C036,4,"[""arithmetic_sequence"", ""term_relation"", ""condition_equation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_037,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 공차 판별,H2_ALG_SEQ_C037,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_038,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 일반항 계산,H2_ALG_SEQ_C038,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_039,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 조건식 세우기,H2_ALG_SEQ_C039,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_040,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 항 사이 관계 해석,H2_ALG_SEQ_C040,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_041,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 삽입항·중항 적용,H2_ALG_SEQ_C041,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_042,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 보기형·최종 검산,H2_ALG_SEQ_C042,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_043,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 응용 조건 처리,H2_ALG_SEQ_C043,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_044,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 정수 조건 검산,H2_ALG_SEQ_C044,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_045,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 공차 판별 2,H2_ALG_SEQ_C045,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_046,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 일반항 계산 2,H2_ALG_SEQ_C046,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_047,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 조건식 세우기 2,H2_ALG_SEQ_C047,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_048,6,6.png,등차수열,조건을 만족시키는 등차수열의 항 구하기 - 항 사이 관계 해석 2,H2_ALG_SEQ_C048,3,"[""arithmetic_sequence"", ""condition_equation"", ""term_value""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_049,8,8.png,등차수열,두 수 사이에 수를 넣어 만든 등차수열 - 공차 판별,H2_ALG_SEQ_C049,4,"[""arithmetic_sequence"", ""insert_terms"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_050,8,8.png,등차수열,두 수 사이에 수를 넣어 만든 등차수열 - 일반항 계산,H2_ALG_SEQ_C050,4,"[""arithmetic_sequence"", ""insert_terms"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_051,8,8.png,등차수열,등차중항 - 공차 판별,H2_ALG_SEQ_C051,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_052,8,8.png,등차수열,등차중항 - 일반항 계산,H2_ALG_SEQ_C052,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_053,8,8.png,등차수열,등차중항 - 조건식 세우기,H2_ALG_SEQ_C053,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_054,8,8.png,등차수열,등차중항 - 항 사이 관계 해석,H2_ALG_SEQ_C054,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_055,8,8.png,등차수열,등차중항 - 삽입항·중항 적용,H2_ALG_SEQ_C055,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
H2_ALG_SEQ_RAW_056,8,8.png,등차수열,등차중항 - 보기형·최종 검산,H2_ALG_SEQ_C056,4,"[""arithmetic_mean"", ""arithmetic_sequence"", ""interpolation""]",normalized_from_image_tree
