raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_ALG_TRIG_FUNC_RAW_001,1,1.png,일반각과 호도법,일반각을 동경으로 나타내기 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C001,3,general_angle|terminal_side|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_002,1,1.png,일반각과 호도법,일반각을 동경으로 나타내기 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C002,3,general_angle|terminal_side|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_003,1,1.png,일반각과 호도법,일반각을 동경으로 나타내기 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C003,3,general_angle|terminal_side|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_004,1,1.png,일반각과 호도법,일반각을 동경으로 나타내기 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C004,3,general_angle|terminal_side|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_005,1,1.png,일반각과 호도법,일반각을 일반각 꼴로 나타내기 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C005,3,general_angle|periodic_angle|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_006,1,1.png,일반각과 호도법,일반각을 일반각 꼴로 나타내기 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C006,3,general_angle|periodic_angle|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_007,1,1.png,일반각과 호도법,일반각을 일반각 꼴로 나타내기 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C007,2,general_angle|periodic_angle|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_008,1,1.png,일반각과 호도법,일반각을 일반각 꼴로 나타내기 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C008,2,general_angle|periodic_angle|angle_representation,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_009,1,1.png,일반각과 호도법,사분면의 각 판별 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C009,3,quadrant_angle|sign_judgment|angle_range,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_010,1,1.png,일반각과 호도법,사분면의 각 판별 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C010,3,quadrant_angle|sign_judgment|angle_range,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_011,1,1.png,일반각과 호도법,사분면의 각 판별 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C011,2,quadrant_angle|sign_judgment|angle_range,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_012,1,1.png,일반각과 호도법,사분면의 각 판별 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C012,2,quadrant_angle|sign_judgment|angle_range,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_013,2,2.png,일반각과 호도법,호도법과 라디안 변환 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C013,6,radian_measure|degree_radian_conversion|pi_unit,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_014,2,2.png,일반각과 호도법,호도법과 라디안 변환 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C014,6,radian_measure|degree_radian_conversion|pi_unit,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_015,2,2.png,일반각과 호도법,호도법과 라디안 변환 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C015,5,radian_measure|degree_radian_conversion|pi_unit,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_016,2,2.png,일반각과 호도법,호도법과 라디안 변환 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C016,5,radian_measure|degree_radian_conversion|pi_unit,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_017,2,2.png,일반각과 호도법,호의 길이와 부채꼴의 넓이 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C017,6,arc_length|sector_area|radian_application,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_018,2,2.png,일반각과 호도법,호의 길이와 부채꼴의 넓이 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C018,6,arc_length|sector_area|radian_application,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_019,2,2.png,일반각과 호도법,호의 길이와 부채꼴의 넓이 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C019,6,arc_length|sector_area|radian_application,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_020,2,2.png,일반각과 호도법,호의 길이와 부채꼴의 넓이 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C020,6,arc_length|sector_area|radian_application,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_021,3,3.png,일반각과 호도법,주어진 조건에서 중심각 구하기 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C021,5,radian_application|equation_setup|unit_conversion,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_022,3,3.png,일반각과 호도법,주어진 조건에서 중심각 구하기 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C022,5,radian_application|equation_setup|unit_conversion,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_023,3,3.png,일반각과 호도법,주어진 조건에서 중심각 구하기 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C023,4,radian_application|equation_setup|unit_conversion,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_024,3,3.png,일반각과 호도법,주어진 조건에서 중심각 구하기 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C024,4,radian_application|equation_setup|unit_conversion,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_025,3,3.png,삼각함수의 뜻과 성질,삼각함수의 뜻 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C025,6,trig_function_definition|coordinate_circle|ratio_definition,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_026,3,3.png,삼각함수의 뜻과 성질,삼각함수의 뜻 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C026,6,trig_function_definition|coordinate_circle|ratio_definition,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_027,3,3.png,삼각함수의 뜻과 성질,삼각함수의 뜻 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C027,6,trig_function_definition|coordinate_circle|ratio_definition,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_028,3,3.png,삼각함수의 뜻과 성질,삼각함수의 뜻 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C028,6,trig_function_definition|coordinate_circle|ratio_definition,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_029,4,4.png,삼각함수의 뜻과 성질,좌표평면에서 삼각함수 값 구하기 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C029,7,coordinate_circle|trig_value|radius_normalization,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_030,4,4.png,삼각함수의 뜻과 성질,좌표평면에서 삼각함수 값 구하기 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C030,7,coordinate_circle|trig_value|radius_normalization,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_031,4,4.png,삼각함수의 뜻과 성질,좌표평면에서 삼각함수 값 구하기 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C031,7,coordinate_circle|trig_value|radius_normalization,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_032,4,4.png,삼각함수의 뜻과 성질,좌표평면에서 삼각함수 값 구하기 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C032,7,coordinate_circle|trig_value|radius_normalization,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_033,4,4.png,삼각함수의 뜻과 성질,사분면별 삼각함수의 부호 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C033,8,quadrant_sign|sin_cos_tan_sign|sign_judgment,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_034,4,4.png,삼각함수의 뜻과 성질,사분면별 삼각함수의 부호 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C034,8,quadrant_sign|sin_cos_tan_sign|sign_judgment,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_035,4,4.png,삼각함수의 뜻과 성질,사분면별 삼각함수의 부호 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C035,7,quadrant_sign|sin_cos_tan_sign|sign_judgment,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_036,4,4.png,삼각함수의 뜻과 성질,사분면별 삼각함수의 부호 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C036,7,quadrant_sign|sin_cos_tan_sign|sign_judgment,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_037,5,5.png,삼각함수의 뜻과 성질,특수각의 삼각함수 값 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C037,6,special_angle|trig_value|memorization_check,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_038,5,5.png,삼각함수의 뜻과 성질,특수각의 삼각함수 값 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C038,6,special_angle|trig_value|memorization_check,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_039,5,5.png,삼각함수의 뜻과 성질,특수각의 삼각함수 값 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C039,6,special_angle|trig_value|memorization_check,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_040,5,5.png,삼각함수의 뜻과 성질,특수각의 삼각함수 값 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C040,6,special_angle|trig_value|memorization_check,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_041,5,5.png,삼각함수의 뜻과 성질,삼각함수 값의 대소 비교 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C041,6,trig_value_comparison|quadrant_sign|reference_angle,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_042,5,5.png,삼각함수의 뜻과 성질,삼각함수 값의 대소 비교 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C042,6,trig_value_comparison|quadrant_sign|reference_angle,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_043,5,5.png,삼각함수의 뜻과 성질,삼각함수 값의 대소 비교 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C043,6,trig_value_comparison|quadrant_sign|reference_angle,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_044,5,5.png,삼각함수의 뜻과 성질,삼각함수 값의 대소 비교 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C044,5,trig_value_comparison|quadrant_sign|reference_angle,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_045,6,6.png,삼각함수의 뜻과 성질,삼각함수 사이의 기본 관계 - 기본 개념 판별,H2_ALG_TRIG_FUNC_C045,9,pythagorean_identity|reciprocal_relation|identity_transform,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_046,6,6.png,삼각함수의 뜻과 성질,삼각함수 사이의 기본 관계 - 식 계산 및 변형,H2_ALG_TRIG_FUNC_C046,9,pythagorean_identity|reciprocal_relation|identity_transform,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_047,6,6.png,삼각함수의 뜻과 성질,삼각함수 사이의 기본 관계 - 조건·그래프 적용,H2_ALG_TRIG_FUNC_C047,9,pythagorean_identity|reciprocal_relation|identity_transform,normalized_from_image_tree
H2_ALG_TRIG_FUNC_RAW_048,6,6.png,삼각함수의 뜻과 성질,삼각함수 사이의 기본 관계 - 보기형·최종 검산,H2_ALG_TRIG_FUNC_C048,9,pythagorean_identity|reciprocal_relation|identity_transform,normalized_from_image_tree
