raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
H2_CALC1_INT_RAW_001,1,1.png,부정적분,부정적분의 정의 이해하기,H2_CALC1_INT_C001,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_002,1,1.png,부정적분,부정적분의 정의 - 부정적분에 대한 개념 문제,H2_CALC1_INT_C002,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_003,1,1.png,부정적분,부정적분의 정의 - 부정적분 F(x)가 주어질 때 f(x) 구하기,H2_CALC1_INT_C003,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_004,1,1.png,부정적분,부정적분의 정의 - 함수 f(x)가 주어질 때 F(x)의 부정적분 구하기,H2_CALC1_INT_C004,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_005,1,1.png,부정적분,부정적분의 정의 - 부정적분을 이용한 미정계수 결정,H2_CALC1_INT_C005,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_006,1,1.png,부정적분,부정적분의 정의 - 두 부정적분의 관계 활용하기,H2_CALC1_INT_C006,3,"[""indefinite_integral"", ""antiderivative"", ""definition""]",normalized_from_image_tree
H2_CALC1_INT_RAW_007,1,1.png,부정적분,부정적분과 미분의 관계 (1) - 미정계수가 없는 식이 주어진 경우,H2_CALC1_INT_C007,5,"[""indefinite_integral"", ""derivative_antiderivative"", ""equation""]",normalized_from_image_tree
H2_CALC1_INT_RAW_008,1,1.png,부정적분,부정적분과 미분의 관계 (1) - 미정계수가 포함된 식이 주어진 경우,H2_CALC1_INT_C008,5,"[""indefinite_integral"", ""derivative_antiderivative"", ""equation""]",normalized_from_image_tree
H2_CALC1_INT_RAW_009,1,1.png,부정적분,부정적분과 미분의 관계 (2) - 적분 결과와 도함수를 함께 비교하는 경우,H2_CALC1_INT_C009,5,"[""indefinite_integral"", ""derivative_antiderivative"", ""equation""]",normalized_from_image_tree
H2_CALC1_INT_RAW_010,1,1.png,부정적분,부정적분과 미분의 관계 (2) - 합성된 식에서 적분과 미분의 관계를 이용하는 경우,H2_CALC1_INT_C010,5,"[""indefinite_integral"", ""derivative_antiderivative"", ""equation""]",normalized_from_image_tree
