raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_image_range,preservation_status
M1_BG_RAW_001,[1],기본 도형과 작도,기본 도형,"점, 선, 면",도형의 기본 요소와 도형 판별,"[""도형"", ""점·선·면"", ""기본 도형 용어""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_002,[1],기본 도형과 작도,기본 도형,"점, 선, 면",교점과 교선 판별,"[""교점과 교선"", ""두 도형의 만남"", ""공통부분 판별""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_003,[1],기본 도형과 작도,기본 도형,"직선, 반직선, 선분",직선·반직선·선분의 뜻과 구분,"[""직선, 반직선, 선분"", ""표현과 기호"", ""끝점 판단""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_004,[1],기본 도형과 작도,기본 도형,"직선, 반직선, 선분의 개수",점이 주어진 경우 직선·반직선·선분의 개수 구하기,"[""직선의 개수"", ""반직선의 개수"", ""선분의 개수""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_005,[1],기본 도형과 작도,기본 도형,선분의 길이와 중점,두 점 사이의 거리와 선분의 중점 구하기,"[""두 점 A,B 사이의 거리"", ""선분의 중점"", ""두 점 사이의 거리""]",001.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_006,[2],기본 도형과 작도,각,각의 기본 개념,"각의 뜻, 표시, 크기 구하기","[""각"", ""각의 표시"", ""각의 크기""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_007,[2],기본 도형과 작도,각,각의 크기 조건,직각자·평각·비·조건을 이용한 각의 크기 구하기,"[""직각자를 이용한 각"", ""평각을 이용한 각"", ""비가 주어진 각"", ""조건이 주어진 각""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_008,[2],기본 도형과 작도,각,시계 각도,시침과 분침이 이루는 각의 크기 구하기,"[""시침과 분침"", ""시계 각도"", ""각의 크기""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_009,[2],기본 도형과 작도,각,맞꼭지각과 수직,"맞꼭지각의 성질, 수직과 수선, 점과 직선 사이의 거리","[""맞꼭지각"", ""수직과 수선"", ""점과 직선 사이의 거리""]",002.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_010,[3],기본 도형과 작도,위치 관계,평면과 공간의 위치 관계,점·직선·평면의 위치 관계와 평면이 정해질 조건,"[""점과 직선·평면의 위치 관계"", ""평면에서 두 직선"", ""평면이 정해질 조건""]",003.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_011,[3],기본 도형과 작도,위치 관계,공간도형의 위치 관계,공간에서 직선·평면의 위치 관계와 꼬인 위치 판단,"[""꼬인 위치"", ""공간에서 두 직선"", ""직선과 평면"", ""두 평면의 위치 관계""]",003.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_012,[3],기본 도형과 작도,위치 관계,입체도형에서의 위치 관계,잘린 입체도형과 전개도에서 위치 관계 판단,"[""일부가 잘린 입체도형"", ""전개도"", ""여러 가지 위치 관계""]",003.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_013,[4],기본 도형과 작도,평행선의 성질,동위각과 엇각,동위각과 엇각을 구분하고 각의 크기 관계 판단,"[""동위각과 엇각"", ""평행선의 성질"", ""두 직선이 평행할 조건""]",004.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_014,[4],기본 도형과 작도,평행선의 성질,평행선 각도 활용,"두 쌍의 평행선, 삼각형 모양, 꺾인 직선, 종이접기 각도 문제","[""두 쌍의 평행선"", ""평행선과 삼각형 모양"", ""평행선과 꺾인 직선"", ""종이를 접었을 때 각""]",004.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_015,[5],기본 도형과 작도,작도와 합동,삼각형의 작도,"자와 컴퍼스를 이용한 작도, 선분·각·평행선의 작도, 삼각형 작도 조건","[""작도"", ""길이가 같은 선분의 작도"", ""크기가 같은 각의 작도"", ""평행선의 작도"", ""삼각형의 작도""]",005.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_016,[5],기본 도형과 작도,작도와 합동,삼각형의 결정 조건,"삼각형의 세 변 관계, 삼각형이 정해질 조건과 정해지지 않는 경우","[""삼각형의 세 변의 길이 사이의 관계"", ""삼각형이 정해질 조건"", ""하나로 정해지지 않는 경우""]",005.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_017,[6],기본 도형과 작도,작도와 합동,도형의 합동,합동인 도형의 성질과 합동인 삼각형 찾기,"[""도형의 합동"", ""합동인 도형의 성질"", ""합동인 삼각형 찾기""]",006.png,source_images_preserved; curated_summary_not_full_leaf_ocr
M1_BG_RAW_018,[6],기본 도형과 작도,작도와 합동,삼각형의 합동 조건과 활용,SSS·SAS·ASA 합동조건과 정삼각형·직사각형에서의 활용,"[""SSS합동"", ""SAS합동"", ""ASA합동"", ""정삼각형 활용"", ""직사각형 활용""]",006.png,source_images_preserved; curated_summary_not_full_leaf_ocr
