raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_image_range,preservation_status
M1_DA_RAW_001,[1],자료 정리와 해석,대표값,평균,자료의 평균,"[""자료의 평균 구하기"", ""자료의 평균 비교하기""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_002,[1],자료 정리와 해석,대표값,평균,평균의 활용,"[""변량의 수가 주어진 경우 평균 구하기"", ""변량이 문자로 주어진 경우 평균 구하기"", ""변량이 추가되는 경우 평균 구하기"", ""실생활 활용""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_003,[2],자료 정리와 해석,대표값,중앙값,중앙값의 뜻과 성질,"[""변량이 모두 주어진 자료에서의 중앙값"", ""문자가 포함된 자료에서의 중앙값""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_004,[2],자료 정리와 해석,대표값,최빈값,최빈값의 뜻과 성질,"[""변량이 모두 주어진 자료에서의 최빈값"", ""문자가 포함된 자료에서의 최빈값"", ""실생활 소재 자료에서의 최빈값"", ""변량을 추가/삭제/변경한 경우""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_005,[2],자료 정리와 해석,대표값,대표값 선택,적절한 대표값 찾기,"[""평균/중앙값/최빈값이 대표값으로 적절한 것 고르기"", ""대표값으로 적절한 것 구하기"", ""대표값에 대한 이해""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_006,[2],자료 정리와 해석,대표값,평균 조건,대표값을 이용하여 변량 구하기: 평균이 주어진 경우,"[""미지수 1개"", ""미지수 2개 이상"", ""변량을 잘못 보거나 대체한 경우"", ""도형""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_007,[3],자료 정리와 해석,대표값,중앙값 조건,대표값을 이용하여 변량 구하기: 중앙값이 주어진 경우,"[""미지수 1개"", ""미지수 2개 이상"", ""중앙값이 다른 대표값과 같은 경우"", ""변량 추가/삭제/변경""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_008,[3],자료 정리와 해석,대표값,최빈값 조건,대표값을 이용하여 변량 구하기: 최빈값이 주어진 경우,"[""미지수 1개"", ""미지수 2개 이상"", ""가장 큰/작은 변량 활용"", ""최빈값이 다른 대표값과 같은 경우"", ""변량 추가/삭제/변경""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_009,[3],자료 정리와 해석,대표값,여러 자료,여러 가지 자료에서의 대표값,"[""막대그래프"", ""꺾은선그래프"", ""표·그림·점수 자료""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_010,[4],자료 정리와 해석,줄기와 잎 그림,작성,줄기와 잎 그림,"[""줄기와 잎 그림 그리는 방법"", ""줄기와 잎 그림 그리기""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_011,[4],자료 정리와 해석,줄기와 잎 그림,해석,줄기와 잎 그림의 이해,"[""줄기와 잎 그림을 그려 해석하기"", ""줄기와 잎 그림 해석하기"", ""두 집단의 줄기와 잎 그림 해석하기""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_012,[4],자료 정리와 해석,줄기와 잎 그림,대표값,줄기와 잎 그림에서 대표값,"[""줄기와 잎 그림에서 대표값""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_013,[5],자료 정리와 해석,도수분포표,작성,도수분포표,"[""도수분포표 만들기""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_014,[5],자료 정리와 해석,도수분포표,이해,도수분포표의 이해,"[""도수분포표의 이해"", ""도수분포표에서의 계급값"", ""도수분포표에서 변량의 범위"", ""변량의 범위에 따른 계급"", ""도수분포표에서 계급값의 응용"", ""도수분포표의 설명"", ""도수분포표의 응용/활용""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_015,[6],자료 정리와 해석,도수분포표,백분율,특정 계급의 백분율,"[""도수분포표에서 특정 계급의 백분율"", ""두 계급 사이의 관계가 주어진 경우""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_016,[6],자료 정리와 해석,히스토그램과 도수분포다각형,히스토그램,히스토그램,"[""히스토그램의 이해"", ""히스토그램에서의 응용"", ""히스토그램의 설명""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_017,[6],자료 정리와 해석,히스토그램과 도수분포다각형,히스토그램 넓이,히스토그램의 직사각형 넓이,"[""히스토그램의 직사각형 넓이"", ""히스토그램의 직사각형 넓이의 비교""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_018,[6],자료 정리와 해석,히스토그램과 도수분포다각형,찢어진 히스토그램,찢어진 히스토그램,"[""한 부분이 찢어진 경우"", ""두 부분이 찢어진 경우"", ""세로축이 찢어진 경우""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_019,[7],자료 정리와 해석,히스토그램과 도수분포다각형,도수분포다각형,도수분포다각형,"[""도수분포다각형의 이해"", ""도수분포다각형에서 값 구하기"", ""도수분포다각형의 응용""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_020,[7],자료 정리와 해석,히스토그램과 도수분포다각형,도수분포다각형 넓이,도수분포다각형의 넓이,"[""도수분포다각형의 넓이"", ""도수분포다각형의 넓이의 이해""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_021,[7],자료 정리와 해석,히스토그램과 도수분포다각형,찢어진 도수분포다각형,찢어진 도수분포다각형,"[""찢어진 도수분포다각형""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_022,[7],자료 정리와 해석,히스토그램과 도수분포다각형,두 도수분포다각형,두 도수분포다각형의 비교,"[""도수분포다각형의 이해"", ""두 도수분포다각형의 비교""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_023,[8],자료 정리와 해석,상대도수와 그 그래프,상대도수 이해,상대도수의 이해,"[""도수분포표가 주어진 경우"", ""히스토그램이 주어진 경우"", ""도수분포다각형이 주어진 경우"", ""상대도수, 도수, 도수의 총합 사이의 관계"", ""히스토그램이 찢어진 경우""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_024,[8],자료 정리와 해석,상대도수와 그 그래프,상대도수분포표,상대도수의 분포표,"[""상대도수분포표"", ""상대도수분포표의 응용"", ""상대도수분포표의 설명"", ""문자를 사용한 상대도수의 표현""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_025,[8],자료 정리와 해석,상대도수와 그 그래프,찢어진 상대도수분포표,찢어진 상대도수의 분포표,"[""찢어진 상대도수분포표""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_026,[8],자료 정리와 해석,상대도수와 그 그래프,상대도수 그래프,상대도수의 분포를 나타낸 그래프: 도수의 총합이 주어진 경우,"[""도수분포다각형 모양의 그래프로 나타내기"", ""상대도수분포그래프가 히스토그램 모양으로 주어진 경우"", ""상대도수분포그래프가 도수분포다각형 모양으로 주어진 경우""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_027,[9],자료 정리와 해석,상대도수와 그 그래프,상대도수 그래프,상대도수의 분포를 나타낸 그래프: 도수의 총합이 주어지지 않은 경우,"[""상대도수분포그래프가 히스토그램 모양으로 주어진 경우"", ""상대도수분포그래프가 도수분포다각형 모양으로 주어진 경우""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_028,[9],자료 정리와 해석,상대도수와 그 그래프,찢어진 상대도수 그래프,상대도수의 분포를 나타낸 그래프가 찢어진 경우,"[""히스토그램 모양으로 주어진 경우"", ""도수분포다각형 모양으로 주어진 경우"", ""2개의 상대도수분포그래프가 도수분포다각형 모양으로 주어진 경우""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_029,[9],자료 정리와 해석,상대도수와 그 그래프,두 자료의 상대도수,도수의 총합이 다른 두 자료의 상대도수,"[""상대도수분포표 완성하기"", ""상대도수의 개념과 쓰임새"", ""줄기와 잎 그림에서의 상대도수"", ""각 자료의 도수의 총합과 계급의 도수/상대도수 관계"", ""한 자료가 다른 자료에 포함되는 경우""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_030,[10],자료 정리와 해석,상대도수와 그 그래프,상대도수의 비,도수의 총합이 다른 두 자료의 상대도수의 비,"[""도수의 비 구하기"", ""상대도수의 비 구하기"", ""전체 도수 총합의 비 구하기""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_DA_RAW_031,[10],자료 정리와 해석,상대도수와 그 그래프,두 그래프 비교,도수의 총합이 다른 두 상대도수 그래프의 비교,"[""상대도수분포표를 그래프로 나타내어 풀기"", ""각 자료의 도수의 총합이 주어지지 않은 경우"", ""각 자료의 도수의 총합 또는 근거가 주어진 경우""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
