raw_section_id,source_order,source_image,major_category,section_name,normalized_concept_id,estimated_detail_type_count_in_major,error_tags,status
M1_PF_RAW_001,1,1.png,자연수의 약수와 배수,자연수의 약수와 배수: 약수 모두 구하기,M1_PF_C001,6,"[""divisor_multiple_basic"", ""divisor_listing"", ""multiple_listing"", ""counting_basic""]",normalized_from_image_tree
M1_PF_RAW_002,2,2.png,자연수의 약수와 배수,자연수의 약수와 배수: 배수 작은 수부터 구하기,M1_PF_C002,6,"[""divisor_multiple_basic"", ""divisor_listing"", ""multiple_listing"", ""counting_basic""]",normalized_from_image_tree
M1_PF_RAW_003,3,3.png,자연수의 약수와 배수,자연수의 약수와 배수: 약수/배수 여부 판별,M1_PF_C003,6,"[""divisor_multiple_basic"", ""divisor_listing"", ""multiple_listing"", ""counting_basic""]",normalized_from_image_tree
M1_PF_RAW_004,4,4.png,자연수의 약수와 배수,"배수판별법을 이용한 수 찾기: 2,3,4,5,6,9의 배수 판별",M1_PF_C004,6,"[""divisibility_rule"", ""digit_condition"", ""multiple_judgement""]",normalized_from_image_tree
M1_PF_RAW_005,5,5.png,소수와 합성수,소수와 합성수의 구분: 소수와 합성수 구분,M1_PF_C005,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_006,6,6.png,소수와 합성수,소수와 합성수의 구분: 자연수의 약수로 소수 판별,M1_PF_C006,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_007,7,7.png,소수와 합성수,소수와 합성수의 구분: 범위 안의 소수 개수,M1_PF_C007,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_008,8,8.png,소수와 합성수,소수와 합성수의 구분: 소수·합성수의 조건 만족,M1_PF_C008,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_009,9,9.png,소수와 합성수,소수와 합성수의 구분: 소수와 합성수 구분,M1_PF_C009,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_010,10,10.png,소수와 합성수,소수와 합성수의 구분: 자연수의 약수로 소수 판별,M1_PF_C010,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_011,11,11.png,소수와 합성수,소수와 합성수의 구분: 범위 안의 소수 개수,M1_PF_C011,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_012,12,12.png,소수와 합성수,소수와 합성수의 구분: 소수·합성수의 조건 만족,M1_PF_C012,6,"[""prime_composite"", ""prime_judgement"", ""range_counting"", ""one_exception""]",normalized_from_image_tree
M1_PF_RAW_013,13,13.png,소인수분해,거듭제곱: 같은 인수의 곱을 거듭제곱으로 표현,M1_PF_C013,6,"[""power_notation"", ""exponent_base"", ""repeated_multiplication"", ""unit_digit_cycle""]",normalized_from_image_tree
M1_PF_RAW_014,14,14.png,소인수분해,거듭제곱: 거듭제곱을 곱으로 풀기,M1_PF_C014,6,"[""power_notation"", ""exponent_base"", ""repeated_multiplication"", ""unit_digit_cycle""]",normalized_from_image_tree
M1_PF_RAW_015,15,15.png,소인수분해,거듭제곱: 거듭제곱의 밑과 지수 판별,M1_PF_C015,6,"[""power_notation"", ""exponent_base"", ""repeated_multiplication"", ""unit_digit_cycle""]",normalized_from_image_tree
M1_PF_RAW_016,16,16.png,소인수분해,거듭제곱: 일의 자리 주기 확인,M1_PF_C016,6,"[""power_notation"", ""exponent_base"", ""repeated_multiplication"", ""unit_digit_cycle""]",normalized_from_image_tree
M1_PF_RAW_017,17,17.png,소인수분해,거듭제곱: 같은 인수의 곱을 거듭제곱으로 표현,M1_PF_C017,6,"[""power_notation"", ""exponent_base"", ""repeated_multiplication"", ""unit_digit_cycle""]",normalized_from_image_tree
M1_PF_RAW_018,18,18.png,소인수분해,소인수분해 기본: 소인수분해하기,M1_PF_C018,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_019,19,19.png,소인수분해,소인수분해 기본: 소인수분해된 꼴에서 자연수 구하기,M1_PF_C019,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_020,20,20.png,소인수분해,소인수분해 기본: 소인수분해의 옳고 그름 판단,M1_PF_C020,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_021,21,21.png,소인수분해,소인수분해 기본: 지수 포함 소인수분해식 해석,M1_PF_C021,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_022,22,22.png,소인수분해,소인수분해 기본: 소인수분해하기,M1_PF_C022,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_023,23,23.png,소인수분해,소인수분해 기본: 소인수분해된 꼴에서 자연수 구하기,M1_PF_C023,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_024,24,24.png,소인수분해,소인수분해 기본: 소인수분해의 옳고 그름 판단,M1_PF_C024,6,"[""prime_factorization"", ""factor_tree"", ""exponent_interpretation"", ""canonical_form""]",normalized_from_image_tree
M1_PF_RAW_025,25,25.png,소인수분해,제곱인수와 세제곱인수: 곱하여 제곱수 만들기,M1_PF_C025,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_026,26,26.png,소인수분해,제곱인수와 세제곱인수: 나누어 제곱수 만들기,M1_PF_C026,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_027,27,27.png,소인수분해,제곱인수와 세제곱인수: 세제곱수 조건 만들기,M1_PF_C027,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_028,28,28.png,소인수분해,제곱인수와 세제곱인수: 미지수 포함 제곱 조건,M1_PF_C028,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_029,29,29.png,소인수분해,제곱인수와 세제곱인수: 곱하여 제곱수 만들기,M1_PF_C029,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_030,30,30.png,소인수분해,제곱인수와 세제곱인수: 나누어 제곱수 만들기,M1_PF_C030,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_031,31,31.png,소인수분해,제곱인수와 세제곱인수: 세제곱수 조건 만들기,M1_PF_C031,6,"[""square_factor_condition"", ""cube_factor_condition"", ""exponent_parity"", ""least_multiplier""]",normalized_from_image_tree
M1_PF_RAW_032,32,32.png,소인수분해를 이용한 약수,약수 구하기: 주어진 수의 약수 모두 구하기,M1_PF_C032,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_033,33,33.png,소인수분해를 이용한 약수,약수 구하기: 약수와 소인수 모두 구하기,M1_PF_C033,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_034,34,34.png,소인수분해를 이용한 약수,약수 구하기: 약수의 개수 구하기,M1_PF_C034,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_035,35,35.png,소인수분해를 이용한 약수,약수 구하기: 표를 이용한 약수 나열,M1_PF_C035,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_036,36,36.png,소인수분해를 이용한 약수,약수 구하기: 주어진 수의 약수 모두 구하기,M1_PF_C036,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_037,37,37.png,소인수분해를 이용한 약수,약수 구하기: 약수와 소인수 모두 구하기,M1_PF_C037,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_038,38,38.png,소인수분해를 이용한 약수,약수 구하기: 약수의 개수 구하기,M1_PF_C038,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_039,39,39.png,소인수분해를 이용한 약수,약수 구하기: 표를 이용한 약수 나열,M1_PF_C039,6,"[""divisor_from_factorization"", ""divisor_count"", ""divisor_listing_table"", ""factor_vs_divisor""]",normalized_from_image_tree
M1_PF_RAW_040,40,40.png,소인수분해를 이용한 약수,약수의 개수와 조건: 약수의 개수 조건으로 자연수 찾기,M1_PF_C040,6,"[""divisor_count_formula"", ""sum_of_divisors"", ""unknown_exponent"", ""condition_search""]",normalized_from_image_tree
M1_PF_RAW_041,41,41.png,소인수분해를 이용한 약수,약수의 개수와 조건: 약수의 합 구하기,M1_PF_C041,6,"[""divisor_count_formula"", ""sum_of_divisors"", ""unknown_exponent"", ""condition_search""]",normalized_from_image_tree
M1_PF_RAW_042,42,42.png,소인수분해를 이용한 약수,약수의 개수와 조건: 특정 약수의 개수,M1_PF_C042,6,"[""divisor_count_formula"", ""sum_of_divisors"", ""unknown_exponent"", ""condition_search""]",normalized_from_image_tree
