raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_image_range,preservation_status
M1_SG_RAW_001,[1],입체도형의 성질,다면체와 회전체,다면체,다면체의 뜻과 구분,"[""다면체에 대한 설명"", ""다면체의 구분""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_002,[1],입체도형의 성질,다면체와 회전체,다면체,다면체의 면의 개수,"[""다면체의 면의 개수"", ""다면체의 면의 개수의 응용""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_003,[1],입체도형의 성질,다면체와 회전체,다면체,다면체의 모서리의 개수,"[""다면체의 모서리의 개수 구하기""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_004,[1],입체도형의 성질,다면체와 회전체,다면체,다면체의 꼭짓점의 개수,"[""다면체의 꼭짓점의 개수 구하기""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_005,[2],입체도형의 성질,다면체와 회전체,다면체,면·모서리·꼭짓점 개수의 종합 활용,"[""다면체의 면, 모서리, 꼭짓점의 개수 구하기"", ""개수가 주어진 경우"", ""합이 주어진 다면체""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_006,[2],입체도형의 성질,다면체와 회전체,다면체,다면체를 자르는 경우,"[""다면체를 자르는 경우""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_007,[2],입체도형의 성질,다면체와 회전체,다면체,다면체의 옆면 모양,"[""다면체의 옆면의 모양 구하기""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_008,[2],입체도형의 성질,다면체와 회전체,다면체,다면체의 이해와 조건 만족,"[""다면체의 이해"", ""다면체의 이해의 응용"", ""조건을 만족시키는 다면체 찾기""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_009,[2],입체도형의 성질,다면체와 회전체,다면체,다면체 요소 개수 사이의 관계,"[""다면체의 요소의 개수 사이의 관계"", ""관계의 응용""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_010,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 이해,"[""정다면체의 이해""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_011,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 요소와 조건,"[""정다면체의 요소의 이해"", ""활용""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_012,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 면·모서리·꼭짓점의 개수,"[""정다면체의 면, 모서리, 꼭짓점의 개수"", ""개수의 응용""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_013,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 전개도,"[""정다면체의 전개도"", ""전개도의 응용: 정사면체·정육면체"", ""전개도의 응용: 정팔면체·정십이면체·정이십면체""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_014,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체 요소 개수와 전개도 종합,"[""정다면체의 면, 모서리, 꼭짓점의 개수; 전개도""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_015,[3],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 각 면/모서리의 중점 연결,"[""각 면의 한가운데 점 연결"", ""각 모서리의 중점 연결""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_016,[4],입체도형의 성질,다면체와 회전체,정다면체,정다면체의 단면,"[""정다면체의 단면"", ""단면의 응용""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_017,[4],입체도형의 성질,다면체와 회전체,회전체,회전체의 판별과 설명,"[""회전체의 판단"", ""회전체의 설명""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_018,[4],입체도형의 성질,다면체와 회전체,회전체,평면도형과 회전축의 관계,"[""간격이 없는 경우"", ""간격이 있는 경우"", ""응용"", ""활용""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_019,[4],입체도형의 성질,다면체와 회전체,회전체,회전축 찾기,"[""회전축 알아보기"", ""회전축 구하기""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_020,[4],입체도형의 성질,다면체와 회전체,회전체,회전체의 단면 모양,"[""회전체의 단면의 모양 구하기"", ""회전하기 전 평면도형이 주어지는 경우"", ""단면의 모양이 주어지는 경우""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_021,[5],입체도형의 성질,다면체와 회전체,회전체,회전체의 단면 모양 종합,"[""직각삼각형"", ""사각형"", ""여러 가지 단면"", ""축과 간격이 있는 평면도형""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_022,[5],입체도형의 성질,다면체와 회전체,회전체,회전체의 전개도,"[""회전체의 전개도"", ""전개도의 응용"", ""전개도의 활용""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_023,[5],입체도형의 성질,다면체와 회전체,회전체,원기둥의 전개도 성질,"[""원기둥이 주어지는 경우"", ""전개도가 주어지는 경우""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_024,[6],입체도형의 성질,다면체와 회전체,회전체,원뿔의 전개도 성질,"[""원뿔의 전개도의 성질"", ""전개도를 지나는 가장 짧은 선의 길이""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_025,[6],입체도형의 성질,다면체와 회전체,회전체,원뿔대의 전개도 성질,"[""원뿔대의 전개도의 성질""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_026,[6],입체도형의 성질,다면체와 회전체,회전체,회전체의 이해,"[""특정 회전체의 이해"", ""회전체의 이해""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_027,[6],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,각기둥의 겉넓이,"[""과정의 이해"", ""겉넓이 구하기"", ""겉넓이가 주어진 경우"", ""응용"", ""활용""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_028,[7],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,원기둥의 겉넓이,"[""과정의 이해"", ""겉넓이 구하기"", ""겉넓이가 주어진 경우"", ""활용""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_029,[7],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,각기둥의 부피,"[""부피 구하기"", ""전개도가 주어진 경우"", ""부피가 주어진 경우"", ""활용""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_030,[7],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,원기둥의 부피,"[""부피 구하기"", ""전개도가 주어진 경우"", ""부피가 주어진 경우"", ""활용""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_031,[7],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,밑면이 부채꼴인 기둥,"[""겉넓이와 부피"", ""응용""]",007.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_032,[8],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,구멍이 뚫린 기둥,"[""각기둥의 겉넓이와 부피"", ""원기둥의 겉넓이와 부피"", ""부채꼴 일부 절단 밑면"", ""여러 개의 구멍""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_033,[8],입체도형의 성질,입체도형의 겉넓이와 부피,기둥,일부분을 잘라 낸 기둥,"[""겉넓이"", ""부피"", ""겉넓이와 부피의 응용"", ""활용""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_034,[8],입체도형의 성질,입체도형의 겉넓이와 부피,회전체,회전체의 겉넓이와 부피: 원기둥,"[""회전체의 겉넓이와 부피"", ""중간이 꺾이거나 축과 간격이 있는 경우"", ""응용""]",008.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_035,[9],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,각뿔의 겉넓이,"[""각뿔의 겉넓이 구하기"", ""전개도가 주어진 경우""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_036,[9],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,원뿔의 겉넓이,"[""구하는 과정의 이해"", ""겉넓이 구하기"", ""꼭짓점을 중심으로 굴리는 경우""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_037,[9],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,원뿔의 겉넓이와 전개도,"[""밑면의 부채꼴 중심각의 크기 포함"", ""주어진 경우"", ""응용""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_038,[9],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,뿔대의 겉넓이,"[""뿔대의 겉넓이"", ""전개도가 주어진 뿔대의 겉넓이""]",009.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_039,[10],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,각뿔의 부피,"[""과정의 이해"", ""부피 구하기"", ""부피가 주어지는 경우"", ""응용""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_040,[10],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,직육면체 내부 각뿔의 부피,"[""직육면체의 내부에 있는 각뿔의 부피""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_041,[10],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,각기둥에서 잘라 낸 각뿔의 부피,"[""각기둥에서 잘라 낸 각뿔의 부피"", ""응용"", ""활용""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M1_SG_RAW_042,[10],입체도형의 성질,입체도형의 겉넓이와 부피,뿔,그릇에 담긴 물의 부피,"[""그릇 1개"", ""그릇 2개의 비교""]",010.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
