raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids,preservation_status
M2_GEOM_RAW_001,1,2-2 도형의 성질,기본 각 관계,평행선과 각,평행선에서 동위각·엇각·맞꼭지각,동위각과 엇각 혼동|평행 조건 확인 없이 각 관계 사용|평행선에서 동위각·엇각·맞꼭지각,1,3,1.png,M2_GEOM_C001,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_002,1,2-2 도형의 성질,기본 각 관계,삼각형의 각,삼각형의 내각과 외각,외각=두 내각의 합 누락|내각의 합 180° 적용 오류|삼각형의 내각과 외각,1,3,1.png,M2_GEOM_C002,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_003,1|2,2-2 도형의 성질,기본 각 관계,다각형의 각,다각형의 내각과 외각,n각형 내각 합 공식 오류|외각의 합을 n에 따라 다르다고 판단|다각형의 내각과 외각,1,3,"1.png, 2.png",M2_GEOM_C003,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_004,2,2-2 도형의 성질,삼각형의 합동,합동의 뜻,합동인 도형의 대응 관계,대응 순서 오류|도형의 방향이 바뀌면 대응을 못 찾음|합동인 도형의 대응 관계,1,3,2.png,M2_GEOM_C004,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_005,2|3,2-2 도형의 성질,삼각형의 합동,합동 조건,삼각형의 합동 조건 SSS·SAS·ASA,SSA를 합동 조건으로 오인|끼인각 조건 누락|삼각형의 합동 조건 SSS·SAS·ASA,1,3,"2.png, 3.png",M2_GEOM_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_006,3,2-2 도형의 성질,삼각형의 합동,증명 구조,합동 증명의 순서,결론을 먼저 쓰고 근거 부족|대응 순서 불일치|합동 증명의 순서,1,3,3.png,M2_GEOM_C006,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_007,3|4,2-2 도형의 성질,삼각형의 성질,이등변삼각형,이등변삼각형의 성질,같은 변과 같은 각 대응 오류|꼭지각과 밑각 혼동|이등변삼각형의 성질,1,3,"3.png, 4.png",M2_GEOM_C007,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_008,4,2-2 도형의 성질,삼각형의 성질,이등변삼각형 조건,이등변삼각형이 되는 조건,성질과 조건 구분 실패|같은 각의 대변을 잘못 찾음|이등변삼각형이 되는 조건,1,3,4.png,M2_GEOM_C008,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_009,4|5,2-2 도형의 성질,삼각형의 성질,직각삼각형 합동,직각삼각형의 합동 조건 RHS·RHA,빗변을 일반 변으로 착각|직각 조건 누락|직각삼각형의 합동 조건 RHS·RHA,1,3,"4.png, 5.png",M2_GEOM_C009,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_010,5,2-2 도형의 성질,삼각형의 성질,정삼각형,정삼각형의 성질,60° 성질 누락|정삼각형과 이등변삼각형 포함 관계 혼동|정삼각형의 성질,1,3,5.png,M2_GEOM_C010,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_011,5|6,2-2 도형의 성질,삼각형의 외심,수직이등분선,선분의 수직이등분선과 거리,수직 조건만 보고 거리 같음 사용|중점 조건 누락|선분의 수직이등분선과 거리,1,3,"5.png, 6.png",M2_GEOM_C011,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_012,6,2-2 도형의 성질,삼각형의 외심,외심의 뜻,삼각형의 외심과 외접원,외심을 각의 이등분선 교점으로 착각|외접원 중심과 내접원 중심 혼동|삼각형의 외심과 외접원,1,3,6.png,M2_GEOM_C012,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_013,6|7,2-2 도형의 성질,삼각형의 외심,외심 활용,외심을 이용한 길이와 각 계산,반지름 길이 관계 누락|중심각·원주각을 과도하게 사용|외심을 이용한 길이와 각 계산,1,3,"6.png, 7.png",M2_GEOM_C013,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_014,7,2-2 도형의 성질,삼각형의 외심,외심 위치,삼각형의 종류와 외심 위치,직각삼각형 외심을 내부로 판단|둔각삼각형 외심 위치 오류|삼각형의 종류와 외심 위치,1,3,7.png,M2_GEOM_C014,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_015,7|8,2-2 도형의 성질,삼각형의 내심,각의 이등분선,각의 이등분선과 거리,두 꼭짓점까지의 거리로 오해|수직거리 표시 누락|각의 이등분선과 거리,1,3,"7.png, 8.png",M2_GEOM_C015,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_GEOM_RAW_016,8,2-2 도형의 성질,삼각형의 내심,내심의 뜻,삼각형의 내심과 내접원,내심을 수직이등분선 교점으로 착각|내접원 반지름과 변 길이 혼동|삼각형의 내심과 내접원,1,3,8.png,M2_GEOM_C016,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
