raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_detail_count,source_image_range,concept_ids
M2_LE_RAW_001,1,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,미지수가 2개인 일차방정식의 판단,미지수가 2개인 일차방정식의 판단|미지수가 2개인 일차방정식이 되기 위한 조건|미지수가 2개인 일차방정식의 정리,13,1.png,M2_LE_C001|M2_LE_C002
M2_LE_RAW_002,1,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,미지수가 2개인 일차방정식으로 나타내기,미지수가 2개인 일차방정식으로의 표현|문장 조건을 일차방정식으로 나타내기|응용 조건의 식 세우기,14,1.png,M2_LE_C001|M2_LE_C006
M2_LE_RAW_003,2,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,미지수가 2개인 일차방정식의 해,일차방정식의 해의 판단|조건이 주어진 해 찾기|순서쌍을 대입한 검산,12,2.png,M2_LE_C003
M2_LE_RAW_004,2,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,미지수가 자연수인 일차방정식의 해 구하기,미지수가 자연수인 일차방정식의 해 구하기|미지수의 조건이 주어진 경우|해의 개수가 주어진 경우,13,2.png,M2_LE_C004
M2_LE_RAW_005,2,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,해 또는 계수가 문자로 주어질 때,미지수 구하기|해에 대한 조건이 주어진 경우|다른 해 구하기|두 일차방정식이 주어지는 경우,18,2.png,M2_LE_C005
M2_LE_RAW_006,3,2-1 방정식,일차방정식,미지수가 2개인 일차방정식,미지수가 2개인 일차방정식의 활용,미지수가 2개인 일차방정식의 활용|새로운 기호가 주어진 경우|식으로 나타내기 응용,12,3.png,M2_LE_C006
M2_LE_RAW_007,3,2-1 방정식,일차방정식,일차방정식의 성질,일차방정식의 성질,일차방정식의 성질|등식 변형 원리|해를 보존하는 변형,13,3.png,M2_LE_C007
M2_LE_RAW_008,3,2-1 방정식,연립방정식,연립방정식,연립방정식 세우기,연립방정식 세우기|문장 조건에서 두 식 세우기|두 조건을 동시에 만족하는 식,14,3.png,M2_LE_C008
M2_LE_RAW_009,3,2-1 방정식,연립방정식,연립방정식,연립방정식의 해 판단과 해 구하기,연립방정식의 해 판단|연립방정식의 해 구하기|순서쌍 검산,12,3.png,M2_LE_C009
M2_LE_RAW_010,4,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,대입법 풀이,대입법을 이용한 풀이 과정|연립방정식 풀기|연립방정식의 미지수 구하기,13,4.png,M2_LE_C010
M2_LE_RAW_011,4,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,가감법 풀이,가감법을 이용한 풀이 과정|가감법의 이용|가감법으로 미지수 구하기,14,4.png,M2_LE_C011
M2_LE_RAW_012,5,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,해 또는 해에 대한 조건,연립방정식의 해 또는 해의 연산: 대입법 이용|연립방정식의 해 구하기 또는 해의 연산: 가감법 이용|표를 이용한 연립방정식의 계산|지수를 이용한 연립방정식의 계산|한 연립방정식을 이용한 다른 연립방정식의 계산,20,5.png,M2_LE_C010|M2_LE_C011|M2_LE_C015|M2_LE_C016
M2_LE_RAW_013,5,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,문자가 3개인 연립방정식,문자가 3개인 연립방정식|세 식에서 두 문자 소거|세 미지수 해 검산,13,5.png,M2_LE_C010|M2_LE_C011
M2_LE_RAW_014,5,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,괄호가 있는 연립방정식의 풀이,괄호가 있는 연립방정식의 풀이|괄호가 1개인 연립방정식|괄호가 2개인 연립방정식|괄호가 3개 이상인 연립방정식|중괄호가 포함된 연립방정식,22,5.png,M2_LE_C012
M2_LE_RAW_015,6,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,계수가 분수인 연립방정식,계수가 분수인 연립방정식 풀기|분모 제거 후 풀이|응용,12,6.png,M2_LE_C012
M2_LE_RAW_016,6,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,계수가 소수인 연립방정식,계수가 소수인 연립방정식 풀기|같은 해를 가진 연립방정식 고르기|소수 계수의 정수화,13,6.png,M2_LE_C012
M2_LE_RAW_017,6,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,계수가 순환소수인 경우,계수가 순환소수인 연립방정식의 풀이|연립방정식의 해의 연산|순환소수를 분수로 바꾸기,14,6.png,M2_LE_C012
M2_LE_RAW_018,6,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,비례식 포함 연립방정식,비례식을 포함한 연립방정식의 풀이|비례식 정리 후 풀이|해의 연산,12,6.png,M2_LE_C012
M2_LE_RAW_019,6,2-1 방정식,연립방정식,여러 가지 연립방정식의 풀이,분모에 문자가 있는 경우,두 문자에 대한 연립방정식|세 문자에 대한 연립방정식|분모가 0이 되지 않는 조건,13,6.png,M2_LE_C013
