raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_image_range,preservation_status
M2_NE_RAW_001,[1],수와 식,유리수와 순환소수,유리수의 소수 표현,유리수의 분류,"[""유리수의 분류"", ""정수와 정수가 아닌 유리수 구분"", ""유리수 분류 설명의 옳고 그름 판단""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_002,[1],수와 식,유리수와 순환소수,유리수의 소수 표현,소수의 분류(유한소수/무한소수),"[""유한소수와 무한소수의 판단"", ""유한소수와 무한소수의 구분"", ""소수 표현을 보고 분류하기""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_003,[1],수와 식,유리수와 순환소수,유리수의 소수 표현,분수를 유한소수로 나타내기,"[""분수의 소수표현 및 판단"", ""10의 거듭제곱을 이용한 분수의 유한소수 표현"", ""분수를 소수로 고칠 때 유한소수 여부 판단""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_004,[1],수와 식,유리수와 순환소수,유리수의 소수 표현,유한소수로 나타낼 수 있는(없는) 분수,"[""분수의 유한소수 표현 가능 여부"", ""조건을 만족하는 유한소수 표현 가능한 분수 구하기""]",001.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_005,[2],수와 식,유리수와 순환소수,유한소수 조건,B/A×x가 유한소수가 되도록 하는 x의 값 구하기,"[""1/A×x가 유한소수가 되도록 하는 x"", ""B/A×x가 유한소수가 되도록 하는 x"", ""일차방정식의 해가 유한소수가 되도록 하는 미지수 값""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_006,[2],수와 식,유리수와 순환소수,유한소수 조건,B/(A×x)가 유한소수가 되도록 하는 x의 값 구하기,"[""B/x가 유한소수가 되도록 하는 x"", ""B/(A×x)가 유한소수가 되도록 하는 x"", ""y/(A×x)가 유한소수가 되지 않도록 하는 미지수 x,y"", ""여러가지 경우에서 유한소수가 되도록 하는 미지수 값""]",002.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_007,[3],수와 식,유리수와 순환소수,유한소수 조건,유한소수가 되는 x/A를 기약분수로 나타내기,"[""x/A가 유한소수가 될 때 x/A를 기약분수 1/y로 나타내기"", ""x/A가 유한소수가 될 때 x/A를 기약분수 B/y로 나타내기""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_008,[3],수와 식,유리수와 순환소수,유한소수 조건,2개 이상의 분수가 동시에 유한소수가 되도록 하는 미지수의 값,"[""x/A, x/B 모두 유한소수로 나타내어지도록 하는 x"", ""Bx/A, Dx/C 모두 유한소수로 나타내어지도록 하는 x""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_009,[3],수와 식,유리수와 순환소수,순환소수,순환마디,"[""소수의 순환마디 구하기"", ""분수의 순환마디 구하기"", ""나눗셈을 이용한 순환마디 구하기""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_010,[3],수와 식,유리수와 순환소수,순환소수,순환소수의 표현,"[""순환소수의 표현"", ""순환소수의 판별""]",003.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_011,[4],수와 식,유리수와 순환소수,순환소수,분수를 순환소수로 나타내기,"[""분수의 순환소수 표현"", ""순환소수로만 나타낼 수 있는 분수 판별""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_012,[4],수와 식,유리수와 순환소수,순환소수,소수점 아래 n번째 자리의 숫자 구하기,"[""순환소수의 소수점 아래 n번째 숫자 구하기"", ""순환소수의 소수점 아래 여러 개의 숫자 구하기"", ""분수를 소수로 나타낼 때 순환소수의 소수점 아래 n번째 숫자 구하기"", ""분수를 소수로 나타낼 때 순환소수의 소수점 아래 여러 개의 숫자 구하기""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_013,[4],수와 식,유리수와 순환소수,순환소수 조건,순환소수가 되도록 하는 미지수의 값,"[""x/A를 순환소수가 되도록 하는 x"", ""A/x를 순환소수가 되도록 하는 x"", ""A/BX를 순환소수가 되도록 하는 x""]",004.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_014,[5],수와 식,유리수와 순환소수,순환소수의 분수 표현,순환소수를 분수로 나타내기(1) - 10의 거듭제곱 이용,"[""순환소수를 분수로 나타낼 때 가장 편리한 식"", ""순환소수를 분수로 나타내는 과정"", ""순환소수를 분수로 나타내기""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_015,[5],수와 식,유리수와 순환소수,순환소수의 분수 표현,순환소수를 분수로 나타내기(2) - 공식 이용,"[""소수점 아래 모두 순환하는 경우"", ""소수점 아래 일부 순환하는 경우""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_016,[5],수와 식,유리수와 순환소수,순환소수의 분수 표현,순환소수를 분수로 나타내기(3) - 조건제한이 없는 경우,"[""순환소수의 분수 표현"", ""무한한 소수의 합으로 표현한 순환소수"", ""분모가 10의 거듭제곱 꼴인 분수의 합으로 표현한 순환소수"", ""분수 표현의 활용""]",005.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_NE_RAW_017,[6],수와 식,유리수와 순환소수,순환소수의 계산,순환소수를 정수/유한소수로 나타내기,"[""순환소수의 정수 표현"", ""정수 표현 가능한 순환소수 판별""]",006.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
