raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,concept_ids,preservation_status
M2_PROB_RAW_001,1,2-2 확률,경우의 수,기본 경우의 수,한 가지 사건의 경우의 수,모든 경우의 수|숫자가 적힌 물건 중 1개를 뽑을 때의 경우의 수|주사위를 던질 때 사건이 일어나는 경우의 수|전체에서 하나를 뽑는 경우의 수,5,27,1.png,M2_PROB_C001|M2_PROB_C002,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_002,1,2-2 확률,경우의 수,순서쌍·표로 세기,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우,숫자가 적힌 물건을 뽑는 경우|주사위를 던지는 경우|같은 종류의 서로 다른 것을 시행한 경우의 수,4,22,1.png,M2_PROB_C003|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_003,2,2-2 확률,경우의 수,나뭇가지 그림,여러 가지 경우의 수(2) 나뭇가지 모양 그림을 이용하여 푸는 경우,같은 종류의 서로 다른 것을 시행한 경우의 수|여러 가지 경우의 수,2,6,2.png,M2_PROB_C003|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_004,2,2-2 확률,경우의 수,돈 지불,돈을 지불하는 경우의 수,지불하는 모든 경우의 수|주어진 금액을 지불하는 경우의 수,2,6,2.png,M2_PROB_C006|M2_PROB_C021,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_005,2,2-2 확률,경우의 수,합의 법칙,경우의 수의 합(1) 숫자를 선택하거나 주사위를 던지는 경우,공통인 부분이 없는 경우|공통인 부분이 있는 경우,2,20,2.png,M2_PROB_C004|M2_PROB_C024,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_006,2,2-2 확률,경우의 수,합의 법칙,경우의 수의 합(2) 두 지점을 이동하는 교통수단이나 길을 선택하는 경우,두 지점의 이동,1,3,2.png,M2_PROB_C004|M2_PROB_C007,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_007,2,2-2 확률,경우의 수,합의 법칙,경우의 수의 합(3) 물건 또는 사람을 선택하는 경우,전체에서 하나를 선택하는 경우|조건에 맞는 상황이 나오는 경우,2,8,2.png,M2_PROB_C004|M2_PROB_C008,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_008,3,2-2 확률,경우의 수,곱의 법칙,경우의 수의 곱(1) 서로 다른 사건이 동시에 일어나는 경우의 수,일어날 수 있는 모든 경우의 수|주어진 상황이 일어나는 경우의 수,2,16,3.png,M2_PROB_C005|M2_PROB_C003,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_009,3,2-2 확률,경우의 수,곱의 법칙,경우의 수의 곱(2) 교통수단이나 길을 선택하는 경우,두 지점을 이동하는 경우의 수|서로 다른 지점으로 이동하는 경우의 수|두 지점을 왕복하는 경우의 수,3,13,3.png,M2_PROB_C005|M2_PROB_C007,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_010,3,2-2 확률,경우의 수,곱의 법칙,경우의 수의 곱(3) 물건을 선택하는 경우,모든 종류를 하나씩 선택하는 경우의 수|주어진 상황이 일어나는 경우의 수,2,9,3.png,M2_PROB_C005|M2_PROB_C008,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_011,3,2-2 확률,경우의 수,곱의 법칙,경우의 수의 곱(4) 선택하는 경우의 수가 같은 경우,중복되는 경우를 포함한 경우|중복되는 경우를 제외한 경우,2,11,3.png,M2_PROB_C005|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_012,4,2-2 확률,경우의 수,색칠,색칠하는 경우의 수,서로 다른 색을 사용하여 색칠하는 경우|인접하는 칸을 다른 색으로 색칠하는 경우|색칠하는 경우의 활용,3,13,4.png,M2_PROB_C009|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_013,4,2-2 확률,경우의 수,일렬 배열,일렬로 세우는 경우의 수(1),전체를 일렬로 세우는 경우|일부를 뽑아 일렬로 세우는 경우,2,9,4.png,M2_PROB_C010|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_014,4,2-2 확률,경우의 수,일렬 배열,일렬로 세우는 경우의 수(2) 특정한 사람의 자리를 고정하는 경우,전체 중 하나의 위치를 특정하는 경우|전체 중 몇몇의 위치를 특정하는 경우|전체에서 일부를 뽑아 일렬로 세우는 경우,3,12,4.png,M2_PROB_C011|M2_PROB_C010,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_015,4,2-2 확률,경우의 수,일렬 배열,일렬로 세우는 경우의 수(3) 이웃하는 경우,전체 중 일부를 이웃하게 세우는 경우|전체 중 일부의 순서나 위치를 특정하고 다른 일부를 이웃하게 세우는 경우,2,11,4.png,M2_PROB_C012|M2_PROB_C010,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_016,4,2-2 확률,경우의 수,일렬 배열,일렬로 세우는 경우의 수(4) 이웃하지 않는 경우,모두 또는 일부가 이웃하지 않도록 세우는 경우,1,7,4.png,M2_PROB_C013|M2_PROB_C010,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_017,5,2-2 확률,경우의 수,자연수 만들기,자연수의 개수(1) 0을 포함하지 않는 경우,주어진 숫자로 만들 수 있는 두 자리 이상의 자연수의 개수|주어진 조건을 만족하는 자연수의 개수,2,9,5.png,M2_PROB_C014|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_018,5,2-2 확률,경우의 수,자연수 만들기,자연수의 개수(2) 0을 포함하는 경우,주어진 숫자로 만들 수 있는 두 자리 이상의 자연수의 개수|주어진 조건을 만족하는 자연수의 개수,2,7,5.png,M2_PROB_C014|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_019,5,2-2 확률,경우의 수,순서와 나열,사전식으로 나열하는 경우,조건을 만족하는 자연수|차례가 주어진 경우,2,10,5.png,M2_PROB_C015|M2_PROB_C010,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_020,5,2-2 확률,경우의 수,대표 뽑기,대표를 뽑는 경우의 수(1) 자격이 다른 경우,전체에서 대표를 뽑는 경우|여러 집단 중 대표를 뽑는 경우,2,8,5.png,M2_PROB_C016|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_021,6,2-2 확률,경우의 수,대표 뽑기,대표를 뽑는 경우의 수(2) 자격이 같은 경우,전체에서 대표를 뽑는 경우|여러 집단 중 대표를 뽑는 경우,2,20,6.png,M2_PROB_C016|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_022,6,2-2 확률,경우의 수,도형 개수,만들 수 있는 선분의 개수,어느 세 점도 한 직선 위에 있지 않을 때 두 점을 이어 만들 수 있는 선분의 개수|한 직선 위에 있는 점이 주어졌을 때 두 점을 이어 만들 수 있는 선분의 개수,2,5,6.png,M2_PROB_C018|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_023,6,2-2 확률,경우의 수,도형 개수,만들 수 있는 삼각형의 개수,주어진 길이로 만들 수 있는 삼각형의 개수|원 위에 점이 주어진 경우|직선 위에 점이 주어진 경우|도형 위에 점이 주어진 경우,4,11,6.png,M2_PROB_C019|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_024,6,2-2 확률,경우의 수,도형 개수,만들 수 있는 사각형의 개수,도형 또는 직선이 주어진 경우,1,3,6.png,M2_PROB_C019|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_025,6,2-2 확률,경우의 수,경로,최단 경로로 가는 경우의 수,최단 경로 구하기|최단 경로의 활용,2,6,6.png,M2_PROB_C020|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_026,7,2-2 확률,경우의 수,방정식·부등식,방정식 또는 부등식에서의 경우의 수,방정식을 만족하는 경우의 수|부등식을 만족하는 경우의 수,2,11,7.png,M2_PROB_C021|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_027,7,2-2 확률,경우의 수,규칙,정해진 규칙에 따라 주어진 결과가 나오는 경우의 수,문제를 푸는 경우|규칙이 주어진 경우,2,6,7.png,M2_PROB_C022|M2_PROB_C005,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_028,7,2-2 확률,경우의 수,대진표,대진표를 정하는 경우의 수,리그전으로 경기하는 경우|토너먼트로 경기하는 경우|리그전과 토너먼트로 경기하는 경우,3,7,7.png,M2_PROB_C022|M2_PROB_C017,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_029,8,2-2 확률,확률의 뜻과 성질,확률의 기본 계산,간단한 확률 구하기,숫자 또는 문자를 선택하는 경우|주사위를 던지는 경우|동전을 던지는 경우|물건 또는 사람을 선택하는 경우|여러 가지 확률 구하기,5,43,8.png,M2_PROB_C023|M2_PROB_C024|M2_PROB_C025,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_030,8,2-2 확률,확률의 뜻과 성질,배열 확률,확률 구하기(1) 일렬로 세울 때 확률 구하기,특정 위치에 세우는 경우|이웃하거나 이웃하지 않은 경우,2,18,8.png,M2_PROB_C026|M2_PROB_C010|M2_PROB_C012|M2_PROB_C013,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M2_PROB_RAW_031,8,2-2 확률,확률의 뜻과 성질,조건 역산,확률 구하기(2) 주어진 확률을 만족하는 미정계수 구하기,개수가 주어지지 않은 물건의 개수 구하기|주어진 조건의 확률 구하기,2,7,8.png,M2_PROB_C027|M2_PROB_C023,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
