raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,preservation_status
M3_QUAD_RAW_001,[1],3-1 이차방정식,이차방정식의 풀이,이차방정식과 그 해,이차방정식,"[""이차방정식"", ""이차방정식의 조건""]",2,9,1.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_002,[1],3-1 이차방정식,이차방정식의 풀이,이차방정식과 그 해,이차방정식의 해,"[""주어진 해를 갖는 이차방정식"", ""x값의 범위가 주어진 경우""]",2,10,1.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_003,[2],3-1 이차방정식,이차방정식의 풀이,이차방정식과 그 해,"이차방정식의 한 근이 주어졌을 때, 미지수의 값 구하기","[""한 근이 주어진 경우의 미지수의 값 구하기"", ""한 근이 주어진 경우의 두 미지수의 값 구하기"", ""두 근이 주어진 경우의 미지수의 값 구하기""]",3,11,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_004,[2],3-1 이차방정식,이차방정식의 풀이,이차방정식과 그 해,"이차방정식의 한 근이 문자로 주어졌을 때, 식의 값 구하기","[""한 근이 주어진 경우의 식의 값 구하기"", ""두 근이 주어진 경우의 식의 값 구하기""]",2,17,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_005,[2],3-1 이차방정식,이차방정식의 풀이,인수분해를 이용한 이차방정식의 풀이,AB=0의 성질을 이용한 이차방정식의 풀이,"[""AB=0인 경우"", ""인수분해가 된 이차방정식의 해""]",2,15,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_006,[3],3-1 이차방정식,이차방정식의 풀이,인수분해를 이용한 이차방정식의 풀이,인수분해를 이용한 이차방정식의 풀이,"[""이차방정식의 풀이"", ""이차방정식의 해의 연산"", ""이차방정식의 응용""]",3,52,3.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_007,[3],3-1 이차방정식,이차방정식의 풀이,인수분해를 이용한 이차방정식의 풀이,"이차방정식의 한 근이 주어졌을 때, 다른 한 근 구하기","[""한 근이 주어진 경우"", ""한 근이 다른 이차방정식의 근인 경우""]",2,15,3.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_008,[3],3-1 이차방정식,이차방정식의 풀이,인수분해를 이용한 이차방정식의 풀이,이차방정식의 근의 활용,"[""주어진 수가 근이 되도록 하는 경우"", ""두 근의 응용"", ""이차방정식의 응용"", ""한 근이 다른 이차방정식의 근인 경우""]",4,20,3.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_009,[4],3-1 이차방정식,이차방정식의 풀이,이차방정식의 중근,이차방정식의 중근,"[""이차방정식의 풀이"", ""이차방정식의 중근 판별""]",2,11,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_010,[4],3-1 이차방정식,이차방정식의 풀이,이차방정식의 중근,이차방정식이 중근을 가질 조건,"[""중근을 가지는 이차방정식의 미지수"", ""중근을 갖는 이차방정식의 미지수를 포함한 다른 방정식""]",2,25,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_011,[4],3-1 이차방정식,이차방정식의 풀이,이차방정식의 중근,두 이차방정식의 공통인 근,"[""공통인 근 구하기"", ""공통인 근을 가지는 경우"", ""공통인 근이 주어진 경우""]",3,22,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_012,[4],3-1 이차방정식,이차방정식의 풀이,제곱근을 이용한 이차방정식의 풀이,제곱근을 이용한 이차방정식의 풀이,"[""이차방정식의 풀이"", ""근이 주어진 경우""]",2,24,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_013,[5],3-1 이차방정식,이차방정식의 풀이,제곱근을 이용한 이차방정식의 풀이,이차방정식 a(x+p)²=q가 근을 가질 조건,"[""근을 가질 조건"", ""서로 다른 두 근을 가질 조건"", ""중근을 가질 조건"", ""특정한 근을 가질 조건""]",4,21,5.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_014,[5],3-1 이차방정식,이차방정식의 풀이,완전제곱식을 이용한 이차방정식의 풀이,완전제곱식의 꼴로 고치기,"[""일반형의 완전제곱꼴 변형"", ""특수한 경우의 완전제곱꼴 변형""]",2,21,5.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_015,[5],3-1 이차방정식,이차방정식의 풀이,완전제곱식을 이용한 이차방정식의 풀이,완전제곱식을 이용한 이차방정식의 풀이,"[""이차방정식의 풀이"", ""근이 주어진 경우"", ""이차방정식의 활용""]",3,34,5.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_016,[6],3-1 이차방정식,이차방정식의 풀이,완전제곱식을 이용한 이차방정식의 풀이,근의 개수에 따른 완전제곱식의 상수의 조건,"[""해를 갖도록 하는 조건"", ""특정한 해를 갖도록 하는 조건""]",2,3,6.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_017,[6],3-1 이차방정식,이차방정식의 풀이,이차방정식의 근의 공식,이차방정식의 근의 공식,"[""일반형 이차방정식의 풀이"", ""다양한 형태의 이차방정식의 풀이"", ""근의 응용""]",3,41,6.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_018,[6],3-1 이차방정식,이차방정식의 풀이,이차방정식의 근의 공식,근의 공식을 이용하여 이차방정식의 미지수의 값 구하기,"[""근이 주어진 경우"", ""근의 일부가 주어진 경우"", ""잘못 구한 근이 주어진 경우""]",3,12,6.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_019,[6],3-1 이차방정식,이차방정식의 풀이,이차방정식의 근의 공식,근의 공식을 이용한 이차방정식의 풀이: 정수근을 가지는 경우,"[""유리수근을 가지는 경우""]",1,9,6.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_020,[7],3-1 이차방정식,이차방정식의 풀이,복잡한 이차방정식의 풀이,복잡한 이차방정식의 풀이(1) 괄호가 있는 경우,"[""인수분해꼴"", ""완전제곱꼴이 포함된 경우""]",2,29,7.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_021,[7],3-1 이차방정식,이차방정식의 풀이,복잡한 이차방정식의 풀이,복잡한 이차방정식의 풀이(2) 계수가 분수인 경우,"[""계수가 분수인 이차방정식의 풀이"", ""복잡한 형태의 이차방정식의 풀이"", ""근의 응용""]",3,33,7.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_022,[7],3-1 이차방정식,이차방정식의 풀이,복잡한 이차방정식의 풀이,복잡한 이차방정식의 풀이(3) 계수가 소수인 경우,"[""계수가 소수인 이차방정식의 풀이"", ""복잡한 형태의 이차방정식의 풀이"", ""근의 응용""]",3,33,7.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_QUAD_RAW_023,[7],3-1 이차방정식,이차방정식의 풀이,복잡한 이차방정식의 풀이,"복잡한 이차방정식의 풀이(4) 절댓값, 가우스 기호 등이 포함된 경우","[""가우스가 포함된 이차방정식"", ""x²의 제곱근, 절댓값이 포함된 이차방정식""]",2,13,7.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
