raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,source_declared_topic_count,source_declared_detail_count,source_image_range,preservation_status
M3_REAL_RAW_001,[1],3-1 실수와 그 계산,제곱근과 실수,제곱근의 뜻과 성질,제곱근의 뜻과 표현,"[""n의 제곱근"", ""근호를 사용하여 n의 제곱근 나타내기"", ""x²=n을 만족시키는 x의 값"", ""제곱근을 구할 수 없는 수"", ""관계식 구하기""]",5,31,1.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_002,[2],3-1 실수와 그 계산,제곱근과 실수,제곱근의 이해,제곱근의 이해,"[""n의 제곱근의 이해"", ""미지수의 제곱근의 이해""]",2,14,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_003,[2],3-1 실수와 그 계산,제곱근과 실수,제곱근 구하기,제곱근 구하기,"[""n>0일 때 n² 또는 (-n)²의 제곱근"", ""n<0일 때 n²의 제곱근"", ""두 수의 제곱근의 연산"", ""제곱근 n과 m의 제곱근의 연산""]",4,37,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_004,[2],3-1 실수와 그 계산,제곱근과 실수,근호 없는 표현,근호를 사용하지 않고 수 나타내기,"[""근호를 사용하지 않고 수 나타내기"", ""근호를 사용하지 않고 나타낼 수 있는 수의 판별""]",2,10,2.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_005,[3],3-1 실수와 그 계산,제곱근과 실수,도형 길이,제곱근을 이용하여 정사각형의 한 변의 길이 구하기,"[""넓이가 주어진 경우"", ""두 도형의 넓이의 합과 넓이가 같은 경우"", ""넓이의 관계가 주어진 경우"", ""한 정사각형을 나누거나 자른 경우""]",4,14,3.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_006,[3],3-1 실수와 그 계산,제곱근과 실수,도형 길이,제곱근을 이용하여 직각삼각형의 한 변의 길이 구하기,"[""직각삼각형의 변의 길이 구하기"", ""모눈 위의 직각삼각형의 변의 길이 구하기"", ""직각삼각형의 변의 길이를 이용한 도형의 넓이 구하기"", ""이웃한 직각삼각형의 변의 길이 구하기"", ""직각삼각형의 변의 길이의 활용""]",5,16,3.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_007,[4],3-1 실수와 그 계산,제곱근과 실수,근호 없는 표현,근호를 사용하지 않고 제곱근 나타내기,"[""근호를 사용하지 않고 제곱근 나타내기"", ""근호를 사용하지 않고 제곱근을 나타낼 수 있는 수의 판별""]",2,7,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_008,[4],3-1 실수와 그 계산,제곱근과 실수,제곱근의 성질,제곱근의 성질,"[""제곱근의 성질을 이용하여 수 구하기"", ""제곱근의 성질을 이용하여 구한 수의 비교"", ""근호를 사용하지 않고 나타낼 수 있는 수의 판별"", ""제곱근의 성질의 활용""]",4,15,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_009,[4],3-1 실수와 그 계산,제곱근과 실수,제곱근의 성질,제곱근의 성질을 이용하여 제곱근 구하기,"[""제곱근의 성질을 이용하여 제곱근 구하기"", ""제곱근의 성질을 이용하여 제곱근에 대한 이해"", ""제곱근이 중첩된 식의 계산""]",3,15,4.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
M3_REAL_RAW_010,[5],3-1 실수와 그 계산,제곱근과 실수,제곱근의 성질 계산,제곱근의 성질을 이용한 계산,"[""제곱근의 성질을 이용한 덧셈과 뺄셈"", ""제곱근의 성질을 이용한 곱셈과 나눗셈"", ""제곱근의 성질을 이용한 혼합 계산"", ""제곱근의 성질을 이용한 계산 종합"", ""제곱근의 성질을 이용한 계산의 활용""]",5,28,5.png,source_images_preserved_by_user; curated_summary_not_full_leaf_ocr
