raw_section_id,chapter,domain,subdomain,task_group,concept_ids,status
M3_TRIG_RAW_001,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,삼각비의 값,M3_TRIG_C001,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_002,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,삼각비가 주어진 경우의 삼각형의 변의 길이,M3_TRIG_C002,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_003,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,한 삼각비가 주어진 경우의 다른 삼각비의 값,M3_TRIG_C003,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_004,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,직각삼각형의 닮음과 삼각비,M3_TRIG_C004,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_005,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,직선의 방정식과 삼각비의 값,M3_TRIG_C005,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_006,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,평면도형에서의 삼각비의 값,M3_TRIG_C006,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_007,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,입체도형에서의 삼각비의 값,M3_TRIG_C007,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_008,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,원에서의 삼각비의 값,M3_TRIG_C008,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_009,중3 삼각비,삼각비의 뜻과 기본 성질,직각삼각형과 삼각비,"특수한 각(30˚, 45˚, 60˚)의 삼각비의 값",M3_TRIG_C009,canonical structure restored; copyrighted textbook/problem text not stored
M3_TRIG_RAW_010,중3 삼각비,특수각·예각의 삼각비,각·표·좌표와 삼각비,특수한 각의 삼각비를 이용하여 각의 크기 구하기,M3_TRIG_C010,canonical structure restored; copyrighted textbook/problem text not stored
