item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_GEOM_150_S07_Q001,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,001,1,42,6031365107dcb1326aa5d2a1e20fa8c12bc2f0d6beb66b441fe83c3a44fabe7d,28f951929ac3c4e3f3eec83c9bdc5e80e74897271b794ef931e2a861acec7150,이등변삼각형의 성질(2) 꼭지각의 이등분선은 밑변을 수직이등분한다,choice:3,single_choice,M2_GEOM_PT023,,M2_GEOM_C007,,,core,84,low_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q001,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q002,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,002,1,42,c518f243cb261150cab45fb920926a64347082bae4e84b91f9d68836db0f2391,28f951929ac3c4e3f3eec83c9bdc5e80e74897271b794ef931e2a861acec7150,이등변삼각형의 성질(2) 꼭지각의 이등분선은 밑변을 수직이등분한다,choice:4,single_choice,M2_GEOM_PT023,,M2_GEOM_C007,,,core,90,low_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q002,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q003,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,003,1,42,8b5482e53d0a71e295cf889f3da33118caf5b1564f83e48c6ed2a976b97ac921,990ef7f6e685d255a6ed366ef26c315d5628c7b0a69b0e50aae1c041250cd877,이등변삼각형의 성질의 활용(1) 각의 크기,42,integer,M2_GEOM_PT023,,M2_GEOM_C007,,,core,72,medium_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q003,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q004,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,004,2,42,4f31fda0f593c016be2a4d18592a6d012024580f7614a49043f03dedff2aa27e,5061740ad7649448238fcce5657ce8bc65ba574fc1d66faafc00f734d2c82a47,이등변삼각형의 성질의 활용(1) 각의 크기,58°,angle,M2_GEOM_PT023,,M2_GEOM_C007,,,core,62,medium_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q004,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q005,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,005,2,42,b6008a2da12c54cbc93f18009f395fe264b00d89c0b2abcb1380038ca2267128,5061740ad7649448238fcce5657ce8bc65ba574fc1d66faafc00f734d2c82a47,이등변삼각형의 성질의 활용(1) 각의 크기,16°,angle,M2_GEOM_PT023,,M2_GEOM_C007,,,core,83,low_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q005,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q006,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,006,2,43,42f8440372ebab23614420bcd9d1115493ec1ab28960af1d62718a89d2c3c5f7,3b93f7e6fdba48be4f729337678f0f3a2fb71fb0edbbb683ae96db51b5ee3ed4,이등변삼각형의 성질의 활용(1) 각의 크기,choice:5,single_choice,M2_GEOM_PT023,,M2_GEOM_C007,,,core,75,medium_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q006,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q007,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,007,2,43,1177a2bba0e30114e6bf274c88bce8514348cfab437690ff891476447b00ccd5,17a5c3a94aa6e98060a6dee82cfaa8ee90f6d14273cfe9be5348f9ea2038fbbe,이등변삼각형의 성질의 활용(2) 이웃한 이등변삼각형,choice:2,single_choice,M2_GEOM_PT023,,M2_GEOM_C007,,,core,83,low_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q007,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q008,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,008,3,43,0e9004b4592bb89361dfae3c596c6dec13ab9799fe8d890721163d42673c7b2e,80ad95ffc73f68ca6996e445657b1578e4027fa44907437bc7834b3807740a4f,이등변삼각형의 성질의 활용(2) 이웃한 이등변삼각형,80,integer,M2_GEOM_PT023,,M2_GEOM_C007,,,core,88,low_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q008,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q009,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,009,3,43,b7d677154e42455c9dab1e6a548f3a09a24f0925bf6191edbdfa6e5d440f9f01,17a5c3a94aa6e98060a6dee82cfaa8ee90f6d14273cfe9be5348f9ea2038fbbe,이등변삼각형의 성질의 활용(2) 이웃한 이등변삼각형,choice:2,single_choice,M2_GEOM_PT023,,M2_GEOM_C007,,,core,75,medium_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q009,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_GEOM_150_S07_Q010,SRC_M2_GEOM_150_WORKSHEET_SET07_20260710,010,3,44,34350858832391c36525271e3b54f6b588987ac997f592d6ad3cab848bc86b8f,82cf731d01d66be10ece47fa815283f58ba698a7b9565e36b59155c881c6086f,이등변삼각형의 성질의 활용(2) 이웃한 이등변삼각형,26°,angle,M2_GEOM_PT023,,M2_GEOM_C007,,,core,66,medium_observed_challenge,M2_GEOM_FAM_M2_GEOM_PT023,variant,triangle_geometry_diagram,4,"같은 두 변과 두 밑각을 먼저 표시하고, 꼭지각의 이등분선이면 수직·중점 조건을 함께 기록한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,angle_relation|parallel_lines|angle_chasing|triangle_congruence|isosceles_triangle|base_angle|vertex_angle_bisector,M2_GEOM_PT023__M2GEOM150S07_Q010,M2_GEOM_PT023::M2_GEOM_SET07,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
