item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_LE_150_S08_Q001,SRC_M2_LE_150_WORKSHEET_SET08_20260710,001,1,23,e52c75685e0ec7fc7030ccbe29734af0b21b218287e509d218351aa47b3e544f,3a11f1ae9e84e99eac0ac7ced93692220020c2e9baf1946c5c3fc98a0e927044,미지수가 자연수인 일차방정식의 해 구하기,choice:4,single_choice,M2_LE_PT011,,M2_LE_C004,,,core,87,low_observed_challenge,M2_LE_FAM_M2_LE_PT011,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT011__M2LE150S08_Q001,M2_LE_PT011::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q002,SRC_M2_LE_150_WORKSHEET_SET08_20260710,002,1,23,176a85da6b76078310369d7eff86e2790b52603da8ea92f469e94901b97e0efc,3a11f1ae9e84e99eac0ac7ced93692220020c2e9baf1946c5c3fc98a0e927044,미지수가 자연수인 일차방정식의 해 구하기,choice:1,single_choice,M2_LE_PT011,,M2_LE_C004,,,core,78,medium_observed_challenge,M2_LE_FAM_M2_LE_PT011,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT011__M2LE150S08_Q002,M2_LE_PT011::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q003,SRC_M2_LE_150_WORKSHEET_SET08_20260710,003,1,23,0d3e81e398f1d8b0d56bd82267e07b4d927e4967b1716cf6f2aeb4e1e79c1977,8469c61952578f4630152dae98f51db1898c99b4c7e0b78f56f0eca5f6e84257,미지수가 자연수인 일차방정식의 해 구하기,21,integer,M2_LE_PT011,,M2_LE_C004,,,core,59,high_observed_challenge,M2_LE_FAM_M2_LE_PT011,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT011__M2LE150S08_Q003,M2_LE_PT011::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q004,SRC_M2_LE_150_WORKSHEET_SET08_20260710,004,1,23,29e14b4b06f73505da9503a3c6adcb488a109569ea62be26bab4bd081129b2c1,16cc06a86dbbccd6e58751b9d61a4a33af010263bd0f3b6858af89fc3665ff64,미지수가 자연수인 일차방정식의 해 구하기,choice:5,single_choice,M2_LE_PT012,,M2_LE_C004,,,advanced,71,medium_observed_challenge,M2_LE_FAM_M2_LE_PT012,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT012__M2LE150S08_Q004,M2_LE_PT012::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q005,SRC_M2_LE_150_WORKSHEET_SET08_20260710,005,1,23,67e08500a415cb3d49e5b5928d281841697633a270f749a3ca3040344be2f96f,b575c48dfa8adffb73d333bfc67865cab9cfb907dd211d7f285b6e131b80f983,일차방정식의 해 또는 계수가 문자로 주어질 때,choice:1,single_choice,M2_LE_PT015,,M2_LE_C005,,,advanced,77,medium_observed_challenge,M2_LE_FAM_M2_LE_PT015,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT015__M2LE150S08_Q005,M2_LE_PT015::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q006,SRC_M2_LE_150_WORKSHEET_SET08_20260710,006,1,23,b037e601422cbdea81c065be7baff73968c117ec22143096ab95229aac790c4c,aa2d5c59a4baf7495b29c2eb2e50f82163f750d0c4de04af9bf5ac33b61c1fbc,일차방정식의 해 또는 계수가 문자로 주어질 때,5,integer,M2_LE_PT015,,M2_LE_C005,,,advanced,86,low_observed_challenge,M2_LE_FAM_M2_LE_PT015,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT015__M2LE150S08_Q006,M2_LE_PT015::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q007,SRC_M2_LE_150_WORKSHEET_SET08_20260710,007,1,24,e25bded7e12605b06379de12d0a83135a2fcbc3cbedcfe877c89c4c4aea15552,b575c48dfa8adffb73d333bfc67865cab9cfb907dd211d7f285b6e131b80f983,일차방정식의 해 또는 계수가 문자로 주어질 때,choice:1,single_choice,M2_LE_PT015,,M2_LE_C005,,,advanced,90,low_observed_challenge,M2_LE_FAM_M2_LE_PT015,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT015__M2LE150S08_Q007,M2_LE_PT015::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q008,SRC_M2_LE_150_WORKSHEET_SET08_20260710,008,2,24,ddae766fc2d6b4f6461ffddc4780a6db7e566053a4f7bb814e60c50ffc22f5b2,23d53f0ddfe306981fc105f3209e8fb51ecb72e85365c50286ca0ccaa609ab1d,일차방정식의 해 또는 계수가 문자로 주어질 때,choice:4,single_choice,M2_LE_PT015,,M2_LE_C005,,,advanced,87,low_observed_challenge,M2_LE_FAM_M2_LE_PT015,variant,table_or_diagram,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT015__M2LE150S08_Q008,M2_LE_PT015::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q009,SRC_M2_LE_150_WORKSHEET_SET08_20260710,009,2,24,d550f98bb866c8263199c034c1fbfba20f03ce028f74c28f1170dd78753ecfc3,fd287396f56cc15dd660cc4d8a14d12f6634ed380469125cbaaeb2608adde178,일차방정식의 해 또는 계수가 문자로 주어질 때,choice:5,single_choice,M2_LE_PT014,,M2_LE_C005,,,core,85,low_observed_challenge,M2_LE_FAM_M2_LE_PT014,variant,word_condition,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT014__M2LE150S08_Q009,M2_LE_PT014::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LE_150_S08_Q010,SRC_M2_LE_150_WORKSHEET_SET08_20260710,010,2,24,26a653c2e78e480e48b1c6c02bae93ff39427803412f42469bda06cd3b59c602,185f8240142bcc79e35e566d24accfe3138be44b62026d1ced9e76bb5e985321,연립방정식의 풀이,choice:4,single_choice,M2_LE_PT034,,M2_LE_C010|M2_LE_C011|M2_LE_C015|M2_LE_C016,,,core,84,low_observed_challenge,M2_LE_FAM_M2_LE_PT034,variant,symbolic_equation,4,두 식을 표준형으로 정리한 뒤 소거할 문자를 정하고 마지막에 원래 식으로 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,equation_normalization_error|elimination_arithmetic_error|verification_missing,M2_LE_PT034__M2LE150S08_Q010,M2_LE_PT034::M2_LE_150_SET08,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
