item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_LF_50_S06_Q001,SRC_M2_LF_50_WORKSHEET_SET06_20260710,001,1,15,8553cb7855818cf68db361016bb7aeb4f6207c51f4ff8a31a1413d4d498dfad7,cfc7f1ee203b5bc26b6f63d2948b35609fa8e4b5ceab0a45a4dcca6bdc22faab,함수의 뜻,16,integer,M2_LF_PT004,,M2_FUNC_C001,,,advanced,47,high_observed_challenge,M2_LF_FAM_M2_LF_PT004,variant,mapping_relation,3,각 x값에 정확히 하나의 y값이 대응하는지부터 확인하고 가능한 대응을 체계적으로 센다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,function_definition|mapping_relation|domain_range,M2_LF_PT004__M2LF50S06_Q001,M2_LF_PT004::M2_LF_CROSSSET_01_02_04_05_06,M2_LF_50_S01_Q001,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q002,SRC_M2_LF_50_WORKSHEET_SET06_20260710,002,1,15,7b14ea7a0575a41258f41718ce06d07ae1e2ad3c779330276283f1c176225d77,6b1eda8b1272a4429e10d9f08a50e17310078184a162fa8a294b38b08349efdf,함수,choice:2,single_choice,M2_LF_PT001,M2_LF_PT003,M2_FUNC_C001,,,basic,75,medium_observed_challenge,M2_LF_FAM_M2_LF_PT001,variant,word_relationship,1,각 상황에서 x 하나가 정해질 때 y가 정확히 하나로 결정되는지 확인한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,function_definition|mapping_relation|domain_range,M2_LF_PT001__M2LF50S06_Q002,M2_LF_PT001::M2_LF_CROSSSET_03_04_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q003,SRC_M2_LF_50_WORKSHEET_SET06_20260710,003,1,15,e2ef1b3186da0b7b0610301cd50a1baeb3d2ab02083303d992d4c3dce5f516e3,7a36692dc146740df19886f4ab066f19b676db4a30ec4a26c45d604d4194700e,함숫값,choice:4,single_choice,M2_LF_PT016,,M2_FUNC_C003,,,standard,89,low_observed_challenge,M2_LF_FAM_M2_LF_PT016,variant,symbolic_function,2,입력값과 함수 조건을 먼저 해석한 뒤 괄호를 사용해 대입하고 계산 결과를 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,function_value|substitution|sign_error,M2_LF_PT016__M2LF50S06_Q003,M2_LF_PT016::M2_LF_CROSSSET_01_02_03_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q004,SRC_M2_LF_50_WORKSHEET_SET06_20260710,004,1,15,d457c4620616311d4ae0fdb1282a608dd60095cba8511cf39c517b0cbed6d5cc,76c5c16350955c139098174a74c178c4bf702fea89c781851fdabb5d7ca961a5,f(x)=(x에 대한 조건)꼴인 함수의 함숫값,choice:5,single_choice,M2_LF_PT013,,M2_FUNC_C003,,,advanced,84,low_observed_challenge,M2_LF_FAM_M2_LF_PT013,variant,rule_based_function,2,함수의 정의 규칙을 먼저 적용해 각 입력의 함숫값을 구한 뒤 요구된 연산을 수행한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,function_value|substitution|sign_error,M2_LF_PT013__M2LF50S06_Q004,M2_LF_PT013::M2_LF_CROSSSET_01_02_03_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q005,SRC_M2_LF_50_WORKSHEET_SET06_20260710,005,2,15,55390dc1444620eb988a75896e3d21bacc4fe82a01021af288698754328e5929,f1ef904210ca2dc40f6ea83d3c0ba39a4eed955859bde191345a9b4ada7ae864,일차함수,choice:3,single_choice,M2_LF_PT024,M2_LF_PT103,M2_FUNC_C005|M2_FUNC_C006,,,advanced,69,medium_observed_challenge,M2_LF_FAM_M2_LF_PT024,variant,word_problem,3,"상황을 관계식으로 나타내고 y=ax+b 꼴인지, x의 계수가 0이 아닌지, 각 문장의 진위를 확인한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,linear_function_definition|a_not_zero|degree_check,M2_LF_PT024__M2LF50S06_Q005,M2_LF_PT024::M2_LF_CROSSSET_03_04_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q006,SRC_M2_LF_50_WORKSHEET_SET06_20260710,006,2,15,94d9cadc0b33fce3e1e5f6a8d9dfbfe86f3b0e3d1d8a3c45f659b9a88e980072,c9d88cf654b1be8e98fc30b85b7a0f92883c8e0b979cbfdf3ca5970b8eefbeb0,일차함수가 될 조건,choice:3,single_choice,M2_LF_PT022,M2_LF_PT024,M2_FUNC_C005|M2_FUNC_C006,,,standard,81,low_observed_challenge,M2_LF_FAM_M2_LF_PT022,variant,symbolic_equation,3,식을 y=ax+b 꼴로 정리한 뒤 x의 계수가 0이 되지 않는 조건을 확인한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,linear_function_definition|a_not_zero|degree_check,M2_LF_PT022__M2LF50S06_Q006,M2_LF_PT022::M2_LF_CROSSSET_03_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q007,SRC_M2_LF_50_WORKSHEET_SET06_20260710,007,2,15,4ee25faa720900246e47faa0c1f947e3d652ae68cc5b3713dfc39a31ddad9af2,3ab3156b85bd5c31816e5facd254740455b1ebc94769ab1ac76a423c5f3dd95f,일차함수의 함숫값,2,integer,M2_LF_PT020,M2_LF_PT025,M2_FUNC_C004,,,standard,80,low_observed_challenge,M2_LF_FAM_M2_LF_PT020,variant,symbolic_function,4,입력값과 함수 조건을 먼저 해석한 뒤 괄호를 사용해 대입하고 계산 결과를 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,unknown_from_function_value|equation_setup|substitution,M2_LF_PT020__M2LF50S06_Q007,M2_LF_PT020::M2_LF_CROSSSET_01_02_04_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q008,SRC_M2_LF_50_WORKSHEET_SET06_20260710,008,2,16,35e5876358c1c4716e2698e30b1eeada9bee4566d5bd0ac75d685bfd70b84045,802c539f817758c38ba3b12a96761ead2a1236ec4eaecdf6ea1742aff5fdacf8,"일차함수의 그래프의 x절편, y절편",5,integer,M2_LF_PT031,M2_LF_PT033,M2_FUNC_C008,,,basic,86,low_observed_challenge,M2_LF_FAM_M2_LF_PT031,variant,symbolic_graph,2,기울기와 y절편을 읽고 x절편은 y=0을 대입해 구한 뒤 그래프 조건과 연결한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,vertical_translation|y_intercept_change|graph_shift,M2_LF_PT031__M2LF50S06_Q008,M2_LF_PT031::M2_LF_CROSSSET_01_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q009,SRC_M2_LF_50_WORKSHEET_SET06_20260710,009,3,16,db3d1534d8bb638c6908478c2ede307eeba44f88899890d0f6a35b2cd0f9504d,3362790fec7bb59589c877388f351f23c8b43874f304590088ff67163a5af1ee,x절편과 y절편을 이용하여 미지수의 값 구하기,90,integer,M2_LF_PT142,M2_LF_PT036,M2_FUNC_C021|M2_FUNC_C022|M2_FUNC_C025,,,advanced,52,high_observed_challenge,M2_LF_FAM_M2_LF_PT142,variant,graph_and_equation,5,그래프에서 절편·교점·기울기를 먼저 읽고 이를 식의 계수 조건으로 바꾼다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,combined_conditions|find_line_equation|parameter,M2_LF_PT142__M2LF50S06_Q009,M2_LF_PT142::M2_LF_CROSSSET_01_02_03_04_05_06,M2_LF_50_S01_Q008,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q010,SRC_M2_LF_50_WORKSHEET_SET06_20260710,010,3,16,ecb084747bfd8aaa467a633373277a451d4e60f10442d7c03c0896334434afbe,8fcd31bb0b4e1f7f7da440856e88f036de04508063272de38adf5e5c711ecb79,변화량 또는 일차함수가 주어진 경우의 기울기 구하기,-8,integer,M2_LF_PT039,M2_LF_PT040,M2_FUNC_C010,,,standard,70,medium_observed_challenge,M2_LF_FAM_M2_LF_PT039,variant,symbolic_function,3,입력값과 함수 조건을 먼저 해석한 뒤 괄호를 사용해 대입하고 계산 결과를 검산한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,rate_of_change|slope|delta_x_delta_y,M2_LF_PT039__M2LF50S06_Q010,M2_LF_PT039::M2_LF_CROSSSET_01_02_03_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q011,SRC_M2_LF_50_WORKSHEET_SET06_20260710,011,3,16,cbe4d696f1b2d9b14c88bc3f577daab0f834de7b55b87377e120f7c4d8839dde,74f300080b0660118f273db5477b9b3988c6fffcebf722b85de84ab439c2e9f1,변화량에 따른 일차함수의 모양,choice:5,single_choice,M2_LF_PT043,M2_LF_PT041,M2_FUNC_C011,,,standard,85,low_observed_challenge,M2_LF_FAM_M2_LF_PT043,variant,symbolic_graph,1,기울기와 y절편을 읽고 x절편은 y=0을 대입해 구한 뒤 그래프 조건과 연결한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,slope_sign|increasing_decreasing|graph_shape,M2_LF_PT043__M2LF50S06_Q011,M2_LF_PT043::M2_LF_CROSSSET_02_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q012,SRC_M2_LF_50_WORKSHEET_SET06_20260710,012,3,16,59134d85c34c2e1ea93ddbcf8994afaef83dd9b8888592733e3fb02d0bd5d9dc,96a7da546c2821c88d7a18f750b70c4ffbd74754c7031058878610d750c1fae9,두 점을 지나는 일차함수의 그래프의 기울기,choice:2,single_choice,M2_LF_PT045,M2_LF_PT048,M2_FUNC_C012,,,standard,80,low_observed_challenge,M2_LF_FAM_M2_LF_PT045,variant,coordinate_equation,3,주어진 좌표를 식에 대입하거나 두 점의 변화량을 비교해 미지수와 기울기를 결정한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,slope_from_two_points|coordinate_order|fraction_slope,M2_LF_PT045__M2LF50S06_Q012,M2_LF_PT045::M2_LF_CROSSSET_01_02_04_05_06,M2_LF_50_S05_Q012,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q013,SRC_M2_LF_50_WORKSHEET_SET06_20260710,013,4,16,daf06d8b756867cc2cd835a017907c7c1d88ad367c22300b0affdd9b2c752257,f704dcd02ebdb2ada041d4fff721f239645ae57917731b03c8210050b34901ad,"일차함수의 그래프의 기울기와 x절편, y절편",choice:2,single_choice,M2_LF_PT052,M2_LF_PT033,M2_FUNC_C013|M2_FUNC_C014,,,basic,86,low_observed_challenge,M2_LF_FAM_M2_LF_PT052,variant,symbolic_graph,4,기울기와 y절편을 읽고 x절편은 y=0을 대입해 구한 뒤 그래프 조건과 연결한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,slope_intercept|coefficient_reading|graph_equation_match,M2_LF_PT052__M2LF50S06_Q013,M2_LF_PT052::M2_LF_CROSSSET_01_02_03_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q014,SRC_M2_LF_50_WORKSHEET_SET06_20260710,014,4,16,60502f9a7da12c705ef113c3dc3327fde188becbd7bf21b444d4e5b67e04c9b1,7b985584dfe8313818888e04f58dbcc418249f0fbc2eea62d6f4456cea36cdd5,일차함수의 그래프 그리기/찾기,choice:1,single_choice,M2_LF_PT055,M2_LF_PT054,M2_FUNC_C014,,,basic,75,medium_observed_challenge,M2_LF_FAM_M2_LF_PT055,variant,multiple_graphs,3,각 직선의 기울기와 절편을 따로 정리한 뒤 위치 관계와 교점을 비교한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,graph_drawing|two_points|intercepts,M2_LF_PT055__M2LF50S06_Q014,M2_LF_PT055::M2_LF_CROSSSET_01_02_03_04_05_06,M2_LF_50_S02_Q013,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q015,SRC_M2_LF_50_WORKSHEET_SET06_20260710,015,4,16,cbf6fa2bd46482cd31a8fdc66b77e419a642ff25fc307a9e13c39b35682c7720,84930b1f9ad58283aa6de4bd3aa4dd9593e9715f3071547756b9109ed02d3aeb,일차함수의 그래프와 좌표축으로 둘러싸인 도형의 넓이(1) - 두 축과 만나는 한 직선,4,integer,M2_LF_PT057,M2_LF_PT060,M2_FUNC_C015,,,basic,80,low_observed_challenge,M2_LF_FAM_M2_LF_PT057,variant,geometric_equation,3,도형의 길이와 넓이를 좌표 또는 일차함수 식으로 나타낸 뒤 조건식을 푼다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,axis_triangle_area|intercepts|absolute_length,M2_LF_PT057__M2LF50S06_Q015,M2_LF_PT057::M2_LF_CROSSSET_02_03_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q016,SRC_M2_LF_50_WORKSHEET_SET06_20260710,016,4,17,13adfd6d9a2873cb1dcc793fa2afac7ba18a8551d13e6cbb20d3a0998c9a6a27,5df8b52b81f0fc3e3eedf14e833857ddd4e3314689352b3a672d7eb7b650333c,일차함수의 그래프와 좌표축으로 둘러싸인 도형의 넓이(2) - 두 직선,7/2,rational,M2_LF_PT125,M2_LF_PT127,M2_FUNC_C034,,,standard,72,medium_observed_challenge,M2_LF_FAM_M2_LF_PT125,variant,geometric_graph,4,도형의 길이와 넓이를 좌표 또는 일차함수 식으로 나타낸 뒤 조건식을 푼다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,area_between_lines|intersection|coordinate_area,M2_LF_PT125__M2LF50S06_Q016,M2_LF_PT125::M2_LF_CROSSSET_02_03_04_05_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
M2_LF_50_S06_Q017,SRC_M2_LF_50_WORKSHEET_SET06_20260710,017,5,17,796219847adb4d874ed1766884aaa2953b3b919239870535035982eca65a14a6,f893f4c815dedc8a7cae2690efc0ea11ae362876083c65ecafffc5b404212098,y=ax+b의 그래프의 기울기의 성질,choice:1,single_choice,M2_LF_PT042,M2_LF_PT041,M2_FUNC_C011,,,standard,75,medium_observed_challenge,M2_LF_FAM_M2_LF_PT042,variant,multiple_lines,3,"그래프의 두 점, 절편, 방향을 읽어 기울기와 직선의 식을 결정한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,slope_sign|increasing_decreasing|graph_shape,M2_LF_PT042__M2LF50S06_Q017,M2_LF_PT042::M2_LF_CROSSSET_02_06,,existing_canonical_type_matched,0.96,verified_against_problem_answer_and_solution
