item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_LI_150_S06_Q001,SRC_M2_LI_150_WORKSHEET_SET06_20260710,001,1,22,a56089ba90d11e125ae1ae62984a0f01b948c1a90863cb49c467f9023df7e271,5d6ad933cfec0d592e8d2f7ad4ad30ec6eaf9a7a36a596377badde2e23d10996,조건을 만족시키는 부등식의 해 구하기,5,integer,M2_LI_PT013,M2_LI_PT016,M2_LI_C005,M2_LI_C002|M2_LI_C004,,basic,75,medium_observed_challenge,M2_LI_FAM_M2_LI_PT013,variant,word_condition,2,주어진 값을 대입해 각 부등식의 참·거짓을 확인하고 해 조건을 빠짐없이 모은다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,substitution_error|solution_set_omission|verification_missing,M2_LI_PT013__M2LI150S06_Q001,M2_LI_PT013::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q002,SRC_M2_LI_150_WORKSHEET_SET06_20260710,002,1,22,9f22c0a4a5fa3014a6a692a7dabaf3b8936cd7df0e3f7d50816bb7f66fd2fc84,eb1cbb40b3f683a2ff8e90d58e803d43fb1a93f02dd7d0511dda1e35b7cf68a8,부등식의 기본 성질,choice:5,single_choice,M2_LI_PT021,M2_LI_PT019,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,basic,79,medium_observed_challenge,M2_LI_FAM_M2_LI_PT021,variant,word_condition,2,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT021__M2LI150S06_Q002,M2_LI_PT021::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q003,SRC_M2_LI_150_WORKSHEET_SET06_20260710,003,1,22,6fa8df25740c543820526700fbe935e41d03a20ce90d2dadea6ec79b89858285,eb1cbb40b3f683a2ff8e90d58e803d43fb1a93f02dd7d0511dda1e35b7cf68a8,부등식의 기본 성질,choice:4,single_choice,M2_LI_PT021,M2_LI_PT019,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,basic,72,medium_observed_challenge,M2_LI_FAM_M2_LI_PT021,variant,word_condition,2,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT021__M2LI150S06_Q003,M2_LI_PT021::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q004,SRC_M2_LI_150_WORKSHEET_SET06_20260710,004,1,22,eae00e9a86a6251d12c685a4dea1f2a24b3315f88096a5491cd75c3763ace33b,dbcecb22bfb2f41063bdf72a9d174aee4b6b1494a462dadc4bd2c6cc03908d1d,부등식의 기본 성질,choice:5,single_choice,M2_LI_PT019,M2_LI_PT017,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,core,83,low_observed_challenge,M2_LI_FAM_M2_LI_PT019,variant,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT019__M2LI150S06_Q004,M2_LI_PT019::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q005,SRC_M2_LI_150_WORKSHEET_SET06_20260710,005,1,22,1e19f20de81928c891b1e4143f554042a3334aca2132f0858d120eaf9f4ef766,dbcecb22bfb2f41063bdf72a9d174aee4b6b1494a462dadc4bd2c6cc03908d1d,부등식의 기본 성질,choice:5,single_choice,M2_LI_PT019,M2_LI_PT017,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,core,83,low_observed_challenge,M2_LI_FAM_M2_LI_PT019,standard,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT019__M2LI150S06_Q005,M2_LI_PT019::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q006,SRC_M2_LI_150_WORKSHEET_SET06_20260710,006,1,22,d57718d785fcc6a2eea2916b2896c67c1977d066441d30efa056de9346732e0c,dbcecb22bfb2f41063bdf72a9d174aee4b6b1494a462dadc4bd2c6cc03908d1d,부등식의 기본 성질,choice:3,single_choice,M2_LI_PT019,M2_LI_PT017,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,core,81,low_observed_challenge,M2_LI_FAM_M2_LI_PT019,standard,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT019__M2LI150S06_Q006,M2_LI_PT019::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q007,SRC_M2_LI_150_WORKSHEET_SET06_20260710,007,2,22,dbbb8361d0cc746debdee9c295c8a73906956ee09a65cdc80a6c765917c4e16f,27f8374e15751f48659a279e90c6187c4375c8701ff0120b33133e1cf5cadd73,부등식의 기본 성질,choice:4,single_choice,M2_LI_PT021,M2_LI_PT019,M2_LI_C006|M2_LI_C007|M2_LI_C008,M1_IR_C006|M1_IR_C009,M2_LI_C009|M2_LI_C015,basic,74,medium_observed_challenge,M2_LI_FAM_M2_LI_PT021,variant,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT021__M2LI150S06_Q007,M2_LI_PT021::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q008,SRC_M2_LI_150_WORKSHEET_SET06_20260710,008,2,22,32b0d2ad9b93fbf70be6414344fe91d8ded88136849bcb2603eff41433abd7a5,026a22de1bc1d9b5ef11a0b9403fb2029dc1ef2924972afa7b4429285a80d00a,부등식의 성질을 이용하여 식의 값의 범위 구하기(1) - 한 문자에 대한 경우,6,integer,M2_LI_PT026,M2_LI_PT023,M2_LI_C009,M2_LI_C006|M2_LI_C008,M2_LI_C010,advanced,70,medium_observed_challenge,M2_LI_FAM_M2_LI_PT026,complex,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT026__M2LI150S06_Q008,M2_LI_PT026::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q009,SRC_M2_LI_150_WORKSHEET_SET06_20260710,009,2,23,8e718144605d3119e18c2c6d71cba7831d8b752ef33d8f7cfe1633ce7498f708,026a22de1bc1d9b5ef11a0b9403fb2029dc1ef2924972afa7b4429285a80d00a,부등식의 성질을 이용하여 식의 값의 범위 구하기(1) - 한 문자에 대한 경우,30,integer,M2_LI_PT026,M2_LI_PT023,M2_LI_C009,M2_LI_C006|M2_LI_C008,M2_LI_C010,advanced,59,high_observed_challenge,M2_LI_FAM_M2_LI_PT026,complex,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT026__M2LI150S06_Q009,M2_LI_PT026::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_LI_150_S06_Q010,SRC_M2_LI_150_WORKSHEET_SET06_20260710,010,2,23,b5c29e3d606babc6d59ffd682d0b63f0e85947343308a16c5e92e844a5edd1bb,1bfe28002eee72a05cd7b94eca7ed26bbea4165df4c27682467466f0a9f35c7a,부등식의 성질을 이용하여 식의 값의 범위 구하기(1) - 한 문자에 대한 경우,choice:3,single_choice,M2_LI_PT023,,M2_LI_C009,M2_LI_C006|M2_LI_C008,M2_LI_C010,basic,76,medium_observed_challenge,M2_LI_FAM_M2_LI_PT023,variant,equation,3,양변에 적용한 연산의 부호를 확인하고 끝값 포함 여부까지 범위로 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,inequality_direction_flip_error|endpoint_inclusion_error|range_transformation_error,M2_LI_PT023__M2LI150S06_Q010,M2_LI_PT023::M2_LI_150_SET06,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
