item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,variant_id,near_duplicate_group,mapping_status,mapping_confidence,review_status
M2_NE_150_S06_Q001,SRC_M2_NE_150_WORKSHEET_SET06_20260710,001,1,24,e35c1cb331af869f9b7afa945d9fe734c363f7a4fef296cce5a56268dc915a3c,9d7a2462a0a7b59cca9a0f6c5407d6275ca4542425a4894e0e9eea9be159b692,유한소수로 나타낼 수 있는(없는) 분수,18/45,fraction,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004|M2_NE_C005,,core,67,medium_observed_challenge,M2_NE_PT011__M2NE150S06_Q001,M2_NE_PT011::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q002,SRC_M2_NE_150_WORKSHEET_SET06_20260710,002,1,24,0b70affc5429f876ff365748330444ba054ecf1d69b47a4e971fd100efe7af42,63d27b77e5e121f76ea65a959b191e486a31216927ef104c8236e6e9ca1c85f4,유한소수로 나타낼 수 있는(없는) 분수,choice:2,single_choice,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004|M2_NE_C005,,core,86,low_observed_challenge,M2_NE_PT011__M2NE150S06_Q002,M2_NE_PT011::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q003,SRC_M2_NE_150_WORKSHEET_SET06_20260710,003,1,24,ec6d754a2a391e4b3662b03cefb70d750d70996b0cff167ef4db8ce6e67677fc,9273b7d48f4bbff2b2fdd585aba10721d3c6d9b9f346e9b7dab294f3eed0154d,유한소수로 나타낼 수 있는(없는) 분수,4,integer,M2_NE_PT011,M2_NE_PT010,M2_NE_C005|M2_NE_C007,M2_NE_C004|M2_NE_C005,,core,71,medium_observed_challenge,M2_NE_PT011__M2NE150S06_Q003,M2_NE_PT011::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q004,SRC_M2_NE_150_WORKSHEET_SET06_20260710,004,1,24,8bdeebb824190dc238bf87fe77fcca28ebfb530c7ebf614a482d8ffa268329b5,3ca2348ff5934a4c346de01a092d0b87d4fe4a3788a7d14cb512216bff0dba8b,유한소수로 나타낼 수 있는(없는) 분수,24,integer,M2_NE_PT011,M2_NE_PT010,M2_NE_C005|M2_NE_C007,M2_NE_C004|M2_NE_C005,,core,48,high_observed_challenge,M2_NE_PT011__M2NE150S06_Q004,M2_NE_PT011::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q005,SRC_M2_NE_150_WORKSHEET_SET06_20260710,005,1,24,4a995c20b98cf742e106aadb4bc8d783ceb013986a7d09a3ba524cfdae9c81f1,029f6b4961bbceb535e2bda06a04e9b41dc46fb95a8abae2fe41ad76547634e4,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,21,integer,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,74,medium_observed_challenge,M2_NE_PT013__M2NE150S06_Q005,M2_NE_PT013::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q006,SRC_M2_NE_150_WORKSHEET_SET06_20260710,006,1,24,d6232742f2afabb340c81885d2f7735cbdbe6c287ba32de529b06b0d96c0949c,1d058880ad38229a5389016960b6544d82c5cac3a1921f9963c37fbc575d51dc,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,choice:3,single_choice,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,85,low_observed_challenge,M2_NE_PT013__M2NE150S06_Q006,M2_NE_PT013::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q007,SRC_M2_NE_150_WORKSHEET_SET06_20260710,007,2,25,29a862ec0cd54adff4247dc7b3881835adcbb2376099ab7fc1c69732d2ddc8e6,029f6b4961bbceb535e2bda06a04e9b41dc46fb95a8abae2fe41ad76547634e4,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,15,integer,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,54,high_observed_challenge,M2_NE_PT013__M2NE150S06_Q007,M2_NE_PT013::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q008,SRC_M2_NE_150_WORKSHEET_SET06_20260710,008,2,25,f98c30f3521e5661bd0a9bcb400fc3c465d4231a2a27242979e8956020b8c709,b08679e93410e2c99f67f4323fcf11aa5bb6fafc0b67c0abe96a64e558de6dbb,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,89,integer,M2_NE_PT014,M2_NE_PT013,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,54,high_observed_challenge,M2_NE_PT014__M2NE150S06_Q008,M2_NE_PT014::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q009,SRC_M2_NE_150_WORKSHEET_SET06_20260710,009,2,25,96050cc846d2ecc43f6f50da56b87e362771e28dcef35c5cc977addd89903891,8de667f888ca5eb614d566c8dbecb4c0a87b2f13947a1d2c583a11a322b731e1,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,choice:2,single_choice,M2_NE_PT018,M2_NE_PT016,M2_NE_C005|M2_NE_C007|M2_NE_C008,M2_NE_C004|M2_NE_C005|M2_NE_C007,,advanced,61,high_observed_challenge,M2_NE_PT018__M2NE150S06_Q009,M2_NE_PT018::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q010,SRC_M2_NE_150_WORKSHEET_SET06_20260710,010,2,25,cea43958c6a19f604e9574dca4e0f9efaa7f5a956932019a79fc9f0f8070c0b5,6eac0e97f5ccac25b0234c52a5f67b4e1e49d5cdbe41412832fe5f5e90a2b154,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,80,integer,M2_NE_PT016,,M2_NE_C005|M2_NE_C007|M2_NE_C008,M2_NE_C004|M2_NE_C005|M2_NE_C007,,advanced,50,high_observed_challenge,M2_NE_PT016__M2NE150S06_Q010,M2_NE_PT016::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q011,SRC_M2_NE_150_WORKSHEET_SET06_20260710,011,2,25,196d2a102f27fb06d9dd0a7a0d4e52e7e26e1f187fb1550927106a40958f6ef4,6eac0e97f5ccac25b0234c52a5f67b4e1e49d5cdbe41412832fe5f5e90a2b154,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,4,integer,M2_NE_PT016,,M2_NE_C005|M2_NE_C007|M2_NE_C008,M2_NE_C004|M2_NE_C005|M2_NE_C007,,advanced,53,high_observed_challenge,M2_NE_PT016__M2NE150S06_Q011,M2_NE_PT016::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q012,SRC_M2_NE_150_WORKSHEET_SET06_20260710,012,2,25,4f2dc4aee44db0be290d32a85c91f974868f49ef5b18a9d6141da108ae3cd521,6eac0e97f5ccac25b0234c52a5f67b4e1e49d5cdbe41412832fe5f5e90a2b154,B/(A X x)가 유한소수가 되도록 하는 x의 값 구하기,3,integer,M2_NE_PT016,,M2_NE_C005|M2_NE_C007|M2_NE_C008,M2_NE_C004|M2_NE_C005|M2_NE_C007,,advanced,52,high_observed_challenge,M2_NE_PT016__M2NE150S06_Q012,M2_NE_PT016::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S06_Q013,SRC_M2_NE_150_WORKSHEET_SET06_20260710,013,2,25,7a879db8be852cac071e4a5cf124befcf781aa312e4120782c243ae7e5231635,d2aef29ffda380af686f28559a05a0097f91d0f132ab56e6347c42b4dec5d664,유한소수가 되는 x/A를 기약분수로 나타내기,21,integer,M2_NE_PT019,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004|M2_NE_C005,,advanced,86,low_observed_challenge,M2_NE_PT019__M2NE150S06_Q013,M2_NE_PT019::M2_NE_150_SET06,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
