item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_NE_150_S10_Q001,SRC_M2_NE_150_WORKSHEET_SET10_20260710,001,1,23,4ae7347bfc33cf931fe7463d01c1b4f34e11060c069e8024b128a0998641104b,54ce98da0991bcf7c2921a2554680259a81a47dabb66eb513f3b22d843623190,유한소수로 나타낼 수 있는(없는) 분수,4,integer,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,73,medium_observed_challenge,M2_NE_FAM_M2_NE_PT011,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT011__M2NE150S10_Q001,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q002,SRC_M2_NE_150_WORKSHEET_SET10_20260710,002,1,23,01cb3a542700adeaeae73ad829e7214ec775cadf7d37c61d3b11f182ea6079af,9f09b4799170fc6c4a8bfc52c74970ed7cf274751989469a652a4df945e3bcad,유한소수로 나타낼 수 있는(없는) 분수,choice:2,single_choice,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,70,medium_observed_challenge,M2_NE_FAM_M2_NE_PT011,complex,mixed,3,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|REPRESENT|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing|representation_translation_error,M2_NE_PT011__M2NE150S10_Q002,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q003,SRC_M2_NE_150_WORKSHEET_SET10_20260710,003,1,23,ce8e6d7de3f2f9a0fcf68e76d2742a56ea15a9b7bb4fb3d291f2c03d16e8bede,81dbecd2d2916843dc52b1b75e93e28e9e8addf4eb819885bc31cb2c382f250e,유한소수로 나타낼 수 있는(없는) 분수,6,integer,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,71,medium_observed_challenge,M2_NE_FAM_M2_NE_PT011,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT011__M2NE150S10_Q003,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q004,SRC_M2_NE_150_WORKSHEET_SET10_20260710,004,1,23,d1f02a3a6e45be046f4bfb0def288e95df214a145377319a4e9cc5feeb6ad30a,8dc11bba49a9605f8ae4d622c98e9c42e5145b5e4f4213882da10c2577fb4dbf,유한소수로 나타낼 수 있는(없는) 분수,3,integer,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,76,medium_observed_challenge,M2_NE_FAM_M2_NE_PT011,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT011__M2NE150S10_Q004,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q005,SRC_M2_NE_150_WORKSHEET_SET10_20260710,005,1,23,4f6c0c7091aba6a5cd5ad7fa2666bd95de2d8ee2c59d13a848fca9717a4c7928,b288b46ec9376771abaf33ac04ebce24218fd7164e66916cf2015a57973f5ac4,유한소수로 나타낼 수 있는(없는) 분수,choice:4,single_choice,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,50,high_observed_challenge,M2_NE_FAM_M2_NE_PT011,complex,word_condition,3,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing|multi_condition_overload,M2_NE_PT011__M2NE150S10_Q005,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q006,SRC_M2_NE_150_WORKSHEET_SET10_20260710,006,1,24,869e061188669465f6f9e5394e70e5794a3da065692af1e4b44b10b245f42359,9439c95b5e84238f9d8ac5f03148ba7df553aa5e30cad68432dadcbbe737e9c2,유한소수로 나타낼 수 있는(없는) 분수,85,integer,M2_NE_PT011,,M2_NE_C005|M2_NE_C007,M2_NE_C004,,core,53,high_observed_challenge,M2_NE_FAM_M2_NE_PT011,complex,word_condition,3,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing|multi_condition_overload,M2_NE_PT011__M2NE150S10_Q006,M2_NE_PT011::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q007,SRC_M2_NE_150_WORKSHEET_SET10_20260710,007,2,24,f621ac43546d3a292deac55787ea8a04d6dd2e887ed33881c11de94d908e24be,266b7fa7592149b80d02270851e4d4db956fe0b89907ba589606d6bf9a38c55a,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,"multiple_choice:2,3,5",multiple_choice,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004,,advanced,76,medium_observed_challenge,M2_NE_FAM_M2_NE_PT013,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|RETURN|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT013__M2NE150S10_Q007,M2_NE_PT013::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q008,SRC_M2_NE_150_WORKSHEET_SET10_20260710,008,2,24,80e054419717eb943920ddaebacf98104c58052a9cfadca8439f5cc7af37a691,5562e84abab7345b830e253ebb642b3be2b481812326a4eedabe40ad7f2c26ce,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,3,integer,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004,,advanced,87,low_observed_challenge,M2_NE_FAM_M2_NE_PT013,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT013__M2NE150S10_Q008,M2_NE_PT013::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q009,SRC_M2_NE_150_WORKSHEET_SET10_20260710,009,2,24,bea4686cdc6f319f40ce7edfd5dcb3fbde13f2301b231eacd2074412aa416757,5562e84abab7345b830e253ebb642b3be2b481812326a4eedabe40ad7f2c26ce,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,3,integer,M2_NE_PT013,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004,,advanced,87,low_observed_challenge,M2_NE_FAM_M2_NE_PT013,variant,word_condition,2,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing,M2_NE_PT013__M2NE150S10_Q009,M2_NE_PT013::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
M2_NE_150_S10_Q010,SRC_M2_NE_150_WORKSHEET_SET10_20260710,010,2,24,012fd5d0ae3e219850558a089563343259e1453447aa74a673a91e25ab32cc79,9c4321631359b9029e66fdf8415fbc2a8566b2f9161b8dd402b88d9b96f47de9,B/A X x가 유한소수가 되도록 하는 x의 값 구하기,113,integer,M2_NE_PT014,,M2_NE_C005|M2_NE_C006|M2_NE_C007,M2_NE_C004,,advanced,61,medium_observed_challenge,M2_NE_FAM_M2_NE_PT014,complex,word_condition,3,기약분수로 만든 뒤 분모의 소인수가 2와 5뿐인지 조건을 정리한다.,RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,prime_factor_2_5_confusion|condition_missing|verification_missing|multi_condition_overload,M2_NE_PT014__M2NE150S10_Q010,M2_NE_PT014::M2_NE_150_SET10,,existing_canonical_type_matched,0.98,verified_against_problem_answer_and_solution
