item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_PROB_150_S06_Q001,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,001,1,41,f8d15a6e0fa8706c935ec159d6ee02ff222c97a6224529123b703f12044d7526,3446d7c80c0a50d3571c4aa09ed91ffa922f167031b92ed2e9a365cc259f4654,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우,5,integer,M2_PROB_PT004,,M2_PROB_C003|M2_PROB_C005,,,core,50,high_observed_challenge,M2_PROB_FAM_M2_PROB_PT004,variant,ordered_pair_table,3,두 선택을 순서쌍으로 나타내고 조건을 만족하는 쌍을 중복 없이 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|ordered_pairs|systematic_listing,M2_PROB_PT004__M2PROB150S06_Q001,M2_PROB_PT004::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q002,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,002,1,41,cae12a82dd20b52b4ccade40af4a515c99b527709648ed2ce8954021a95427fa,11a4d09a649cd2b5bbca127d889de136e993769529dbed76b254945476e97bf4,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우,10,integer,M2_PROB_PT005,,M2_PROB_C003|M2_PROB_C005,,,standard,56,high_observed_challenge,M2_PROB_FAM_M2_PROB_PT005,variant,ordered_pair_table,4,두 선택을 순서쌍으로 나타내고 조건을 만족하는 쌍을 중복 없이 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|ordered_pairs|systematic_listing,M2_PROB_PT005__M2PROB150S06_Q002,M2_PROB_PT005::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q003,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,003,1,41,561661de4ac758b90c70d16b41015f4cfe14a79b541d0b7e8386aafef08d7890,98e0ec31b98c900b461616f5b660af18f06424afcbebecaed19777ab442b5654,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우,choice:3,single_choice,M2_PROB_PT006,,M2_PROB_C003|M2_PROB_C005,,,advanced,60,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT006,variant,ordered_pair_table,5,두 선택을 순서쌍으로 나타내고 조건을 만족하는 쌍을 중복 없이 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|ordered_pairs|systematic_listing,M2_PROB_PT006__M2PROB150S06_Q003,M2_PROB_PT006::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q004,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,004,2,42,d651c02aaae980d48bf61ae99de1202fee94def86fa1217cdada4f2198def8e7,52cecf408933a90f6a249fb7b876638fb66a37d777c9d37a23d6a95dd033445d,여러 가지 경우의 수(1) 순서쌍을 이용하여 푸는 경우,9,integer,M2_PROB_PT006,,M2_PROB_C003|M2_PROB_C005,,,advanced,73,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT006,variant,ordered_pair_table,5,두 선택을 순서쌍으로 나타내고 조건을 만족하는 쌍을 중복 없이 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|ordered_pairs|systematic_listing,M2_PROB_PT006__M2PROB150S06_Q004,M2_PROB_PT006::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q005,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,005,2,42,a76276bb91f310d3eb64f7b0b9a177844d5d74723c6569b2015a611b32c46253,614d8ee01a7b215daaebea4337ebd7073a06e99a8a2027e8da71ba21e6185317,돈을 지불하는 경우의 수,3,integer,M2_PROB_PT010,,M2_PROB_C006|M2_PROB_C021,M2_EQ_C003|M2_INEQ_C003,,core,67,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT010,variant,coin_payment_table,3,동전·지폐의 사용 개수를 식이나 표로 정리하고 금액 조건을 만족하는 조합을 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|integer_combinations|payment,M2_PROB_PT010__M2PROB150S06_Q005,M2_PROB_PT010::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q006,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,006,2,42,f7cfcfdb569730ee4299e4d50f26704b80dcfadf4350b4b71eeecb174ade4835,dfa8a889677040e31dcd1cb015f8ee735aa786beedf789d7221c25920ac27d1f,돈을 지불하는 경우의 수,10,integer,M2_PROB_PT011,,M2_PROB_C006|M2_PROB_C021,M2_EQ_C003|M2_INEQ_C003,,standard,59,high_observed_challenge,M2_PROB_FAM_M2_PROB_PT011,variant,coin_payment_table,4,동전·지폐의 사용 개수를 식이나 표로 정리하고 금액 조건을 만족하는 조합을 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|integer_combinations|payment,M2_PROB_PT011__M2PROB150S06_Q006,M2_PROB_PT011::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q007,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,007,2,42,f3522c89194226a1f8abc74432161b35cd92124eb914d8952a3f529572788701,f41eea5fe8ef34fffc431874d333db26eeca66e6affc34fc7e880ae3063efbc1,돈을 지불하는 경우의 수,4,integer,M2_PROB_PT012,,M2_PROB_C006|M2_PROB_C021,M2_EQ_C003|M2_INEQ_C003,,advanced,78,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT012,variant,coin_payment_table,5,동전·지폐의 사용 개수를 식이나 표로 정리하고 금액 조건을 만족하는 조합을 센다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|integer_combinations|payment,M2_PROB_PT012__M2PROB150S06_Q007,M2_PROB_PT012::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q008,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,008,3,42,bd1b7fac77c472a7e9da5325b8044da2615b323114b4d7b28b8b396103c85a9a,500533ce3fb10cf0f9061136fe03e5225e763d43bc78dc01d297323985019634,경우의 수의 합(1) 숫자를 선택하거나 주사위를 던지는 경우,4,integer,M2_PROB_PT013,,M2_PROB_C004|M2_PROB_C024,,,core,73,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT013,variant,addition_rule_text,2,서로 갈라지는 경우를 구분하고 겹침이 없는지 확인한 뒤 각 경우의 수를 더한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|addition_rule|mutually_exclusive_cases,M2_PROB_PT013__M2PROB150S06_Q008,M2_PROB_PT013::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q009,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,009,3,43,27585dfcef0d8ba208092215ddf7af63c5d157fbc90e9f1e335eb169f65b58b0,260c8ac84e680559dfd95bfb51e6df150721eeb9c01bd11768e6af8d40fb4b8a,경우의 수의 합(1) 숫자를 선택하거나 주사위를 던지는 경우,43,integer,M2_PROB_PT014,,M2_PROB_C004|M2_PROB_C024,,,standard,30,high_observed_challenge,M2_PROB_FAM_M2_PROB_PT014,variant,addition_rule_text,3,서로 갈라지는 경우를 구분하고 겹침이 없는지 확인한 뒤 각 경우의 수를 더한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|addition_rule|mutually_exclusive_cases,M2_PROB_PT014__M2PROB150S06_Q009,M2_PROB_PT014::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q010,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,010,3,43,be6a36360c41c4fe1923517155542938b10ba0365d301028da8e5174f12c9248,97fc2d53dac774ded43dcad4328010cfceb6674134943eb79aa2ff121377917b,경우의 수의 합(1) 숫자를 선택하거나 주사위를 던지는 경우,4,integer,M2_PROB_PT015,,M2_PROB_C004|M2_PROB_C024,,,advanced,69,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT015,variant,addition_rule_text,4,서로 갈라지는 경우를 구분하고 겹침이 없는지 확인한 뒤 각 경우의 수를 더한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|addition_rule|mutually_exclusive_cases,M2_PROB_PT015__M2PROB150S06_Q010,M2_PROB_PT015::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q011,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,011,3,43,5e76b899e8c25cdf61e5164fce7dc514fc27699bcadcaa12e5d0bc2dd084a92b,c19c70b1fe8fc72c2ddb45ab1e70a3e825e5af636c01161feadd4efea30a8b6a,경우의 수의 곱(1) 서로 다른 사건이 동시에 일어나는 경우의 수,27,integer,M2_PROB_PT022,,M2_PROB_C005|M2_PROB_C003,,,core,70,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT022,variant,multiplication_rule_text,2,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT022__M2PROB150S06_Q011,M2_PROB_PT022::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q012,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,012,4,43,35831d3f0bed82fedd1a35ddcaafdd15fb7a2cd943b65df822d05d62e7144462,5b92e587579b427a62dc6f9ba48fbb50983c1d16914304a0706854e5469ef424,경우의 수의 곱(1) 서로 다른 사건이 동시에 일어나는 경우의 수,choice:5,single_choice,M2_PROB_PT023,,M2_PROB_C005|M2_PROB_C003,,,standard,71,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT023,variant,multiplication_rule_text,3,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT023__M2PROB150S06_Q012,M2_PROB_PT023::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q013,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,013,4,43,736dfb182484f914b6e4a79341d5905acc688ebe1d01a1a16f71142b49332344,050a3b690d811b0d114c3b3626aa4ad3c3148793d9d4eafc0190331217dc8c30,경우의 수의 곱(1) 서로 다른 사건이 동시에 일어나는 경우의 수,choice:5,single_choice,M2_PROB_PT024,,M2_PROB_C005|M2_PROB_C003,,,advanced,71,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT024,variant,multiplication_rule_text,4,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT024__M2PROB150S06_Q013,M2_PROB_PT024::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q014,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,014,4,43,e06c1e5222d63b99cf8d3cdf57292a2b0f4e398c41142176486c9014a96c7206,050a3b690d811b0d114c3b3626aa4ad3c3148793d9d4eafc0190331217dc8c30,경우의 수의 곱(1) 서로 다른 사건이 동시에 일어나는 경우의 수,choice:4,single_choice,M2_PROB_PT024,,M2_PROB_C005|M2_PROB_C003,,,advanced,70,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT024,variant,multiplication_rule_text,4,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT024__M2PROB150S06_Q014,M2_PROB_PT024::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q015,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,015,4,43,92bc16983295ac76fc12c198b0495a87a2ae9cfd57d3671202105acf2c2f6fb3,cfe41e273300c34bd842ea916ca2626f7604dce647c22afa53646a8c29ec3d8e,경우의 수의 곱(2) 교통수단이나 길을 선택하는 경우,11,integer,M2_PROB_PT025,,M2_PROB_C005|M2_PROB_C007,,,core,59,high_observed_challenge,M2_PROB_FAM_M2_PROB_PT025,variant,route_network_diagram,3,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT025__M2PROB150S06_Q015,M2_PROB_PT025::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
M2_PROB_150_S06_Q016,SRC_M2_PROB_150_WORKSHEET_SET06_20260711,016,5,43,eb9155d23cf92682671992d5b9c01dd089152c8fc66eccf333dd35d935514291,bdff7c659e720b294d589585a4a75de624fc7edde547389df0c5a6c524d9dd4c,경우의 수의 곱(2) 교통수단이나 길을 선택하는 경우,8,integer,M2_PROB_PT026,,M2_PROB_C005|M2_PROB_C007,,,standard,71,medium_observed_challenge,M2_PROB_FAM_M2_PROB_PT026,variant,route_network_diagram,4,선택 단계를 순서대로 나누고 각 단계의 선택 수를 곱한다.,RECOGNIZE|START|CONDITION|REPRESENT|CALCULATE|VERIFY,counting|sample_space|case_count|multiplication_rule|staged_choices,M2_PROB_PT026__M2PROB150S06_Q016,M2_PROB_PT026::M2_PROB_SET06,,existing_canonical_type_matched,0.97,verified_against_problem_header_quick_answer_and_solution_structure
