item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_SIMPY_150_S04_Q001,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,001,1,41,3f7e792ae6d56e23c6d163857e3b4f466efa556e2fa1db03483bd70672d92bf7,f402d20cd046621213735a6d28eaae8d642d3b688710fd5ecc883635dafc56ea,평면도형에서 닮음비의 응용,21cm,length,M2_SIMPY_PT005,,M2_SIMPY_C002,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,63,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT005,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT005__M2SIMPY150S04_Q001,M2_SIMPY_PT005::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q002,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,002,1,41,c767bd370f4811dd6da0500aa8dd01c7ce1d252eb6c3c7dd026ec0dd12fb27e3,c4e1f700ede0d0748cb6ed23ba2dd2a767f1ff7090f6e22b7d248d5919e36298,평면도형에서 닮음비의 응용,choice:2,single_choice,M2_SIMPY_PT004,,M2_SIMPY_C002,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,88,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT004,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT004__M2SIMPY150S04_Q002,M2_SIMPY_PT004::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q003,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,003,1,41,36ccb25d31a1ab446a0cb7be546352a699d1ea4a716d1b7f46427598428f1d01,81a025b0e74afe3c61897c07aa2f6ed31d9d8f168103f219231f591ee21ab8c4,회전체에서 닮음비의 응용,16/3,fraction,M2_SIMPY_PT011,,M2_SIMPY_C004,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,60,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT011,variant,solid_similarity_or_spatial_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT011__M2SIMPY150S04_Q003,M2_SIMPY_PT011::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q004,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,004,1,41,162c36462911bc43f68ef29dacec675fdee5d48fdaa12db45404642974742504,11e8c9854e7f37debe9cc8ac2ee3235f2886dc582b8d35324d3f8928915700a7,삼각형의 닮음 조건,choice:4,single_choice,M2_SIMPY_PT013,,M2_SIMPY_C005,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,79,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT013,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT013__M2SIMPY150S04_Q004,M2_SIMPY_PT013::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q005,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,005,2,41,5d7dcc6cecdb52c8bfe86f49ee3f31ff54cf9a29c74f2c58e23274d273206c84,68ee58f476d3c7d8224900e0365a9b1f8a423f4efeabca47113f79cf99a5b5ff,삼각형의 닮음 조건,choice:2,single_choice,M2_SIMPY_PT013,,M2_SIMPY_C005,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,76,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT013,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT013__M2SIMPY150S04_Q005,M2_SIMPY_PT013::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q006,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,006,2,42,d28827365913a4425553d218677badda6c576269e64297732a2cd5d12f533b6c,f2295e09e3882c8db171b1236b50a8229e5d1fdc6874a25b0214a0fbde65a624,삼각형의 닮음 조건,choice:4,single_choice,M2_SIMPY_PT015,,M2_SIMPY_C005,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,53,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT015,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT015__M2SIMPY150S04_Q006,M2_SIMPY_PT015::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q007,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,007,2,42,3d071f6e4a55e59e87790350cdd1822a7eafc2cc3ae0319ae62621562c2b41fb,4062f10880229b3dd99ca934f58102262f049bce351a21055126b63e5765cc43,삼각형의 닮음 조건의 응용(1) SAS 닮음,choice:2,single_choice,M2_SIMPY_PT019,,M2_SIMPY_C007,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,78,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT019,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT019__M2SIMPY150S04_Q007,M2_SIMPY_PT019::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q008,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,008,2,42,2689128fed2d947e1ad21fef2323ed341cf5ece887804b8578f6cfbc18544dcf,fc9de42c12c2fa76edc4d270341992053659e0ddacd8c271beb8b244010886e8,삼각형의 닮음 조건의 응용(1) SAS 닮음,choice:2,single_choice,M2_SIMPY_PT019,,M2_SIMPY_C007,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,87,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT019,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT019__M2SIMPY150S04_Q008,M2_SIMPY_PT019::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q009,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,009,3,42,1f90b6a843c9f99cbf71517e60ffd91c1198a9a0368f4c1715cfa0e4fabc5167,ed266339ea5611861b61f41c647cdcd718cb8c4bec499cd0056db2085cec479c,삼각형의 닮음 조건의 응용(1) SAS 닮음,125/3cm,length,M2_SIMPY_PT021,,M2_SIMPY_C007,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,30,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT021,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT021__M2SIMPY150S04_Q009,M2_SIMPY_PT021::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S04_Q010,SRC_M2_SIMPYTH_150_WORKSHEET_SET04_20260711,010,3,42,3fc83094147cc39cfe7164a4f0ccd0cbddbdc0b06f55ea3df7903dcd4f3f95cf,6aa7a9bd372fa767d4b8283049890b295092f9aa23a14d6ae7c75185ebc6adab,삼각형의 닮음 조건의 응용(2) AA 닮음,choice:2,single_choice,M2_SIMPY_PT022,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,93,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT022,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT022__M2SIMPY150S04_Q010,M2_SIMPY_PT022::M2_SIMPY_SET04,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
