item_id,source_id,source_question_no,source_page,solution_page,source_fingerprint,structure_fingerprint,source_type_label,answer_key,response_format,primary_problem_type_id,secondary_problem_type_ids,concept_ids,prerequisite_concept_ids,future_connection_ids,difficulty,observed_accuracy_percent,observed_challenge_band,problem_family_id,variant_level,representation_type,condition_count,first_action_hint,expected_process_stages,likely_error_tags,variant_id,near_duplicate_group,duplicate_of,mapping_status,mapping_confidence,review_status
M2_SIMPY_150_S09_Q001,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,001,1,41,88ed3ebe3b4f4d6bd1a4a23568528c66de77cc35e56fe9fc7e3d92f5f4a9f5e8,a9ec042ffbdee54a06efc7c3e60bda73e4c9d6b624d0b82c43b38414840e4bf9,평면도형에서 닮음비의 응용,choice:2,single_choice,M2_SIMPY_PT005,,M2_SIMPY_C002,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,89,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT005,variant,text_only_numeric_or_verbal,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT005__M2SIMPY150S09_Q001,M2_SIMPY_PT005::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q002,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,002,1,41,8583df965ccdf8e068f45c54f1f9fc529ea93a7f2a5a0a1b1cf3b6c19c88b4ff,a9ec042ffbdee54a06efc7c3e60bda73e4c9d6b624d0b82c43b38414840e4bf9,평면도형에서 닮음비의 응용,choice:3,single_choice,M2_SIMPY_PT005,,M2_SIMPY_C002,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,89,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT005,variant,text_only_numeric_or_verbal,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT005__M2SIMPY150S09_Q002,M2_SIMPY_PT005::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q003,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,003,1,41,a160c6caec8ff94eb51d783285ade8d157b6a115537299c2a0b10ecd88112247,541be874d5ef5318d6efe81cc8f32962dc9b3361ea17998baf06a754187360c0,평면도형에서 닮음비의 응용,choice:2,single_choice,M2_SIMPY_PT004,,M2_SIMPY_C002,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,34,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT004,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT004__M2SIMPY150S09_Q003,M2_SIMPY_PT004::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q004,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,004,1,41,4089ce043749c4222d4b61cc210251607e71ac6087c18d07629ae1946a57cf1a,c444efcf44a07016d8bdd6b9aba9030557b20e31b9f6325d0f8d6ca8ea2fce5e,삼각형의 닮음 조건의 응용(2) AA 닮음,choice:1,single_choice,M2_SIMPY_PT022,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,basic,85,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT022,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT022__M2SIMPY150S09_Q004,M2_SIMPY_PT022::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q005,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,005,2,42,75176f838f693a4cd56d91de3b9095838ebfced8559b67830beba4954c4e3a80,fa4977a27a7003b52d0ba73898a3bf35440cd9c0fef94a18eb818d727fcb9ecb,삼각형의 닮음 조건의 응용(2) AA 닮음,140cm,length,M2_SIMPY_PT023,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,57,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT023,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT023__M2SIMPY150S09_Q005,M2_SIMPY_PT023::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q006,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,006,2,42,0b17f4d1e5d8934fba4a4a150175b7db05e7041514f5f43d1587f8f7bb94a7a2,76d0ee61117ea91f89db4d9607f4873f814af897acb395af34bece27857188cc,삼각형의 닮음 조건의 응용(2) AA 닮음,27/4cm,length,M2_SIMPY_PT023,,M2_SIMPY_C008,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,67,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT023,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT023__M2SIMPY150S09_Q006,M2_SIMPY_PT023::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q007,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,007,2,42,0c2d7a7e0028b4e96d93917c922e46a97d63b2d5d7ded817d01bfef5ff6eb353,28007c695842b394b8913c2c321666c40942a5484cf48275515405b915ee8257,평행선에서 삼각형의 닮음 조건의 응용,96cm²,area,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,82,low_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S09_Q007,M2_SIMPY_PT026::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q008,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,008,2,42,a5103cfd524e72a3cbe206e3ec2e81b7edea88ad6c13b2703d69fbc3c9e7d74d,5cd37d0a227f2af23c9e34c7e74476c79a0375d36991c03fa9d905cdc779c4ab,평행선에서 삼각형의 닮음 조건의 응용,25/2cm,length,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,77,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,6,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S09_Q008,M2_SIMPY_PT026::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q009,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,009,3,42,f18b79110ef6c54d2a8bc094154532f722fe32b367723767f2def61fae9a57b6,28007c695842b394b8913c2c321666c40942a5484cf48275515405b915ee8257,평행선에서 삼각형의 닮음 조건의 응용,144cm²,area,M2_SIMPY_PT026,,M2_SIMPY_C009,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,49,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT026,variant,similarity_geometry_diagram,4,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT026__M2SIMPY150S09_Q009,M2_SIMPY_PT026::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q010,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,010,3,42,64b14788d3dc5345f1063ec8c1d68fac1eada0a31fd37b09c4efea2b01e8c291,8eebe9b41558ef1659ea6347c67fad3119095a0d9385c58c69190b9e18cda7d7,직각삼각형의 닮음(1) 공통인 각이 있는 경우,15cm,length,M2_SIMPY_PT029,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,74,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT029,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT029__M2SIMPY150S09_Q010,M2_SIMPY_PT029::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q011,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,011,3,43,b2be6e2e7f80460172a0604baf7b264561a8382cfb223b8007be8e21f0998df3,736e4b8b1e7928d3fc7886b37a35e80a295fb5c0ae9309c61d7c584770b6ccab,직각삼각형의 닮음(1) 공통인 각이 있는 경우,27/2cm,length,M2_SIMPY_PT029,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,70,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT029,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT029__M2SIMPY150S09_Q011,M2_SIMPY_PT029::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q012,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,012,3,43,100e51ac176b389587d9d2a0ad28eaaf73cd8b6a3c55793f4a1602d63b1e1899,599dbc960cc50f5c9cb49d0ce4b96bfa5c01fe72b4f4051c3a5e52dfb8a0a64d,직각삼각형의 닮음(1) 공통인 각이 있는 경우,256/9cm²,area,M2_SIMPY_PT029,,M2_SIMPY_C010,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,core,61,medium_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT029,variant,similarity_geometry_diagram,5,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT029__M2SIMPY150S09_Q012,M2_SIMPY_PT029::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
M2_SIMPY_150_S09_Q013,SRC_M2_SIMPYTH_150_WORKSHEET_SET09_20260711,013,4,43,922a9df8e4a53f6fb01ffc52618d3725bb3def69b34649259427466e997fff69,cff11576759b31a38da6cbf38ee216b695d895a00c82534d71c7a65ad75a333e,직각삼각형의 닮음(2) 한 예각의 크기가 같은 경우,48/5cm,length,M2_SIMPY_PT033,,M2_SIMPY_C011,M2_GEOM_C001|M2_GEOM_C004,M3_TRIG_C001,advanced,49,high_observed_challenge,M2_SIMPY_FAM_M2_SIMPY_PT033,variant,similarity_geometry_diagram,3,"닮은 삼각형의 대응 순서를 먼저 정하고, 같은 각과 대응변의 비를 표시한다.",RECOGNIZE|START|CONDITION|TRANSFORM|CALCULATE|VERIFY,similarity|corresponding_sides|corresponding_angles|ratio|triangle_similarity,M2_SIMPY_PT033__M2SIMPY150S09_Q013,M2_SIMPY_PT033::M2_SIMPY_SET09,,existing_canonical_type_matched,0.98,verified_against_problem_quick_answer_and_solution_structure
